English,Arabic,Description
Related Parties,الأشخاص المعنية بالعرض,الأشخاص المعنية بالعرض
Related party transations,معاملات مع طرف ذي علاقة,تحويل موارد أو إلتزامات بين أطراف ذات علاقة بين أطراف ذات علاقة بغض النظر عما إذا كانت مسعرة أم لا.
Related Person,شخص ذو علاقة,هو فرد يشغل مركز عضو في مجلس الإدارة أو الإدارة التنفيذية أو الإشرافية لوسيط أو مستشار استثمار، أو يعمل كمدير أو يشغل وظيفة إشرافية لدى الجهات المذكورة أعلاه، أو يعمل كموظف أو ممثل لأي من تلك الجهات يقوم بالتعامل مع العامة أو لديه حرية التصرف في الأوراق المالية آو الأموال كجزء من عمله لدى الجهة المرخصة للعمل في مجال الأوراق المالية
Related/Dependent consultants,مستشارين مرتبطين,مستشارين مرتبطين
Relative Performance,الأداء النسبي,هو مؤشر يقوم بإجابة سؤال ماذا نشتري وليس أين نشتري. فهو يُقارن بين الأسهم بعضها البعض، أو بين الأسهم و المؤشر، أو بين الأسهم والسلع و السندات من حيث الأداء. ويقوم بقسمة طرفي المقارنة بقسمت سهم 1 على سهم 2 وإذا كان الناتج يزيد، هذا يعني أن سهم 1 أفضل أداءً من سهم 2.
Repo (sale and repurchase),عملية في السندات,عملية في السندات يتم من خلالها البيع بسعر وتاريخ محدد لإعادة الشراء ، وفقا لتشريع الحكومة البريطانية فى عام 1996 بالتصريح بتداول السندات في أسواق الفائدة ، سعر الفائدة يمكن أيضا تنفيذها على السندات والأسهم
Repo rate,العائد المتحقق على عقود الفائدة والمعبر عنها بسعر الفائدة وتجرى على الجانب النقدي منها,العائد المتحقق على عقود الفائدة والمعبر عنها بسعر الفائدة وتجرى على الجانب النقدي منها
"Report, audit",تقرير التدقيق,تقرير يصدره مدقق الحسابات و يبين رأيه في عدالة البيانات المالية لمنشأة استنادا إلى أعمال التدقيق التي قام بها.
Repurchase agreement,اتفاقية إعادة شراء,إتفاقية لتحويل أصل مالي إلى طرف ثان مقابل نقد أو عوض آخر و الإلتزام المتبادل معه بإعادة إمتلاك الأصل الملي في تاريخ مستقبلي مقابل مبلغ مساو للنقد أو العوض الآخر الذي تمت مبادلته بالإضافة إلى الفائدة.
Repurchase price,سعر إعادة شراء,سعر الإسترداد.
Repurchased stock,أسهم مستردة,أسهم معاد شراؤها.
Research Analyst (Sell-side vs. Buy-side),محلل البحوث (من جانب البيع ومن جانب الشراء),"يقوم محلل البحوث من جانب البيع بمتابعة قائمة من الشركات تكون كلها عادةً في نفس الصناعة لينشر تقارير بحثية لعملاء شركات السمسرة في الأوراق المالية. يقوم المحلل عادةً ببناء نماذج مالية للشركات التي يقوم بمتابعتها وكذلك التحدث مع العملاء والموردين والمنافسين والمصادر الأخرى في تلك الصناعة. المحصلة النهائية تشمل تقرير بحثي، وتوقعات مالية، وسعر مستهدف، وتوصية للسهم.

وعلى النقيض، يركز المحلل من جانب الشراء في أن يكون على صواب وأن يتجنب الأخطاء الكبرى حيث يستهدف أفكار استثمارية تنتج أداءً أفضل من مؤشر السوق. يقوم المحلل من جانب الشراء بتتبع المعلومات، وبناء النماذج المالية، وفهم نماذج أعمال الشركات محل الدراسة في محاولة لتعميق معرفته بها ليصل في النهاية لأفضل توصيات الأسهم."
Research Report,تقرير بحثي,هو وثيقة يعدها المحلل المالي كأحد أعضاء فريق أبحاث الاستثمار في شركات الوساطة في الأوراق المالية أو بنوك الاستثمار. وعادةً ما يركز التقرير البحثي على سهم أو أسهم في قطاع معين أو صناعة معينة أو عملة أو سلعة أو أداة ذات دخل ثابت.
Reserve,احتياطي,"(1) في المحاسبة تعني الكلمة، مبلغ يحجز من الأرباح غير الموزعة لمواجهة مصاريف أو إلتزامات مستقبلية معينة.
(2) في النظام المصرفي، تعني الكلمة المبالغ التي يطلب من المصرف الإحتفاظ بها في خزينته أو لدى المصارف الأخرى على أن لا يستعملها في الإقراض إلى عملائه."
Reserves,الاحتياطيات,مبالغ تستقطع من الأرباح/صافي الدخل لتغطية المطلوبات غير المحتملة أو المتطلبات القانونية، وتشكل جزءاً من رأس مال المساهمين أو الفائض.
Resistance,مستوي المقاومة,هو المستوى المتوقع أن يواجه السهم أو السوق عنده قوة بيعية. إما بسبب أن الأسعار قد وصلت عنده في الماضي وإنخفضت منه أو إذا كان هذا المستوى كان مستوى دعم أو عنده قوة شرائية في الماضي وإخترقته الأسعار بعد ذلك لأسفل فأصبح مقاومة.
Resistance Level,حاجزالمقاومة,هو مستويات أسعار التي يصعب تجاوزها صعودا، وتجاوزها يعد مؤشراً على حالة من الانتعاش في السوق
Restricted Investment Accounts,حسابات الاستثمار المقيدة,حسابات يأذن أصحابها باستثمار أموالهم استناداً إلى عقود المضاربة أو الوكالة مع قيود معينة حول المكان والكيفية والغرض الذي يجب استثمار هذه الأموال فيه.
Restrictions /limitations,قيود,قيود
Results of takeover offer,نتائج العرض,نتائج العرض
Retail financial products,منتجات التجزئة المالية,مثل منتجات صناديق الاستثمار، وحدات أمناء الاستثمار، التأمين على الحياة، وصناديق التقاعد
Retained Earnings,الأرباح المحتجزة,تشير الأرباح المحتجزة إلى النسبة المئوية لصافي الأرباح غير المدفوعة كأرباح، ولكن يتم الاحتفاظ بها من قبل الشركة لإعادة استثمارها في أعمالها الأساسية، أو لسداد الديون. يتم تسجيلها ضمن حقوق المساهمين في الميزانية العمومية. وتحسب صيغة الأرباح المحتجزة عن طريق إضافة صافي الدخل إلى أو طرح أية خسائر صافية من بداية الأرباح المستبقاة وطرح أية توزيعات أرباح للمساهمين.
Retakāful,إعادة التكافل,اتفاقية يتم من خلالها إسناد شركة التكافل بعض مخاطرها وفق اتفاقية إعادة تكافل إلزامية أو اختيارية بوصفها ممثلاً للمشاركين وفق عقد التكافل، وذلك بإسهامها بجزء من الأقساط بوصفه تبرعاً في صندوق مشترك ضد أية مخاطر أو أضرار معينة.
Retakāful Operator,مشغل إعادة التكافل,أية مؤسسة أو كيان يدير عملاً من أعمال إعادة التكافل، وغالباً ما تكون تلك المؤسسة أو الكيان -دون ضرورة ذلك- جزءاً من الكيان القانوني الذي يتم الاحتفاظ فيه بمصالح المشاركين.
Retakāful Participant,مشاركو إعادة التكافل,الأطراف التي تشارك في اتفاقية إعادة التكافل مع مشغل إعادة التكافل التي يحق لها الاستفادة منه بموجب عقد إعادة التكافل.
Retakāful Undertaking,شركة إعادة التكافل,شركة تكافل المشاركون فيها شركات تكافل ابتدائية، وتخضع لأحكام شركة التكافل نفسها.
Return of capital,عودة (أو استرداد) رأس المال,توزيع نقد ناجم عن توفير في ضريبة الإستهلاك و عن بيع أصل رأس مالي أو أوراق مالية في محفظة استثمارات محفظة الإستثمارات أو أية معاملة أخرى لا تتعلق بالأرباح غير الموزعة.
Return on  investment (ROI),العائد على الاستثمار,مقياس لقدرة الموجودات على تحقيق دخل معبر عنه كنسبة، و هذه النسبة تكشف ربحية المنشأة في عمليتها التشغيلية و بذلك فهي تعمل كمقياس لفاعلية و نشاط الإدارة.
Return on capital employed,الربح العائد المتحقق من الاستثمار وتوظيف الأموال,الربح العائد المتحقق من الاستثمار وتوظيف الأموال
Return on equity,العائد على حقوق الملكية,مبلغ يعبر عنه بنسب مئوية، اكتسب نتيجة استثمار الأسهم العادية للشركة لفترة معلومة.
Return on invested capital,العائد على رأس المال المستثمر,مبلغ يعبر عنه بنسبة مئوية أكتسب من استثمار رأس مال الشركة بكامله ( الأسهم العادية و الممتازة زائدا مديونتها الممولة طويلة الأجل).
Reversal Patterns,أشكال سعرية عاكسة للإتجاه,هي أشكال تظهر على الرسم البياني وتعتبر فترة حركة عرضية عادة تظهر على المدى المتوسط، تدل على أن هناك تغيير حقيقي في معادلة العرض و الطلب وأن السوق سيغير إتجاهه. لا يمكن أن نتوقع بعد هذه الأشكال أن الإتجاه سيستمر في إتجاهه. ومن الممكن حساب هدف الحركة المتوقعة بعد إكتمال هذه الأشكال.
Reverse Acquisition,الاستحواذ العكسي,هو أي ترتيب تقوم بموجبه شركة مدرجة بإصدار أسهم جديدة وعرضها على مساهمي شركة غير مدرجة عوضا عن أسهمهم بحيث تمثل الأسهم الجديدة أكثر من 50% من الأسهم المصدرة في الشركة المدرجة بعد تنفيذ الاستحواذ
Right,الحق في شراء أسهم إضافية,إتاحة الفرصة لمساهمي الشركة الحاليين في الاكتتاب في حصص إضافية من الطرح الجديد
Rights issue,عرض الأسهم للمستثمرين الحاليين (مزايا وحقوق الإصدار التي تنطبق على المستثمرين الحاليين),عرض الأسهم للمستثمرين الحاليين (مزايا وحقوق الإصدار التي تنطبق على المستثمرين الحاليين)
Rights issuing /trading separate from possession,اصدار / تداول الحقوق ، حيث يسمح باصدار/تداول الحقوق الخاصة بالاوراق المالية بشكل منفضل,اصدار / تداول الحقوق ، حيث يسمح باصدار/تداول الحقوق الخاصة بالاوراق المالية بشكل منفضل
Risk,المخاطر,"يمكن تعريف المخاطر بأنها درجة التعرض للتغير فى المحفظة، ويمكن أن يأتي التعرض لاحتمالات المخاطر من خلال السوق والذى يعرف باسم مخاطر السوق ، أو بسبب التحريك الذى يطرأ على اسهم معينة والذى يسمى أيضا باسم ""مخاطر نوعية محددة"" أو ما يعرف باسم المخاطر النظامية المتعلقة أساسا باستقرار النظام المالى، كما أن هناك أيضا مخاطر تتعلق بالعملة وتلك التى تتعلق بالتغييرات التى ئطرأ على سعر الصرف والعملات"
Risk analysis,تحليل المخاطرة,عملية قياس و تحليل المخاطرة المرتتبطة بالقراراة المالية و الإستثمارية.
Risk Appetite (Takāful),قابلية الإقدام على المخاطر (التكافل),مقدار المخاطر التي تستطيع شركة التكافل الإقدام عليها لتحقيق أهداف أصحاب المصلحة في صندوق معين.
Risk Management (Takāful),إدارة المخاطر (التكافل),الإجراءات التي تتخذها شركة التكافل أو إعادة التكافل لتقييم تأثير الأحداث الماضية والمستقبلية المحتملة التي قد تضر بالشركة والتحكم فيها.
Risk Margin (Takāful),هامش المخاطر (التكافل),عنصر من المخصصات الفنية لصندوق مخاطر المشاركين يعكس درجة المخاطر وعدم التيقن لدى تحديد التقديرات الحاضرة، ويُنتج مخصصات فنية تعكس القيمة التي يتوقع من مشغل تكافل آخر أن يطالب بها بغية الاستيلاء (الفرضي) على محفظة الالتزامات.
Risk measurement,قياس نسبة المخاطر,يستخدم هذا المقياس للتنبؤ بالمخاطر المستقبلية وفهم حجم المخاطر المبني على استقراء المعلومات السابقة
Risk on default,مخاطرة عدم السداد,مخاطرة عدم السداد
Risk operational,المخاطر الناجمة عن التشغيل,مخاطر التشغيل - مخاطر الخسارة بسبب الأخطاء المطبعية، أو ضعف الأداء المؤسسي، أو بسبب الـتأجيل، التزييف، عدم جاهزية النظام المستخدم، أو تلك الناجمة بسبب أداء متعهدي الخدمات المالية والمعلومات أو غيرها من الأحداث المشابهة
Risk premium,علاوة المخاطرة,الفرق بين سعر الصرف المستقبلي و السعر الفوري المتوقع مستقبلا.
Risk systemic,المخاطر النظامية,المخاطر الناجمة عن عدم قدرة المؤسسة للوفاء بالتزاماتها عند حلول الأجل ويترتب على ذلك عدم قدرة مؤسسة أو مؤسسات أخرى على الوفاء بالتزاماتها أيضا مما يسبب سلسلة من ردود الفعل والتأثيرات العكسية على السوق والمعاملات بصفة عامة
Risk Weighting,أوزان المخاطر,إعطاء وزن لموجودات أو مطلوبات معينة اعتماداً على طبيعة المخاطر.
Rolling settlement,فترة تسوية عملية التداول,أى الفترة التى تستغرقها التسوية بعد تنفيذ عملية التداول ويمكن تعريفها من خلال T+n حيث أن n هنا تشير إلى عدد الأيام المطلوبة للتسوية، فمثلا إذا كانت 3+T معناها أن عملية التسوية تستغرق ثلاثة أيام بعد يوم التداول حيث أن T هنا تشير إلى التداول
Royalty,أتاوة,تعويض صاحب الإمتياز على شكل نسبة مئوية من الأرباح أو المشاركة في المنتوجات.
Run-off (Takāful),تسرب المشاركين (التكافل),الحالة التي لم يعد مشغل التكافل يواصل فيها أعمالاً تجارية جديدة لصالح صندوق مخاطر المشاركين، لكنه يواصل الوفاء بالتزامات الصندوق فيما يتعلق بعقود التكافل سارية المفعول إلى أن ينتهي أجلها، بما في ذلك المنافع الناجمة عن تلك العقود.
Safeguarding of assets,حماية الموجودات,عملية حماية موجودات المنشأة من خلال وجود نظام رقابة داخلية.
Salam,السلم,بيع سلعة موصوفة في الذمة معلومة النوع والمقدار والصفة بثمن معلوم يدفع عند التعاقد وتسلم السلعة في المستقبل دفعة واحدة أو على دفعات.
Sales or Revenues,المبيعات أو الإيرادات,هو المبلغ الذي تتلقاه الشركة فعليا خلال فترة محددة، بما في ذلك الخصومات والخصومات للبضائع المعادة. هذا هو الرقم الأعلى أو الإيراد الإجمالي الذي يتم طرح التكاليف منه لتحديد صافي الدخل.
Saucer,شكل الصحن,هو شكل من الأشكال السعرية الكلاسيكية العاكسة للاتجاه. وهو شكل سعري يدل على تغيير تدريجي في معادلة العرض و الطلب فتنتقل الحركة من إنخفاض حاد إلى إنخفاض ضعيف إلى حركة عرضية إلى إرتفاع تدريجي إلى إرتفاع حاد. وعادة يأخذ وقت زمني كبير وهو يوضح مرحلة التجميع المذكورة في نظرية داو. وتأخذ أحجام التداول نفس شكل الصحن في القاع وترتفع بحدة مع بداية الاتجاه الجديد.
Screen-based trading,التداول الإلكتروني,هو تداول لا يحتاج إلى صالة التداول بالبورصة ، ولكن من خلال أجهزة الكومبيوتر يقوم المتداولون بادخال عروض الشراء والبيع ومن ثم تتم عمليات التداول
Second order,مقياس الحساسية الذي يستخدم لقياس نسبة تغير العلاقة بين قيمة المحفظة وعنصر المخاطرة المحتمل بها (أو ما يسمى بخط المنحنى إذا تم التعبير عنه كرسم بياني),مقياس الحساسية الذي يستخدم لقياس نسبة تغير العلاقة بين قيمة المحفظة وعنصر المخاطرة المحتمل بها (أو ما يسمى بخط المنحنى إذا تم التعبير عنه كرسم بياني)
Secondary issue,قيام شركة مدرجة بإصدار أسهم جديدة,مثالاً على ذلك: إصدارات الحقوق، أو أسهم المنحة
Secondary market,السوق الثانوية,"(1) أسواق التبادل و العمليات الفورية (أي العمليات خارج السوق المالية) حيث تشترى أو تباع الوراق المالية مباشرة بعد صدورها الأصلي ( لأول مرة) الذي حدث في السوق الرئيسية.
(2) السوق التي تتم فيها المتاجرة بأدواة السوق النقدية بين المستثمرين."
Secured bonds,سندات مضمونة,سندات مدعومة (مكفولة) بضمان أموال ( رهونات، أو حق حجز أموال أو رهن عقاري).
Securities,الاوراق المالية,تعني بشكل عام الأسهم والسندات أو أية حقوق أخرى لإستلام أرباح أسهم أو فوائد، وبمعني أكثر تحديدا تعني الحقوق التي يدعمها نوعا من الضمان.
Securities borrowing / lending,اقتراض الأوراق المالية,اجراء متعارف عليه فى بورصات الأسواق الأجنبية حيث يقوم به صناع السوق وذلك بغرض احداث نفص فى المعروض من تلك الأوراق المالية فى البورصات مقابل مصاريف ورسوم
Securities for which the offer is made,الأوراق المالية محل العرض,الأوراق المالية محل العرض
Securities market,سوق الأوراق المالية  / بورصة الأوراق المالية,إصطلاح عام يطلق على الأسواق التي تتم فيها المتاجرة بالأوراق المالية و تشمل كلا النوعين من الأسواق: (1) السوق المنظم لتداول الأوراق المالية. (2) السوق الذي يتم فيه تداول الأوراق المالية من خلال الهاتف أو شبكة الحاسب الآلي و يسمى Over the counter market (OTC.)
Securities Settlement System,نظام تسوية الأوراق المالية,كيان يتولى سوية وتحويل الأوراق المالية عن طريق القيد الدفترى، وفقا لمجموعة قواعد محددة مسبقا
"Securities, listed",أوراق مالية مدرجة,مسجلة في البورصة.
Securitization,"(1) التوريق المالي
(2) عملية توزيع المخاطرة","(1) عملية تحويل قروض مصرفية أو عمليات مالية أخرى غير قابلة للتداول إلى أوراق مالية قابلة للتداول.
(2) بتجميع أدواة الدين في مجمع (POOL)، و بعد ذلك إصدار أوراق مالية جديدة يدعمها مجمع أدواة الدين."
Security identification  number,الرقم التعريفي للورقة المالية,الذى يجب أن يتطابق مع مواصفة التعريف الدولية مثل مدونة أرقام تعريف الأوراق المالية الدولية (ISIN)، أو لجنة نظم واجراءات تعريف الأوراق المالية الرسمية (CUSIP)
Security ratings,تقييمات الأوراق المالية,عمليات تقييم تتم للمخاطرة الإئتمانية و المخاطرة الإستثمارية للأوراق المالية المصدرة لأول مرة، من قبل وكالات تجارية مختصة.
Segment,قطاع,"(1) بشكل عام، مجال معين مثل القطاع التجاري أو الصناعي...
(2) جزأ من منشأة يتم إصدار التقارير المالية حولها مثل نشاط معين أو منطقة جغرافية معينة.
(3) جزأ من برنامج حاسوب."
Segmentation,قطاعي,على نطاق ضيق بصفة خاصة فيما يتعلق بسياسات تخص منطقة معينة
Segregation funds,فصل الأصول,حيث يتم فصل أصول العملاء عن أصول الشركة العضو بالسوق
Self regulating organization (SROs),هيئات ذاتية الإدارة,حتى عام 1986 كانت هذه الأجهزة أو الهيئات تحظى بصلاحيات الإدارة الذاتية في المملكة المتحدة، وأصبحت جميعها تخضع لسلطة الخدمات المالية بالمملكة المتحدة، لكم منذ ذلك التاريخ أصبحت جميعها تخضع لسلطة الخدمات المالية بالمملكة المتحدة
sell options on a stock,اصدار او منح خيارات على اسهم,اصدار او منح خيارات على اسهم
Sell out,مطالبة الاقلية بتقديم المسيطر لعرض شراء,مطالبة الاقلية بتقديم المسيطر لعرض شراء
Settlement,عملية التسوية,العملية التي يتم بموجبها إتمام أي عقد تداول لنقل ملكية الأوراق المالية من البائع إلى المشتري وتسديد قيمتها بشكل نهائي وغير مشروط.
"Settlement, rolling",فترة التسوية التي تتم عقب المعاملة,على سبيل المثال يتم تسوية السندات الأوربية فى ثالث يوم عمل من تاريخ التداول 3+T، بينما الأسهم فى المملكة المتحدة يتم تسويتها خامس يوم عمل من تاريخ التداول 5+T
Share buyback,استرداد وإلغاء الشركة لجزء من أسهمها,فى المملكة المتحدة تخضع عملية إعادة الشراء والالغاء لحكم المحكمة العليا وموافقة مصلحة الضرائب فى المملكة المتحدة، بينما تخضع عملية الاسترداد واعادة الشراء لموافقة هيئة الأوراق المالية والسلع بدولة الامارات على ألا تزيد النسبة عن 10% من أسهم الشركة
Share capital,رأس المال (القيمة الأسمية للأسهم المصدرة),وهو الرقم الذي يظهر في الميزانية العمومية للشركة عم الأسهم المكتتب بها
Share certificate,شهادة الأسهم,الشهادة التى تصدرها الشركة مبينا بها الاسم، سواء كان الاسم المطبوع بها هو اسم المالك المسجل أو حامل الشهادة هو المالك
Share option,حق المستثمر في تحويل خيار البيع او الشراءلاسهم شركة معينة وفق سعر محدد سابقا وايطار زمني محدد,حق المستثمر في تحويل خيار البيع او الشراءلاسهم شركة معينة وفق سعر محدد سابقا وايطار زمني محدد
Share split,تقسيم السهم الواحد إلى عدد من الأسهم ذات قيم أسمية أقل وتسمى أيضا عملية التقسيم الفرعي,تقسيم السهم الواحد إلى عدد من الأسهم ذات قيم أسمية أقل وتسمى أيضا عملية التقسيم الفرعي
Share yield,نسبة من قيمة السهم المسعرة,نسبة من قيمة السهم المسعرة حسب الشركة او صندوق الاستثمار المفتوح OEIC بما يمثله من من الدخل السنوى المتوقع عن الفترة المحاسبية الجارية بعد خصم كافة التكاليف والعائد يمثل المبلغ الخاضع للضريبة حسب نظام المملكة المتحدة
"Shared, deffered",أسهم مؤجلة الأرباح,فئة من الأسهم ينص بصراحة على تأجيل دفع الأرباح لها حتى تحصل فئة أخرى من الأسهم على حصتها أو بعد دفع إلتزام معين على الشركة
Shareholder,المساهم,شخص طبيعي أو اعتباري يمتلك أسهما صادرة عن شركة مساهمة
Shareholder funds,تمويلات المساهمين في راس المال,تمويلات المساهمين في راس المال من خلال الاكتتاب في اسهم الشركة بالإضافة إلى الأرباح المحتجزة
Shareholder rights,الحقوق القانونية للمساهمين,الحقوق القانونية للمساهمين مثل حق التصويت في الجمعية العمومية
shareholders,حاملى الأسهم العادية أو مساهمى الشركة,حاملى الأسهم العادية أو مساهمى الشركة
Shareholders Register,سجل المساهمين,سجل رسمي يوثق ملكية أسهم شركة مساهمة كما يوثق انتقال ملكية هذه الأسهم وأي تصرف يتم عليها ويضم عادة أسماء مالكي الأسهم وعناوينهم وعدد الأسهم التي يمتلكها كل منهم
Shareholders’ Fund (Takāful),صندوق المساهمين (التكافل),صندوق يمثل موجودات ومطلوبات مشغل التكافل أو مشغل إعادة التكافل ولا ينسب إلى المشاركين.
Shareholding Company,شركة المساهمة,هي شركة ينقسم رأس مالها إلى أسهم متساوية القيمة تقبل التداول، وتقتصر مسؤولية المساهم على قيمة الأسهم التي اكتتب فيها، ولا يسأل عن التزامات الشركة إلا في حدود القيمة الاسمية لما اكتتب فيه من أسهم
Shares,الأسهم,الأسهم الصادرة أو المقترح إصدارها في رأس مال شركة
Shares authorized,رأس المال المصرح به,عدد الأسهم لرأس المال المثبت في عقد تأسيس الشركة، و هذا العدد أو الرقم يذكر عادة في جزأ حسابات رأس المال في الميزانية العمومية للشركة.
Sharīʻah,الشريعة,الأحكام الشرعية العملية المستنبطة من المصادر الشرعية (القرآن والسنة والإجماع والقياس)، وغيرها من المصادر الشرعية المعتمدة.
Sharīʻah Advisory Firm,شركة استشارات شرعية خارجية,كيان يقدّم، وفق حجمه وقدرته، خدمات استشارات شرعية تشمل خدمات المراجعة والتدقيق الشرعي، وكذلك نصائح تتعلق بتطوير المنتجات المتفقة مع أحكام الشريعة، بصفتها جزءاً من خدماتها المهنية.
Sharīʻah non-Compliance Risk,مخاطر عدم الالتزام بأحكام الشريعة,المخاطر تشغيلية ناتجة عن عدم التزام المؤسسة بمبادئ وأحكام الشريعة في منتجاتها وخدماتها.
Short,"(1) عجز
(2) بيع على المكشوف
(3) مبلغ جزئي 
(4) قصير الأجل
(5) غير كاف","(1) عجز
(2) بيع على المكشوف
(3) مبلغ جزئي 
(4) قصير الأجل
(5) غير كاف"
Short selling,البيع على المكشوف,عملية يقوم بها المضارب في البورصة يتوقع انخفاض أسعار أسهم شركة معينة فيقوم بإقتراض بعض الأسهم من وسيط و يبيعها بالسعر الجاري الحالي المرتفع، و ينتظر انخفاض السعر ليقوم بشراء أسهم جديدة بالسعر المنخفض و يعيدها إلى الوسيط (مستبقيا فارق السعرين ناقصا فائدة الوسيط) كربح
Short-term Investments,الاستثمار قصير الأجل في أسواق المال,هو ذلك النوع من الاستثمار في أسواق المال والذي ينطوي على شراء وبيع أوراق مالية عند أسعار محددة سلفأ بهدف تحقيق أرباح خلال فترات قصيرة نسبيا.
Sideways Trend,إتجاه عرضي,هو ما يُطلق عليه اللاإتجاه، فهو عبارة عن توازن بين القوة الشرائية والقوة البيعية. بحيث أن يكون هناك منطقة مقاومة لا تستطيع الأسعار اختراقها لأعلى ومنطقة دعم لا تستطيع الأسعار إختراقها لأسفل.
Sinking fund,صندوق أموال لسداد الدين أو استبدال أصل,صندوق أموال مستثمرة تتم تغذيته بمبالغ سنوية و الغاية منه سداد دين أو قرض أو استبدال أصل في تاريخ معين
Solvency Control Levels (Takāful),مستويات مراقبة الملاءة (التكافل),هي التي إن تم الإخلال بها نَجم عن ذلك قيود على مشغل التكافل أو تدخل من قِبل السلطات الإشرافية.
Solvency Requirements (Takāful),متطلبات الملاءة (التكافل),المتطلبات المالية التي يتم تحديدها بصفتها جزءاً من نظام الملاءة والمتعلقة بتحديد مبالغ موارد الملاءة التي يجب على شركة التكافل أن تتوفر لديها إضافة إلى الموجودات التي تغطّي مخصصاتها الفنية ومطلوباتها الأخرى.
Solvency Resources,موارد الملاءة,الفائض في الموجودات الزائد عن المطلوبات الذي يعد متاحاً لمتطلبات الملاءة وفق القوانين المحلية أو القوانين الإشرافية.
Sovereign debt securities,أوراق مالية الدين الحكومي,السندات والصكوك المصدرة من الجهات الحكومية بالبلدان المختلفة والتى تمثل الدين الحكومي المحلي (الديون السيادية)
Specialist,نظام تداول خاص - ببورصة نيويورك لضمان سلامة المعاملات,نظام تداول خاص - ببورصة نيويورك لضمان سلامة المعاملات
Speculation,مضاربة,تخصيص أموال في استثمار يحمل في طياته مخاطرة عالية مثل شراء خيارات أو عقود مستقبلية، و تقاس الخطورة بالتغيرات في العائد و احتمالية التوزيع لتلك العوائد. أن الإستثمار لأغراض المضاربة ترافقه نتائج تنبؤية، لكن عبر مدى واسع من العائدات الممكنة مع احتمالات كبيرة لحدوث الأمور المتطرفة، و المضاربة أساسا، هي متاجرة قصيرة الأجل مع الأمل بالحصول على ربح أعلى بصورة ربح رأس مالي إلا أنها تكتنفها مخاطر أكبر.
Speculative market,سوق المضاربة,سوق تحدث فيه المضاربة بشكل دائم
Speculator,مضارب,أحد المشاركين في فعاليات السوق الذي يحاول أن يجني أرباحا من خلال شرائه و بيعه عقودا مستقبلية و عقود خيارات بتوقعاته عن حركات الأسعر المستقبلية
Split,تجزئة، انقسام,زيادة في عدد الأسهم القائمة لشركة بدون أي تغيير في حقوق المساهمين أو في اجمالي القيمة السوقية في تاريخ التجزئة
Spot,"(1) مكان، نقطة
(2) فوراً، في الحال
(3) جاهز للتسليم، حاضر 
(4) نقدي","(1) مكان، نقطة
(2) فوراً، في الحال
(3) جاهز للتسليم، حاضر 
(4) نقدي"
Spot Market,السوق الفوري,هو السوق الذي تتم فيه تسوية المعاملات أو استلام وتسليم الأوراق المالية موضع الصفقات خلال فترة زمنية قصيرة
Spot price,السعر الفوري,سعر التسليم الحالي لبضاعة تمت المتاجرة بها في سوق الصفقات الفورية
Squeeze out,عرض السحب,عرض السحب او عرض شراء من المسيطر لإخراج مساهمى الاقلية
Squeeze out – compulsory acquisition,حق الأغلبية فى إخراج الأقلية,حق الأغلبية فى إخراج الأقلية  ، او عرض السحب او عرض شراء من المسيطر لإخراج مساهمى الاقلية
Stakeholders,أصحاب المصالح,كل شخحص له مصلحة مع الشركة مثل العاملين والدائنين والموردين والعملاء، والوكلاء، ومقدمي الخدمات للشركات
Stock,"(1) أسهم
(2) شهادة أسهم
(3) مخزون
(4) مواش
(5) يخزن، يمول، يجهز
(6) عربة تجري على عجلات","(1)الرأس مال القانوني الموزع على أسهم
(2) شهادة أسهم
(3) المخزون من البضاعة الجاهزة أو تحت التشغيل أو المواد الخام
(4) مواش
(5) يخزن، يمول، يجهز
(6) تستخدم في صناعة النقل مثل عربات سكك الحديد، السيارات، القاطرات و المقطورات، الشاحنات"
Stock arbitrage,المراجحة في الأسهم,شراء أسهم في سوق و بيعها فب نفس الوقت أو في سوق آخر للإستفادة من فروقات الأسعر
Stock dividend,أسهم منحة,توزيع أسهم في صورة مجانية، و يعلن عن توزيع الأرباح على هذا النحو غالبا عندما يكون المركز النقدي (السيولة) غير كاف و/أو عندما ترغب الشركة بزيادة معدلات التداول لأسهمها عن طريق تقليل أو تنزيل السعر السوقي لأسهمها.
Stock Dividends,أسهم المنحة,هي الأسهم التي تقوم الشركة بتوزيعها على مساهميها إضافة إلى التوزيعات النقدية آو بدلا عنها
Stock exchange,سوق الأوراق المالية / البورصة,سوق منظم يتم فيه تداول (شراء و بيع) الأسهم و السندات من قبل الأعضاء في السوق الذين يعملون في نفس الوقت كوكلاء (وسطاء) و كمتعاملين أصلين و تجار، و تتواجد البورصة في موقع معين في المدينة حيث يلتقي فيها الوسطاء و المتعاملون لتنفيذ أوامر من مؤسسات أو أفراد مستثمرين لشراء و بيع الأوراق المالية، و كل بورصة تضع شروطا و متطلبات للعضوية فيها
Stock exchange automated quotation system (SEAQ),نظام عرض الأسعار الكترونياً على الشاشات,نظام عرض الأسعار الكترونياً على الشاشات، حيث يظهر صناع السوق الأسعار التى يرغبون التداول بها فى الأسهم
Stock option,خيار الأسهم,الحق في شراء أو بيع أسهم شركة خلال فترة محددة و بسعر محدد
Stock option plans,خطط خيارات الأسهم,ترتيبات لمنح الموظفين خيارات أسهم كنوع من المنافع
