
%'d / %'d,%'d / %'d,%'d / %'d,%'d / %'d
%'dnd link to %s,,,الوصلة %I'd إلى %s
%'drd link to %s,,,الوصلة %I'd إلى %s
%'dst link to %s,,,الوصلة %I'd إلى %s
%'dth link to %s,,,الوصلة %I'd إلى %s
%-e %b,,,%-e %B
%-e %b %H:%M,,,%-e %B %H:%M
%-e %b %Y,%-e %b %Y,%-e. %b %Y,%-e %B %Y
%-e %b %Y %H:%M,,,%-e %B %Y %H:%M
%-e %b %Y %l:%M %p,,,%-e %B %Y %l:%M %p
%-e %b %l:%M %p,,,%-e %B %l:%M %p
%H:%M,,,%OH:%OM
%a,,,%A
%a %H:%M,,,%A %H:%M
%a %l:%M %p,,,%A %l:%M %p
%c,,,%-e %B %Y %-l:%M %p
%d MB,,,%d م.ب
%f N / %f W (%.0f m),,,%f ش / %f ج (%.0f م)
%l:%M %p,,,%l:%M %p
"%s %s, %s %s",,,%s %s، %s %s
%s (%'dnd copy)%s,,,%s (نسخة %I'd)%s
%s (%'drd copy)%s,,,%s (نسخة %I'd)%s
%s (%'dst copy)%s,,,%s (نسخة %I'd)%s
%s (%'dth copy)%s,,,%s (نسخة %I'd)%s
%s (%s),%s (%s),%s (%s),%s (%s)
%s (another copy)%s,,,%s (نسخة أخرى)%s
%s (copy)%s,,,%s (نسخة)%s
%s / %s,%s / %s,%s / %s,%s / %s
%s Properties,,,خصائص %s
%s Visible Columns,,,‏%s أعمدة مرئية
%s document,,,مستند ‏%s
%s more space is required to copy to the destination.,%s d’espace supplémentaire est requis pour copier vers la destination.,"%s zusätzlicher Platz ist nötig, um zum Zielort zu kopieren.",النسخ إلى الوجهة المطلوبة يحتاج مساحة إضافية %s.
Whether to show hidden files,Indique s’il faut afficher les fichiers cachés,"Legt fest, ob verborgene Dateien angezeigt werden",فيما إذا ستعرض الملفات المخفية
Which file types will be searched,,,ما أنواع الملفات التي سيُبحث فيها
Width,Largeur,Breite,العرض
Width of the side pane,,,عرض اللوح الجانبي
X,,,س
Y,,,ص
Yesterday,,,أمس
Yesterday %H:%M,,,أمس %OH:%OM
Yesterday %l:%M %p,,,أمس %l:%M %p
"You are not the owner, so you cannot change these permissions.",,,لست المالك، لذلك لا يمكنك تغيير هذه التصاريح.
You are trying to replace the destination folder “%s” with a symbolic link.,Vous tentez de remplacer le dossier de destination « %s » par un lien symbolique.,"Sie versuchen, den Zielordner »%s« durch eine symbolische Verknüpfung zu ersetzen.",تحاول استبدال المجلد الوجهة ”%s“ برابط رمزي.
You can only use local images as custom icons.,Seules des images locales peuvent être utilisées comme icônes personnalisées.,Sie können ausschließlich lokale Bilder als benutzerdefinierte Symbole verwenden.,يمكنك فقط استعمال الصور المحلية كأيقونات مخصصة.
You can stop this operation by clicking cancel.,Vous pouvez arrêter cette opération en cliquant sur annuler.,"Sie können diese Aktion abbrechen, indem Sie Abbrechen anklicken.",يمكنك إيقاف هذه العمليّة بنقر الغِ.
You cannot assign more than one custom icon at a time!,Vous ne pouvez pas attribuer plus d’une icône personnalisée à la fois !,Sie können nicht mehr als ein benutzerdefiniertes Symbol auf einmal zuweisen!,لا يمكنك إعطاء أكثر من أيقونة مخصصة واحدة في آن واحد!
You cannot copy a file over itself.,Impossible de copier un fichier sur lui-même.,Sie können eine Datei nicht über sich selbst kopieren.,لا يمكنك نسخ مجلد إلى نفسه.
You cannot copy a folder into itself.,Impossible de copier un dossier dans lui-même.,Sie können einen Ordner nicht in sich selbst kopieren.,لا يمكنك نسخ مجلد إلى نفسه.
You cannot move a file over itself.,Impossible de déplacer un fichier sur lui-même.,Sie können eine Datei nicht über sich selbst verschieben.,لا يمكنك نقل مجلد إلى نفسه.
You cannot move a folder into itself.,Impossible de déplacer un dossier dans lui-même.,Sie können einen Ordner nicht in sich selbst verschieben.,لا يمكنك نقل مجلد إلى نفسه.
You do not have permissions to access the destination folder.,Vous n’avez pas la permission d’accéder au dossier de destination.,"Sie besitzen nicht die nötigen Zugriffsrechte, um auf den Zielordner zuzugreifen.",لا تملك الصلاحيات الكافية للوصول إلى المجلد المقصود.
You do not have sufficient permissions to delete the file “%s”.,Vous n’avez pas les permissions nécessaires pour supprimer le fichier « %s ».,"Sie haben nicht die nötigen Zugriffsrechte, um die Datei »%s« zu löschen.",لا تملك التصاريح الكافية لحذف الملف ”%s“.
You do not have sufficient permissions to delete the folder “%s”.,Vous n’avez pas les permissions nécessaires pour supprimer le dossier « %s ».,"Sie haben nicht die nötigen Zugriffsrechte, um den Ordner »%s« zu löschen.",لا تملك التصاريح الكافية لحذف المجلد ”%s“.
You do not have the permissions necessary to change the group of “%s”.,Vous n’avez pas les permissions nécessaires pour changer le groupe de « %s ».,"Sie haben nicht die nötigen Zugriffsrechte, um die Gruppe von »%s« zu ändern.",لا تملك التصاريح الكافية لتغيير مجموعة ”%s“.
You do not have the permissions necessary to rename “%s”.,Vous n’avez pas les permissions nécessaires pour renommer « %s ».,"Sie haben nicht die nötigen Zugriffsrechte, um »%s« umzubenennen.",لا تملك التصاريح الكافية لتغيير اسم ”%s“.
You do not have the permissions necessary to view the contents of “%s”.,Vous n’avez pas les permissions nécessaires pour afficher le contenu de « %s ».,"Sie haben nicht die nötigen Zugriffsrechte, um den Inhalt von »%s« anzuzeigen.",لا تملك التصاريح الكافية لعرض محتويات ”%s“.
Zoom in,,,قرّب
Zoom out,,,بعّد
[URI…],[URI…],[ADRESSE …],[مسار...]
A-Z,A-Z,A-Z,أ-ي
About,,,عنْ
Add,Ajouter,Hinzufügen,أضف
All locations,,,كل الأماكن
Ask what to do,,,اسأل ما الذي يجب فعله
Cancel,Annuler,Abbrechen,ألغِ
Close Tab,Fermer l’onglet,Schließen,أغلق اللسان
Connect,Connecter,Verbinden,اتّصل
Copy,Copier,Kopieren,انسخ
Copy Here,Copier ici,Hierher kopieren,انسخ هنا
Delete,Supprimer,Löschen,احذف
Delete Permanently,Supprimer définitivement,Dauerhaft löschen,احذف نهائيا
Delete from Trash,,,احذف من المهملات
Detect Media,Détecter le média,Medium erkennen,تعرف على الوسائط
Disconnect,Déconnecter,Trennen,اقطع الاتصال
Display,,,اعرض
Display them,,,اعرضهم
Double click to open items,,,نقر مزدوج لفتح العناصر
Eject,Éjecter,Auswerfen,أخرج
Empty,Vider,Leeren,أفرغ
Extract Here,,,استخرج هنا
Files,Fichiers,Dateien,ملفات
Files on this computer only,,,على هذا الحاسوب فقط
First Modified,Première modification,Älteste Änderung,أول تعديل
Format…,,,التهيئة…
Group:,,,المجموعة:
Help,Aide,Hilfe,مساعدة
Keyboard Shortcuts,Raccourcis clavier,Tastenkürzel,اختصارات لوحة المفاتيح
Link Here,Lier ici,Verknüpfung erstellen,اربط هنا
Lock Drive,Verrouiller le volume,Laufwerk sperren,أوصد السواقة
Merge,Fusionner,Zusammenführen,ادمج
Mount,Monter,Einhängen,صِل
Move Here,Déplacer ici,Hierher verschieben,انقل هنا
Never,,,أبدًا
New Tab,Nouvel onglet,Neuer Reiter,لسان جديد
OK,Valider,OK,نعم
On this computer only,,,على هذا الحاسوب فقط
Open,Ouvrir,Öffnen,افتح
Open Item Location,Ouvrir l’emplacement de l’élément,Ort des Objekts öffnen,افتح مكان العنصر
Open Scripts Folder,Ouvrir le dossier de scripts,Skriptordner öffnen,افتح مجلد النصوص الشفرية
Owner:,,,المالك:
Paste,Coller,Einfügen,ألصق
Paste Into Folder,Coller dans le dossier,In Ordner einfügen,ألصق في المجلد
Pattern:,,,النمط:
Preferences,Préférences,Einstellungen,التفضيلات
Properties,Propriétés,Eigenschaften,الخصائص
Quit,,,أنهِ
Redo,Rétablir,Wiederholen,أعد
Redo Batch Rename,Refaire le renommage par lot,Mehrfachumbenennung wiederholen,أعد تغيير الاسم الجماعي
Redo Change Group,Rétablir les modifications de groupe,Ändern der Gruppe wiederholen,أعد تغيير المجموعة
Redo Change Owner,Rétablir les modifications de propriétaire,Eigentumsänderung wiederholen,أعد تغيير المالك
Redo Change Permissions,Rétablir les modifications de permissions,Ändern der Zugriffsrechte wiederholen,أعد تغيير التصاريح
Redo Compress,Refaire la compression,Komprimieren wiederholen,أعد الضغط
Redo Copy,Refaire la copie,Kopieren wiederholen,أعد النسخ
Redo Create Empty File,Rétablir la création du fichier vide,Erstellen einer leeren Datei wiederholen,أعد إنشاء ملف فارغ
Redo Create Folder,Rétablir la création du dossier,Anlegen eines neuen Ordners wiederholen,أعد إنشاء مجلد
Redo Create Link,Rétablir la création du lien,Angelegte Verknüpfung wiederholen,أعد إنشاء الرابط
Redo Create from Template,,,أعد الإنشاء من قالب
Redo Duplicate,Rétablir la duplication,Duplizieren wiederholen,أعِد المُضاعفة
Redo Extract,Refaire la compression,Entpacken wiederholen,أعد الاستخراج
Redo Move,Rétablir le déplacement,Verschieben wiederholen,أعد النقل
Redo Rename,Rétablir le renommage,Umbenennen wiederholen,أعد تغيير الاسم
Redo Restore from Trash,,,أعد الاستعادة من المُهملات
Redo Starring,Rétablir le marquage,Zu Favoriten hinzufügen wiederholen,أعِد وضع النجمة
Redo Trash,Rétablir la mise à la corbeille,Verschieben in den Papierkorb wiederholen,أعد النقل للمُهملات
Redo Unstarring,Rétablir le démarquage,Von Favoriten entfernen wiederholen,أعِد إزالة النجمة
Remove from Recent,,,احذف من المستخدم حديثا
Rename,Renommer,Umbenennen,غيّر الاسم
Replace,Remplacer,Ersetzen,استبدل
Restore,,,استعد
Restore From Trash,Restaurer depuis la corbeille,Aus dem Papierkorb wiederherstellen,استعد من المهملات
Retry,Réessayer,Wiederholen,أعد المحاولة
Revert,Rétablir,Zurücknehmen,اعكس
Run,Lancer,Ausführen,شغّل
Run them,,,شغّلهم
Safely Remove Drive,Retirer le volume sans risque,Laufwerk sicher entfernen,أزِل السواقة بأمان
Scripts,Scripts,Skripte,نصوص شفرية
Select,Sélectionner,Auswählen,اختر
Select Application,,,اختر تطبيقا
Select a new name for the destination,,,حدد اسما جديدا للوِجهة
Show sidebar,,,أظهر الشريط الجانبي
Single click to open items,,,نقرة مفردة لفتح العناصر
Size,Taille,Größe,الحجم
Skip,Ignorer,Überspringen,تخطى
Skip files,Ignorer les fichiers,Dateien überspringen,تخطى الملفات
Start,Démarrer,Starten,ابدأ
Start Multi-disk Drive,Démarrer l’unité multidisque,Multimedienlaufwerk starten,ابدأ سواقة متعددة الأقراص
Stop,Arrêter,Stopp,قف
Stop Multi-disk Drive,Arrêter l’unité multidisque,Multimedienlaufwerk stoppen,أوقف سواقة متعددة الأقراص
Type,Type,Typ,النوع
Undo,Annuler,Rückgängig,تراجع
Undo Batch Rename,Annuler le renommage par lot,Mehrfachumbenennung rückgängig machen,تراجع عن تغيير الاسم الجماعي
Undo Change Group,Annuler les modifications de groupe,Ändern der Gruppe rückgängig,تراجع عن تغيير المجموعة
Undo Change Owner,Annuler les modifications de propriétaire,Eigentumsänderung rückgängig machen,تراجع عن تغيير المالك
Undo Change Permissions,Annuler les modifications de permissions,Ändern der Zugriffsrechte rückgängig machen,تراجع عن تغيير التصاريح
Undo Compress,Annuler la compression,Komprimieren rückgängig machen,تراجع عن الضغط
Undo Copy,Annuler la copie,Kopieren rückgängig machen,تراجع عن النسخ
Undo Create Empty File,Annuler la création du fichier vide,Erstellen einer leeren Datei rückgängig machen,تراجع عن إنشاء ملف فارغ
Undo Create Folder,Annuler la création du dossier,Anlegen eines neuen Ordners rückgängig machen,تراجع عن إنشاء مجلد
Undo Create Link,Annuler la création du lien,Angelegte Verknüpfung rückgängig machen,تراجع عن إنشاء الرابط
Undo Create from Template,,,تراجع عن الإنشاء من قالب
Undo Duplicate,Annuler la duplication,Duplizieren rückgängig,تراجع عن المُضاعفة
Undo Extract,Annuler l’extraction,Entpacken rückgängig machen,تراجع عن الاستخراج
Undo Move,Annuler le déplacement,Verschieben rückgängig,تراجع عن النقل
Undo Rename,Annuler le renommage,Umbenennen rückgängig machen,تراجع عن تغيير الاسم
Undo Restore from Trash,,,تراجع عن الاستعادة من المُهملات
Undo Starring,Annuler le marquage,Zu Favoriten hinzufügen rückgängig machen,تراجع عن وضع النجمة
Undo Trash,Annuler la mise à la corbeille,Verschieben in den Papierkorb rückgängig machen,تراجع عن النقل للمُهملات
Undo Unstarring,Annuler le démarquage,Von Favoriten entfernen rückgängig machen,تراجع عن إزالة النجمة
Unmount,Démonter,Aushängen,افصل
Visible Columns…,Colonnes visibles…,Sichtbare Spalten …,الأعمدة المرئية…
Z-A,Z-A,Z-A,ي-أ
access,,,نفاذ
application-x-executable,,,application-x-executable
create/delete,,,إنشاء/حذف
dav:// or davs://,dav:// ou davs://,dav:// oder davs://,dav:// أو davs://
dropped data,,,بيانات مفلتة
folder;manager;explore;disk;filesystem;,,,مجلد;مدير;ملفات;قرص;تصفح;
free,libre,frei,خالي
ftp:// or ftps://,ftp:// ou ftps://,ftp:// oder ftps://,ftp:// أو ftps://
list,,,سرد
nd copy),,,نسخة)
no,,,لا
nothing,,,لا شيء
rd copy),,,نسخة)
read,,,قراءة
smb://,,,smb://
st copy),,,نسخة)
th copy),,,نسخة)
unknown,inconnu,unbekannt,مجهول
unreadable,,,غير مقروء
used,utilisé,benutzt,مُستخدَم
write,,,كتابة
