
"""Lower"" 0%",« Inférieur » 0 %,»Unter« 0%,أدنى:
The number of seconds between autosaves.,Nombre de secondes séparant deux sauvegardes automatiques.,Anzahl an Sekunden zwischen dem automatischen Speichern.,أصوات للأحداث
The number of sheets initially created in a new workbook.,Nombre de feuilles créées initialement dans un nouveau classeur.,"Die Anzahl der Blätter, die in einem neuen Arbeitsbuch zu Beginn erzeugt werden.",عدد الصفحات في المفكرة
The original text plugin,Greffon original pour le texte,Das ursprüngliche Text-Plugin,صوت نغمة إدخال الأرقاام
The output range is invalid.,La plage de sortie n'est pas valide.,Der Ausgabebereich ist ungültig.,تنسيق الملف غير صحيح.
The output specification is invalid.,La spécification de sortie n'est pas valide.,Die Ausgabespezifikation ist ungültig.,الموقع المحدد غير سليم.
The output variable range is invalid.,La plage de sortie des variables n'est pas valide.,Der Bereich für die Ausgabevariablen ist ungültig.,تنسيق الملف غير صحيح.
The predicted median should be a number.,La médiane prévue doit être un nombre.,Der vorhergesagte Medianwert muss eine Zahl sein.,تحتاج القوائم الجديدة لإسم
The range in which to search.,,,مدير هذا المشروع.
The range to export,La plage à exporter,"Bereich, der exportiert werden soll",الشارات التي ستستخدم لـ Popt
The requested number of samples is invalid.,Le nombre d'échantillons demandés n'est pas valide.,Die gewünschte Anzahl von Stichproben ist ungültig.,تنسيق الملف غير صحيح.
The requested offset is invalid.,Le décalage demandé n'est pas valide.,Der gewünschte Versatz ist ungültig.,تنسيق الملف غير صحيح.
The requested period is invalid.,La période demandée n'est pas valide.,Der gewünschte Abschnitt ist ungültig.,تنسيق الملف غير صحيح.
The requested sample size is invalid.,La taille d'échantillon demandée n'est pas valide.,Die gewünschte Stichprobengröße ist ungültig.,تنسيق الملف غير صحيح.
The search range is invalid.,La plage de recherche n'est pas valide.,Der Suchbereich ist ungültig.,تنسيق الملف غير صحيح.
The search text is a regular expression,Le texte à rechercher est une expression rationnelle,Der Suchtext ist ein regulärer Ausdruck,الإسم يطابق التعبير المنتظم
The search text must be a number.,Le texte à rechercher doit être un nombre.,Der Suchtext muss eine Zahl sein.,تحتاج القوائم الجديدة لإسم
The second input range is invalid.,La seconde plage d'entrée n'est pas valide.,Der zweite Eingabebereich ist ungültig.,تنسيق الملف غير صحيح.
The sheet in which to search.,,,الشّاشة التي سيعرض عليها المحثّ
The sheet is wider than Gnumeric can handle.,La feuille est plus large que ce que Gnumeric peut gérer.,Das Datenblatt ist zu groß für Gnumeric.,الشّاشة التي سيعرض عليها المحثّ
The step size should be positive,Le pas doit être positif,Die Schrittgröße sollte positive sein,فيما اذا وجب اظهار الشريط الجانبي
The time column is not valid.,La colonne des temps n'est pas valide.,Die Zeitspalte ist ungültig.,العنصر في التقويم غير صالح
The value given in 'To Value:' is not valid.,La valeur donnée pour « À la valeur : » n'est pas valide.,Der Wert im »Bis Wert:« Feld ist ungültig.,العنصر في التقويم غير صالح
The workbook view being controlled.,,,واجه مشهد سطح المكتب خطأً
The x variable range is invalid.,La plage de la variable x n'est pas valide.,Der Bereich für die Variablen x ist ungültig.,تنسيق الملف غير صحيح.
The x variable range is to small,,,تنسيق الملف غير صحيح.
The x variables range is invalid.,La plage de la variable x n'est pas valide.,Der Bereich für die Variablen x ist ungültig.,تنسيق الملف غير صحيح.
The y variable range is invalid.,La plage de la variable y n'est pas valide.,Der Bereich für die Variable y ist ungültig.,تنسيق الملف غير صحيح.
The y variable range is to small,,,تنسيق الملف غير صحيح.
The y variables range is invalid.,La plage de la variable y n'est pas valide.,Der Bereich für die Variable y ist ungültig.,تنسيق الملف غير صحيح.
"There is already a merged region that intersects
%s!%s","Il y a déjà une région fusionnée qui recouvre 
%s!%s","Ein bereits zusammengeführter Bereich überschneidet
%s!%s",هناك مجموعة تحمل هذا الاسم
There is no data to convert,Aucune donnée à convertir,Es sind keine Daten zum Konvertieren vorhanden,يوجد لسان به أخطاء
There is no such sheet,,,اسم الخط المنتقى
Thick Bottom,Bas épais,Unten dick,إرساء بالأسفل
Thick Outside Borders,Encadrements extérieurs épais,Dicke Außenränder,اشمل الحدود
Thin Diagonal Stripe,Hachures diagonales fines,Dünne diagonale Streifen,الوقت الأوّلي
Thin Horizontal Crosshatch,Trame horizontale fine,Dünne horizontale Schraffen,حيز أفقي
Thin Horizontal Stripe,Rayures horizontales fines,Dünne horizontale Streifen,مسطرة أفقيّة
Thin Vertical Stripe,Rayures verticales fines,Dünne vertikale Streifen,الوقت الأوّلي
This Psion file is not a Sheet file.,Ce fichier Psion n'est pas une feuille de calcul.,Die Psion-Datei ist keine Blattdatei.,الملف ليس صورة.
This directory contains the pre-installed autoformat templates.,Ce répertoire contient les modèles préinstallés de format automatique.,Dieser Ordner enthält die vorinstallierten Vorlagen für die Auto-Formatierung.,هذا المجلد يحتوي الملفات التي أنشأتها بواسطة مجموعة GCompris التعليمية
"This is message from the ""%s"" plugin.",Ceci est un message du greffon « %s ».,Dies ist eine Nachricht vom Plugin »%s«.,لصق رسائل من الحافظة
This list contains all known plugins.,Cette liste indique tous les greffons connus.,Diese Liste enthält alle bekannten Plugins.,قائمة الملحقات النشطة
This name is already in use!,Ce nom est déjà utilisé !,Dieser Name wird bereits verwendet!,حلقة المفاتيح غير مقفلة مسبقا.
This number (between 0.25 and 1.00) gives the horizontal fraction of the screen size covered by the default window.,"Ce nombre (entre 0,25 et 1,00) indique la fraction horizontale d'écran occupée par la fenêtre par défaut.","Die Zahl (zwischen 0.25 und 1.00) gibt den horizontalen Anteil des Bildschirms an, den das Vorgabefenster belegen soll.",عدد بين 0.0 و 1.0 لتحديد الترصيف الأفقي للنص عند قطعة التقدم
This number (between 0.25 and 1.00) gives the vertical fraction of the screen size covered by the default window.,"Ce nombre (entre 0,25 et 1,00) indique la fraction verticale d'écran occupée par la fenêtre par défaut.","Die Zahl (zwischen 0.25 und 1.00) gibt den vertikalen Anteil des Bildschirms an, den das Vorgabefenster belegen soll.",رقم بين 0.0 و 1.0 لتحديد الترصيف العمودي للنص عند قطعة التقدم
This screen,Cet écran,Dieser Bildschirm,شاشة
This solver does not handle discrete variables.,Ce programme de résolution ne gère pas les variables discrètes.,Dieser Löser kann nicht mit diskreten Variablen umgehen.,الملف ليس صورة.
This value determines the maximum number of items in the undo/redo list.,Cette valeur définit le nombre maximum d'éléments dans la liste « annuler/rétablir ».,Diese Wert legt die maximale Anzahl der Objekte in der Rückgängig/Wiederholen-Liste fest.,رقم صحيح يحدد العدد الأدنى من الملاحظات التي يتم إظهارها في قائمة ملاحظات Tomboy.
"This variable determines where the long format toolbar should be shown. 0 is left, 1 is right, 2 is top.",,,ما إذا وجب لعمود الأدوات أن يكون مرئيّا في نوافذ التحرير.
This variable determines whether the format toolbar should be visible initially.,Cette variable indique si la barre d'outils « format » doit être visible au départ.,"Diese Variable legt fest, ob die Formatierungswerkzeugleiste von Anfang an angezeigt werden soll.",ما إذا وجب لعمود الأدوات أن يكون مرئيّا في نوافذ التحرير.
This variable determines whether the long format toolbar should be visible initially.,,,ما إذا وجب لعمود الأدوات أن يكون مرئيّا في نوافذ التحرير.
This variable determines whether the object toolbar should be visible initially.,Cette variable indique si la barre d'outils « objets » doit être visible au départ.,"Diese Variable legt fest, ob die Objektwerkzeugleiste von Anfang an angezeigt werden soll.",ما إذا وجب لعمود الأدوات أن يكون مرئيّا في نوافذ التحرير.
This variable determines whether the standard toolbar should be visible initially.,Cette variable indique si la barre d'outils « standard » doit être visible au départ.,"Diese Variable legt fest, ob die Standardwerkzeugleiste von Anfang an angezeigt werden soll.",ما إذا وجب لعمود الأدوات أن يكون مرئيّا في نوافذ التحرير.
This variable determines whether to show function argument tooltips.,Cette variable indique si les infobulles des paramètres de fonctions sont affichées.,"Diese Variable legt fest, ob Minihilfen für Funktionsargumente angezeigt werden sollen.",ما إذا وجب لعمود الأدوات أن يكون مرئيّا في نوافذ التحرير.
This variable determines whether to show function name tooltips.,Cette variable indique si les infobulles des noms de fonctions sont affichées.,"Diese Variable legt fest, ob Minihilfen für Funktionsnamen angezeigt werden sollen.",ما إذا وجب لعمود الأدوات أن يكون مرئيّا في نوافذ التحرير.
Thomas Canty,Thomas Canty,Thomas Canty,ثوماستون
Those columns are already grouped,Ces colonnes sont déjà groupées,Diese Spalten sind bereits gruppiert,هذا المستند مفتوح مسبقا
Those rows are already grouped,Ces lignes sont déjà groupées,Diese Zeilen sind bereits gruppiert,السباق قد بدأ
Thousands Separator,Séparateur des milliers,Trennzeichen für Tausender,اظهر الفواصل الألفية
Ties:,Ex-æquo :,Verbundränge:,مربعات:
Time,Heure,Zeit,الوقت
Time Series Analysis,Analyse de séries temporelles,Zeitreihenanalyse,للإستخدام الداخلي
Time Series Analysis Functions,Fonctions pour l'analyse des séries temporelles,Zeitreihenanalyse-Funktionen,دالات محولة
Time format selection,Sélection de la mise en forme des heures,Auswahl des Zeitformats,قص المنتقى
Tip:,Astuce :,Tipp:,تلميحة
Title:,Titre :,Titel:,العنوان:
Title:,Titre :,Titel:,العنوان:
To,À,Bis,الأعلى:
Toggle thousands separator,Utiliser ou non le séparateur des milliers,Trennzeichen für Tausender (de-)aktivieren,اظهر الفواصل الألفية
Toggle visibility of statusbar,Bascule l'affichage de la barre d'état,Anzeigen oder Verbergen der Statusleiste,أظهر/أخف شريط الأدوات
Toggle whether or not to display column headers,Bascule l'affichage des en-têtes de colonnes,"Festlegen, ob der Spaltenkopf angezeigt werden soll oder nicht",تحديد ما إذا كنت تريد إظهار الفئات
Toggle whether or not to display gridlines,Bascule l'affichage du quadrillage,"Festlegen, ob Gitterlinien angezeigt werden sollen oder nicht",تحديد ما إذا كنت تريد إظهار الفئات
Toggle whether or not to display outline groups,Bascule l'affichage des contours de groupes,"Festlegen, ob die Übersichtsgruppen angezeigt werden oder nicht",تحديد ما إذا كنت تريد إظهار الفئات
Toggle whether or not to display row headers,Bascule l'affichage des en-têtes de lignes,"Festlegen, ob der Zeilenkopf angezeigt werden soll oder nicht",تحديد ما إذا كنت تريد إظهار الفئات
Toggle whether or not to display zeros as blanks,Bascule l'affichage des zéros comme des cellules vides,"Festlegen, ob Nullen als Leerzeichen angezeigt werden sollen oder nicht",تحديد ما إذا كنت تريد إظهار الفئات
Toggle whether to display column outlines on the left or right,Bascule l'affichage des groupes de colonnes à gauche ou à droite,"Festlegen, ob der Spaltenüberblick links oder rechts angezeigt werden soll",تحديد ما إذا كنت تريد إظهار الفئات
Toggle whether to display row outlines on top or bottom,Bascule l'affichage des groupes de lignes en haut ou en bas,"Festlegen, ob der Zeilenüberblick oben oder unten angezeigt werden soll",تحديد ما إذا كنت تريد إظهار الفئات
Tom Dyas,Tom Dyas,Tom Dyas,للقيام به
Toolbar Style,Style de la barre d'outils,Werkzeugleistenstil,أسلوب شريط الأدوات
"Toolbar Style. Valid values are both, bothhoriz, icon, and text",,,"أسلوب شريط الأدوات. القيم الممكنة هي ""both""، ""both-horiz""، ""icons""، و ""text"""
Tools,Outils,Werkzeuge,الأدوات
Top,Haut,Oben,الأعلى:
Top and Bottom,Haut et bas,Oben und unten,الأعلى/الأسفل
Top and Double Bottom,Haut et bas double,"Oben, dazu unten doppelt","قمة
وسط
قاع"
Top and Thick Bottom,Haut et bas épais,"Oben, dazu unten dick",إرساء بالأسفل
Top margin:,Marge supérieure :,Oberer Rand:,المباعدة الافتراضية
Total,Total,Gesamt,المجموع:
Transition Keys,Touches de transition,Wechseltasten,ترجمة
Translation,Traduction,Übersetzung,ترجمة
Transliterate,Transcoder,Transkribieren,مُتَرجَم
Transliterate mode,,,مُتَرجَم
Trendy,À la mode,Schick,أحمر
Trim:,Coupure :,Trimmen:,الوقت:
Two Medians,,,قائمة الأدوات
Two Means,,,قائمة الأدوات
Type,Type,Typ,أنواع
Type Mismatch,Types incompatibles,Unterschiedliche Typen,لخبطة في النوع
Type:,Type :,Typ:,نوع
"Typing ""%s"" in %s",Saisie de « %s » dans %s,»%s« wird in %s eingegeben,"""%s""في %s"
UI,Interface utilisateur,Benutzeroberfläche,URI
UI Hello,UI Hello,UI-Hallo,أهلا جنوم
Unable to activate the url '%s',Ne peut accéder à l'URL « %s »,Die Adresse »%s« konnte nicht aktiviert werden,فشل تنشيط '%s'
Unable to create Autofilter,Impossible de créer un filtre automatique,Auto-Filter kann nicht erstellt werden,غير قادر على تحليل العنصر
Unable to load the file '%s'.,Impossible de charger le fichier « %s ».,Datei »%s« kann nicht geöffnet werden.,لا يمكن تحميل الملف '%s'.
Unable to open '%s',Impossible d'ouvrir « %s »,»%s« konnte nicht geöffnet werden,لا يمكن فتح التذكير في '%s'.
Unable to open '%s'.,Impossible d'ouvrir « %s ».,»%s« konnte nicht geöffnet werden.,لا يمكن فتح التذكير في '%s'.
"Unable to open module file ""%s"".",Impossible d'ouvrir le module « %s ».,Moduldatei »%s« kann nicht geöffnet werden.,لا يمكن تحميل الملف '%s'.
Unable to parse '%s' ('%s'),Impossible d'analyser « %s » (« %s »),»%s« kann nicht verarbeitet werden (»%s«),لا يمكن إعراب XML ملف  '%s'
"Unable to parse cmd='%s', str='%s', col=%d, row=%d.","Impossible d'analyser cmd=« %s », str=« %s », col=%d, ligne=%d.","»cmd='%s', str='%s', col=%d, row=%d« kann nicht verarbeitet werden.",لا يمكن إعراب XML ملف  '%s'
Unable to parse gradient color: %s,Impossible d'analyser la couleur du gradient : %s,Farbe des Farbverlaufs kann nicht verarbeitet werden: %s,لا يمكن لصق الاب المختار
Unable to parse hatch color: %s,Impossible d'analyser la couleur de la hachure : %s,Schraffurfarbe konnte nicht verarbeitet werden: %s,غير قادر على تحليل العنصر
Unable to parse tab color '%s',Impossible d'analyser la couleur de l'onglet « %s »,Reiterfarbe »%s« kann nicht verarbeitet werden,لا يمكن إعراب XML ملف  '%s'
Unable to parse tab text color '%s',Impossible d'analyser la couleur texte de l'onglet « %s »,Reiter-Textfarbe »%s« kann nicht verarbeitet werden,لا يمكن إعراب XML ملف  '%s'
Unable to parse the html.,Impossible d'analyser le HTML.,Die HTML-Syntax konnte nicht interpretiert werden.,غير قادر على تحليل العنصر
Unable to paste,Impossible de coller,Einfügen nicht möglich,غير قادر على تحليل العنصر
Unable to paste into selection,Impossible de coller dans la sélection,"Es ist nicht möglich, in die Auswahl einzufügen.",لا يمكن لصق الاب المختار
Unbounded,Non limité,Unbeschränkt,مشكل تعليق
Uncollapse an outline group,Déploie un groupe,Übersichtsgruppe ausklappen,قلّص كل الصفوف
Undefine the print area,Annule la zone d'impression,Auswahl des Druckbereichs aufheben,تسطر النص
Undefined,,,غير محدّد
Underline,Souligné,Unterstreichen,سطِّر
Undo,Annuler,Rückgängig,تراجع
Undo the last action,Annuler la dernière action,Die letzte Aktion rückgängig machen,أعِد آخر عملية
Unexpected attribute %s::%s == '%s'.,Attribut inattendu %s::%s == « %s ».,Unerwartetes Attribut %s::%s == »%s«.,صفة غير متوقّعة '%s' للعنصر '%s'
Unexpected end of file at line %d while reading data.,Fin de fichier prématurée ligne %d lors de la lecture des données.,Unerwartetes Dateiende in Zeile %d während des Lesens der Daten.,نهاية غير متوقّعة لبيانات صورة PNM
Unexpected token %c,Lexème inattendu %c,Unerwartetes Zeichen %c,خطأ غير متوقع: %s
Ungroup,Dégrouper,Gruppierung aufheben,group
Ungroup columns %s,Dégrouper les colonnes %s,Die Gruppierung der Spalten %s aufheben,عمود الترميز
Unhide columns,Afficher les colonnes,Spalten hervorholen,أعمدة
Unhide rows,Afficher les lignes,Zeilen hervorholen,تسطيرات
Uniform,Uniforme,Gleichverteilt,منتظم
Uniform Integer,Constante entière,Gleichförmige Ganzzahl,عدد صحيح موجب
Unimplemented,Non implémenté,Nicht implementiert,غير مطبق
Unimplementented,,,غير مطبق
Unit:,Unité :,Einheit:,الوحدات:
Unknown,Inconnu,Unbekannt,مجهول
Unknown Function,Fonction inconnue,Unbekannte Funktion,عنوان غير معروف
Unknown action: %s,Action inconnue : %s,Unbekannte Aktion: %s,إجراء مجهول: %s !
Unknown break type '%s' defaulting to NONE,Type de saut de page « %s » inconnu remplacé par défaut par NONE,Unbekannter Unterbrechungstyp »%s« wird auf Standard NONE gesetzt,صفة مجهولة '%s' عند السطر %d الرمز %d
Unknown color '%s',Couleur « %s » inconnue,Unbekannte Farbe »%s«,خطأ مجهول: %s
"Unknown condition '%s' encountered, ignoring.","Condition inconnue « %s » rencontrée, ignorée.","Unbekannte Bedingung »%s« wurde gefunden, wird ignoriert.",صفة مجهولة '%s' عند السطر %d الرمز %d
"Unknown data value ""%s"" at line %d. Ignoring.","Valeur de donnée « %s » inconnue, ligne %d, ignorée.",Unbekannter Datenwert »%s« in Zeile %d. Der Fehler wird ignoriert.,صفة مجهولة '%s' عند السطر %d الرمز %d
Unknown enum value '%s' for attribute %s,Valeur d'énumération « %s » inconnue pour l'attribut %s,Unbekannter Aufzählungswert »%s« für Attribut %s,"قيمة مجهولة ""%s"" للتّوصيف ""%s"" على العنصر <%s>"
Unknown error,Erreur inconnue,Unbekannter Fehler,خطأ مجهول.
Unknown evaluation error,Erreur d'évaluation inconnue,Unbekannter Auswertungsfehler,خطأ ولوج مجهول
Unknown failure while saving image,Erreur inconnue lors de l'enregistrement de l'image,Unbekannter Fehler beim Speichern des Bilds.,اسم ملف غير معروف
"Unknown filter operator ""%s""",Opérateur de filtre « %s » inconnu,Unbekannter Filter-Operator »%s«,خطأ مجهول: %s
"Unknown filter type ""%s""",Type de filtre « %s » inconnu,Unbekannter Filtertyp »%s«,نوع ملف غير معروف
Unknown gradient name '%s' encountered!,Nom de gradient inconnu « %s » rencontré !,Unbekannter Name eines Farbverlaufs »%s« wurde gefunden.,صفة مجهولة '%s' عند السطر %d الرمز %d
Unknown hatch name '%s' encountered!,Nom de hachure inconnu « %s » rencontré !,Unbekannter Schraffurname »%s« wurde gefunden!,صفة مجهولة '%s' عند السطر %d الرمز %d
Unknown image fill name '%s' encountered!,Nom de remplissage d'image inconnu « %s » rencontré !,Unbekannter Bild-Füllungsname »%s« wurde gefunden!,صفة مجهولة '%s' عند السطر %d الرمز %d
Unknown infotype,infotype inconnu,Unbekannter Infotyp,نوع مجهول
Unknown interpolation type encountered: %s,Type d'interpolation inconnu rencontré : %s,Unbekannter Interpolationstyp wurde gefunden: %s,صفة مجهولة '%s' عند السطر %d الرمز %d
Unknown mimetype for openoffice file.,Type MIME inconnu pour le fichier OpenOffice.,Unbekannter MIME-Typ für OpenOffice-Datei.,نوع mime للملف.
Unknown paper size,Taille de papier inconnue,Unbekannte Papiergröße,نسخة مجهولة
Unknown plugin,Greffon inconnu,Unbekanntes Plugin,مجموعة مجهولة
"Unknown plugin with id=""%s""",Greffon d'identifiant « %s » inconnu,Unbekanntes Plugin mit Kennung »%s«,خيار مجهول %s
Unknown sheet '%s',Feuille inconnue « %s »,Unbekanntes Blatt »%s«,عنصر مجهول %s
Unknown system,Système inconnu,Unbekanntes System,عنصر مجهول
Unknown theme color %d,Couleur de thème « %d » inconnue,Unbekannte Themenfarbe %d,خطأ مجهول: %s
Unknown type of hyperlink,Type d'hyperlien inconnu,Typ des Hyperlinks ist unbekannt,مجموعة مجهولة
Unknown value type '%s' at line %d. Ignoring.,"Le type de valeur « %s » est inconnu à la ligne %d, ignoré.",Unbekannter Wertetyp »%s« in Zeile %d. Der Fehler wird ignoriert.,صفة مجهولة '%s' عند السطر %d الرمز %d
Unknown version,Version inconnue,Unbekannte Version,نسخة مجهولة
Unknown workbook,Classeur inconnu,Unbekanntes Arbeitsbuch,خطأ مجهول: %s
Unknown workbook '%s',Classeur inconnu « %s »,Unbekanntes Arbeitsbuch »%s«,خطأ مجهول: %s
Unmerge,Diviser,Zusammenführung lösen,ميرينجو
Unmerging %s,Séparation de %s,Teilen von %s,يجري التأكد من وجود %s
Unsupported GnmValue type (%d),Type GnmValue non pris en charge (%d),Nicht unterstützter GnmValue-Typ (%d),نوع ملف غير مدعوم: %s
Unsupported Python type: %s,Type Python non pris en charge : %s,Nicht unterstützter Python-Typ: %s,نوع ملف غير مدعوم: %s
Unsupported file format.,,Nicht unterstütztes Dateiformat.,تهيئة غير مدعومة
Unsupported object type '%s',Le type d'objet « %s » n'est pas pris en charge,Nicht unterstützter Objekttyp »%s«.,نوع ملف غير مدعوم: %s
Unused,Inutilisé,Unbenutzt,تراجع
Up,Haut,Hoch,فوق
Update Name %s,Mise à jour du nom %s,Namen %s aktualisieren,وقت التحديث (بالدقائق):
Update policy,,,حدّث
Upper Limit (95%),Limite supérieure (95 %),Obergrenze (95%),الحد الأعلى للمسطرة
Usability,Accessibilité,Bedienbarkeit,أداة
Usage: %s [OPTION...] %s,Utilisation : %s [OPTION...] %s,Aufruf: %s [OPTION...] %s,الإستعمال: orca [OPTION...]
Use Maximum Precision,Utiliser la précision maximale,Höchste Genauigkeit verwenden,استعمل جلسة خاصة
Use R1C1 Notation,Utiliser la notation R1C1,R1C1-Notation verwenden,لصق الاقتباس
Use default tip,Utiliser l'astuce par défaut,Voreingestellten Tipp verwenden,استخدم الافتراضي
Use the current selection as print area,Utilise la sélection actuelle comme zone d'impression,Die aktuelle Auswahl als Druckbereich verwenden,ملء المساحة المحددة بالحمم
Use the current selection to create names,Utilise la sélection actuelle pour créer les noms,"Die aktuelle Markierung verwenden, um Namen zu erzeugen",ملء المساحة المحددة بالحمم
User Directory for Autoformats,Répertoire utilisateur pour les formats automatiques,Benutzerordner für Auto-Formatierungen,دليل المستخدمين
Validation,Validation,Überprüfung,مجموعة مرئية
Value,Valeur,Wert,القيمة:
Value:,Valeur :,Wert:,القيمة:
Values,Valeurs,Werte,القيمة:
Vanilla,Vanille,Vanille,أبيض
Variable,Variable,Variable,متغيرات
Variable %i,Variable %i,Variable %i,متغيرات
Variable 1 population variance:,Variance de la population de la variable 1 :,Varianz der 1. Variable:,خيارات الذاكرة المتاحة
Variable 1 range:,Plage de la variable 1 :,Bereich der Variable 1:,متغير1
Variable 2 population variance:,Variance de la population de la variable 2 :,Varianz der 2. Variable:,خيارات الذاكرة المتاحة
Variable 2 range:,Plage de la variable 2 :,Bereich der Variable 2:,متغير2
Variables,Variables,Variablen,متغيرات
Variables are:,Les variables sont :,Die Variablen sind:,متغيرات
Variance,Variance,Varianz,فرنسا
Various frequency tables for numeric data,Diverses tables de fréquences pour les données numériques,Verschiedene Häufigkeitstabellen für numerische Daten,أنشطة مسلية مختلفة.
Various summary statistics,Diverses statistiques résumées,Verschiedene beschreibende Statistiken,أنشطة مسلية مختلفة.
Vertical Alignment,Alignement horizontal,Vertikale Ausrichtung,الترصيف العمودي
Vertical DPI,Résolution verticale (PPP),DPI vertikal,عامودي
Vertical Stripe,Rayures verticales,Vertikale Streifen,قياس عمودي
Vertically Center,Centre verticalement,Vertikal zentrieren,لوحات عمودية
View,Vue,Ansicht,عرض
View Properties,Propriétés d'affichage,Eigenschaften anzeigen,خصائص المجلّد
View Properties...,Propriétés de la vue...,Eigenschaften anzeigen …,خصائص
View Statusbar,Barre d'état,Statusleiste anzeigen,أظهر شريط الحالة
Vincent Renardias,Vincent Renardias,Vincent Renardias,سانت ليونارد
Visibility,,,الرؤية
Visit the Gnumeric website,Visitez le site Web de Gnumeric,Besuchen Sie die Gnumeric-Webseite,تصفح الويب
Viz,Vis.,Sicht,فوي
WIDTHxHEIGHT+XOFF+YOFF,LARGEURxHAUTEUR+XPOS+YPOS,BREITExHÖHE+XPOS+YPOS,العرضxالطول+س+ع
Web Link,Lien Web,Web-Verknüpfung,افتح الوصلة
Weibull,Weibull,Weibull,غريبول
Weighted moving average,Moyenne glissante pondérée,Gewichteter gleitender Mittelwert,متوسط التغير
West,Ouest,West,غرب
What to do with unrepresentable characters.,,,ما الذي سيفعل بالملفات التنفيذية عند تنشيطها
Where to search.,,,مكان البحث:
Whole numbers,Nombres entiers,Ganze Zahlen,الرقم
Why would you want to define a name for the empty string?,Pourquoi définir un nom pour une chaîne vide ?,Warum soll ein Name für eine leere Zeichenkette definiert werden?,هل تريد اعادة تسميتها %sالى ؟
Why would you want to define a name to be #NAME?,Pourquoi définir un nom valant #NAME ?,Warum soll ein Name als #NAME definiert werden?,هل تريد اعادة تسميتها %sالى ؟
Widgets,Composants graphiques,Elemente,حافة
Width in points:,Largeur en points :,Spaltenbreite in Punkten:,عرض العمود
Width: %.2f pts (%d pixels),,,العرض: بكسل واحد
Wilcoxon Signed Rank Test (%s),Test de rang signé de Wilcoxon (%s),Wilcoxon-Vorzeichen-Rang-Test (%s),%s (%s)
Wilcoxon-Mann-Whitney Test (%s),Test de Wilcoxon-Mann-Whitney (%s),Wilcoxon-Mann-Whitney-Test (%s),%s (%s)
Windows,Fenêtres,Fenster,النوافذ
Workbook,Classeur,Arbeitsbuch,كتاب
Workbook Level,Niveau du classeur,Arbeitsbuchwert,أسبوع عمل
Worksheet:,Feuille de calcul :,Arbeitsblatt:,الأسوء:
Would split array %s,Cela diviserait le tableau %s,Würde Datenfeld %s zerteilen,لم يمكن كتابة المحلل: %s
Would split merge %s,Cela diviserait la fusion %s,Würde Zusammenführung %s zerteilen,لم يمكن كتابة المحلل: %s
Writing Sheets...,Écriture en cours des feuilles...,Blätter werden geschrieben …,أدر القصاصات...
Writing glpk file...,Écriture du fichier glpk...,glpk-Datei wird gespeichert …,يجري حفظ العنصر...
XBase,XBase,XBase,قاعدة
XML document not well formed!,Document XML non valide !,Das XML-Dokument ist nicht wohlgeformt!,لم يمكن فتح المستند.
Xbase (*.dbf) file format,Format de fichier Xbase (*.dbf),Xbase (*.dbf) Dateiformat,تنسيق ملف سيء
"You are about to edit a cell with ""text"" format.",Vous êtes sur le point de modifier une cellule au format « texte ».,"Sie sind dabei, eine als »Text« formatierte Zelle zu bearbeiten.",غير مسموح لك بالنفاذ لإعدادات النظام.
"You may not call more than one sheet ""%s"".",Il ne peut y avoir plusieurs feuilles nommées « %s ».,Sie dürfen nicht mehr als ein Blatt »%s« aufrufen.,لا حساب بإسم '%s'.
You must select some cell types to search.,Vous devez sélectionner un type de cellules dans lesquelles rechercher.,"Sie müssen mindestens einen Zelltyp auswählen, der durchsucht werden soll.",انتقي طورا أو أكثر للحذف.
You must specify a range to search.,Vous devez indiquer une plage de recherche.,"Sie müssen einen Bereich angeben, in dem gesucht werden soll.",يجب تحديد مجلّد.
Zoom,Zoom,Ansicht verändern (Zoom),تكبير
Zoom %s to %.0f%%,Zoom de %s à %.0f %%,Ansichtsgröße von %s auf %.0f%% ändern,تكبير حتى الملاءمة
Zoom Factor,,,معامل التكبير س
Zoom In,Zoom avant,Ansicht vergrößern,تكبير
Zoom Out,Zoom arrière,Ansicht verkleinern,تصغير
[%s : 	%s],,,%s (%s)
[%s],[%s],[%s],%s
100 %,100 %,100 %,100%
25 %,25 %,25 %,25%
50 %,50 %,50 %,50%
75 %,75 %,75 %,75%
ANOVA,ANOVA,Varianzanalyse,مساحة رسم
About,À propos,Info,6 عن البرنامج
Accept,Accepter,Akzeptieren,مقبول
Activate All,Tout activer,Alle aktivieren,نشط الكل
Add...,Ajouter...,Hinzufügen …,أضِف...
Aggregation,Agrégation,Gruppierung,توليد
Algorithm:,Algorithme :,Algorithmus:,الخوارزميات
All,Tout,Alles,الكل
All workbook sheets,Toutes les feuilles du classeur,Alle Blätter des Arbeitsbuchs,كل الصفحات
Alpha:,Alpha :,Alpha:,ألفا:
And,Et,Und,معات
Append,Ajouter,Anfügen,إلحاق
Area,Zone,Bereich,إنشيء
Areas,Zones,Bereichen,العنوان
Assume Non-Negative,Supposer non-négatif,Nicht-Negativ annehmen,غير نشط
Auto Fit Height,Ajustement automatique en hauteur,Höhe automatisch einpassen,ارتفاع القصاصة
Auto Fit Width,Ajustement automatique en largeur,Breite automatisch einpassen,لائم العرض
Auto Save...,Enregistrement automatique...,Auto-Speichern …,احفظ آلياً
