(Empty),(Vide),(Leer),(فارغة)
Search documents and folders,Chercher des documents et des dossiers,Dokumente und Ordner suchen,إبحث في الملفات والمجلدات
Search folders recursively,Chercher récursivement dans les sous-répertoires,Ordner rekursiv durchsuchen,إبحث في المجلدات بشكل متكرر
Search for files:,Chercher des fichiers :,Nach Dateien suchen:,إبحث عن ملفات:
"Search in ""%s""","Chercher dans ""%s""",in »%s« suchen,"إبحث في ""%s"""
Searching...,Recherche…,Suche läuft …,جاري البحث...
Secure WebDAV (HTTPS),WebDAV sécurisé (HTTPS),Sicheres WebDAV (HTTPS),تأمين WebDAV (HTTPS)
Select All,Tout sélectionner,Alles auswählen,تحديد الكل
Select Items Matching...,Sélectionner les éléments qui correspondent à…,Nach Muster auswählen …,تحديد العناصر المتطابقة...
Select Items Matching,Sélection selon un motif,Passende Objekte auswählen,تحديد العناصر المتطابقة
Select Places as the default sidebar,Affiche par défaut les emplacements dans le panneau latéral,»Orte« als Voreinstellung für die Seitenleiste festlegen,تحديد الأماكن كشريط جانبي افتراضي
Select Target Folder For Copy,Sélectionner le dossier cible pour la copie,Zielordner zum Kopieren auswählen,حدد المجلد الهدف للنسخ
Select Target Folder For Move,Sélectionner le dossier cible pour le déplacement,Zielordner zum Verschieben auswählen,حدد المجلد الهدف للنقل
Select Tree as the default sidebar,Affiche par défaut l'arborescence dans le panneau latéral,»Baumansicht« als Voreinstellung für die Seitenleiste festlegen,تحديد الشجرة كشريط جانبي افتراضي
Select All,Tout sélectionner,Alles auswählen,تحديد الكل
Select all,Tout sélectionner,Alles auswählen,تحديد الكل
Select all and only the items that are not currently selected,Sélectionne tous les éléments sauf ceux actuellement sélectionnés,"Alle und nur die Objekte auswählen, die momentan nicht ausgewählt sind",تحديد الكل والعناصر التي لم يتم تحديدها حالياً فقط
Select all items in this window,Sélectionne tous les éléments de cette fenêtre,Alle Objekte in diesem Fenster auswählen,تحديد جميع العناصر في هذه النافذة
Select all the text in a text field,Sélectionne tout le texte d'une zone de texte,Den gesamten Text in einem Textfeld markieren,تحديد كل النص في حقل النص
"Select an application in the list to open %s and other files of type ""%s""","Sélectionnez une application dans la liste pour ouvrir %s et les autres fichiers de type ""%s""","Anwendung aus der Liste wählen, mit dem %s und andere Dateien desselben Dateityps wie »%s«  geöffnet werden sollen.","حدد تطبيقاً في القائمة لفتح %s وملفات أخرى من نوع "" %s """
Select items in this window matching a given pattern,Sélectionne tous les éléments de cette fenêtre correspondant à un motif donné,"Alle Objekte in diesem Fenster auswählen, die auf ein bestimmtes Muster passen",تحديد العناصر في هذه النافذة المطابقة لنمط محدد
Selection Bound,Limite de la sélection,Auswahlgebunden,اختيار مقيد
Server Details,Paramètres du serveur,Serverdetails,تفاصيل الخادم
Set user ID,Assigner l'ID de l'utilisateur,Benutzerkennung festlegen,تعيين معرف المستخدم
Set as Wallpaper...,Définir en tant que papier peint…,Als Hintergrund festlegen …,تعيين كخلفية...
Set as default,Définir par défaut,Als Vorgabe festlegen,تعيين كافتراضي
Set group ID,Assigner l'ID du groupe,Gruppenkennung festlegen,تعيين معرف المجموعة
Set group of '%s' to '%s',Définir le groupe de « %s » comme « %s »,Gruppe von »%s« auf »%s« festlegen,تعيين المجموعة من '%s' إلى '%s'
Set owner of '%s' to '%s',Définir le propriétaire de « %s » comme « %s »,Eigentümer von »%s« auf »%s« setzen,تعيين المالك من '%s' إلى '%s'
Set permissions of '%s',Définir les permissions de « %s »,Zugriffsrechte für »%s« festlegen,تعيين الأذونات لـ'%s'
Set permissions of items enclosed in '%s',Définir les permissions des éléments inclus dans « %s »,Die Zugriffsrechte der in »%s« enthaltenen Objekte bearbeiten,تعيين أذونات العناصر الموضحة في '%s'
Set the selected image as your Cinnamon desktop wallpaper,Utiliser l'image sélectionnée comme fond d'écran de Cinnamon,Ausgewähltes Bild als Cinnamons Schreibtischhintergrund einstellen,تعيين الصورة المحددة كخلفية سطح المكتب لـCinnamon
Setting permissions,Définition des permissions,Zugriffsrechte werden eingestellt,إعداد الأذونات
Share:,Partage :,Freigabe:,مشاركة:
Shortcuts,Raccourcis,Tastenkombinationen,الاختصارات
Show Places,Montrer les emplacements,Orte anzeigen,عرض الأماكن
Show Thumbnails,Afficher les vignettes,Vorschaubilder anzeigen,أظهر المعاينة
Show Treeview,Montrer l'arborescence,Baumansicht anzeigen,عرض العرض الشجري
Show Hidden Files,Afficher les fichiers cachés,Verborgene Dateien anzeigen,عرض الملفات المخفية
Show only folders,N’afficher que les dossiers,Nur Ordner anzeigen,عرض المجلدات فقط
Show thumbnails:,Afficher les vignettes :,Vorschaubilder anzeigen:,عرض الصور المصغرة:
Show advanced permissions in the file property dialog,Afficher les permissions avancées dans la boîte de dialogue des propriétés du fichier,Erweiterte Zugriffsrechte im Dateieigenschaftsdialog anzeigen,عرض الأذونات المتقدمة في مربع حوار خصائص الملف
"Show an open-with dialog given a uri, to allow the user to change the default mimetype handler.","Affiche une boîte de dialogue ""Ouvrir avec"" pour l'URI donnée afin de laisser l'utilisateur changer les associations de fichier.","Ein Öffnen-mit-Dialog bei einer Adresse anzeigen, um dem Benutzer zu erlauben, das Standard-MIME-Typ-Programm zu ändern.",عرض مربع حوار فتح باستخدام يحتوي على uri، للسماح للمستخدم بتغيير معالج mimetype الافتراضي.
Show desktop icons on all monitors,Afficher les icônes de bureau sur tous les moniteurs,Schreibtischsymbole auf allen Bildschirmen anzeigen,أظهر أيقونات سطح المكتب في جميع الشاشات
Show desktop icons on non-primary monitor(s) only,N’afficher les icônes de bureau que sur les moniteurs secondaires,Schreibtischsymbole nur auf den Nebenbildschirm(en) anzeigen,أظهر أيقونات سطح المكتب في الشاشات الغير رئيسية فقط
Show desktop icons on primary monitor only,N’afficher les icônes de bureau que sur le moniteur principal,Schreibtischsymbole nur auf dem Hauptbildschirm anzeigen,أظهر أيقونات سطح المكتب في الشاشة الرئيسية فقط
Show global desktop settings,Afficher les paramètres globaux du bureau,Globale Schreibtischeinstellungen anzeigen,أظهر إعدادات سطح المكتب الشاملة
Show help,Afficher l’aide,Hilfe anzeigen,أظهر المساعدة
Show icons from missing monitors,Afficher les icônes des moniteurs manquants,Symbole von fehlenden Bildschirmen anzeigen,أظهر الأيقونات من الشاشات المفقودة
Show item properties,Afficher les propriétés de l’élément,Elementeigenschaften anzeigen,اظهار خصائص الأداة
Show more details,Afficher plus de détails,Weitere Details anzeigen,عرض مزيد من التفاصيل
Show the Sidebar (F9),Montrer le Panneau latéral (F9),Seitenleiste anzeigen (F9),عرض الشريط الجانبي (F9)
Show the full path in the title bar and tab bars,Afficher le chemin complet dans les barres de titre et onglet,Den kompletten Pfad in der Titel- oder Reiterleiste anzeigen,عرض المسار الكامل في شريط العنوان وأشرطة علامات التبويب
Show the version of the program.,Affiche la version du programme.,Die Programmversion anzeigen,عرض إصدار البرنامج.
Show tooltips in icon and compact views,Montrer les info-bulles dans les vues en icônes et dans la vue compacte,Kurzinfos in Symbol- und Kompaktansicht anzeigen,عرض تلميحات الأدوات في الأيقونة وطرق العرض المحكم
Show tooltips in list views,Montrer les info-bulles dans la vue en liste,Kurzinfos in Listenansicht anzeigen,عرض تلميحات الأدوات في طرق عرض القائمة
Show tooltips on the desktop,Montrer les info-bulles sur le bureau,Kurzinfos auf dem Schreibtisch anzeigen,عرض تلميحات الأدوات على سطح المكتب
Show/hide action menu,Afficher/masquer le menu Action,Aktionsmenü anzeigen/verbergen,أظهر/أخف قائمة الإجراءات
Show/hide hidden files,Afficher/masquer les fichiers cachés,Verborgene Dateien anzeigen/verbergen,أظهر/أخف الملفات المخفية
Show/hide sidebar,Afficher/masquer le panneau latéral,Seitenleiste anzeigen/verbergen,أظهر/أخف الشريط الجانبي
Sidebar,Panneau latéral,Seitenleiste,الشريط الجانبي
Size,Taille,Größe,الحجم
Size:,Taille :,Größe:,الحجم:
Size: %s,Taille : %s,Größe: %s,الحجم: %s
Slashes are not allowed in filenames,Les barres obliques ne sont pas autorisées dans les noms de fichiers,Schrägstriche sind in Dateinamen nicht erlaubt,غير مسموح بالشرطة المائلة في أسماء الملفات
Small,Petite,Klein,صغير
Smaller,Plus petite,Kleiner,أصغر
Software,Logiciel,Anwendungen,البرنامج
"Sorry, but you cannot execute commands from a remote site.","Désolé, mais vous ne pouvez pas exécuter des commandes à partir d'un site distant.",Leider dürfen Sie keine Befehle von einer entfernten Gegenstelle aus ausführen.,عفواً، لكن لا يمكنك تنفيذ الأوامر من موقع بعيد.
"Sorry, could not change the group of ""%s"": %s","Désolé, impossible de changer le groupe de « %s » : %s",Leider konnte die Gruppe von »%s« nicht geändert werden: %s,"عفواً، لا يمكن تغيير مجموعة ""%s"": %s"
"Sorry, could not change the owner of ""%s"": %s","Désolé, impossible de changer le propriétaire de « %s » : %s",Leider konnte der Besitzer von »%s« nicht geändert werden: %s,"عفواً، لا يمكن تغيير مالك ""%s"": %s"
"Sorry, could not change the permissions of ""%s"": %s","Désolé, impossible de changer les permissions de « %s » : %s","Entschuldigung, die Zugriffsrechte von »%s« konnten nicht geändert werden: %s","عفواً، لا يمكن تغيير أذونات ""%s"": %s"
"Sorry, could not display all the contents of ""%s"": %s","Désolé, impossible d'afficher tout le contenu de « %s » : %s",Leider konnte der gesamte Inhalt von »%s« nicht angezeigt werden: %s,"عفواً، لا يمكن عرض جميع محتويات ""%s"": %s"
"Sorry, could not rename ""%s"" to ""%s"": %s","Désolé, impossible de renommer « %s » en « %s » : %s",Leider konnte »%s« nicht in »%s« umbenannt werden: %s,"عفواً، لا يمكن إعادة تسمية ""%s"" إلى ""%s"": %s"
Sort favorites before other files,Placer les favoris devant les autres fichiers,Favoriten vor anderen Dateien sortieren,رتّب المفضلة قبل الملفات الأخرى
Sort folders before files,Trier les dossiers avant les fichiers,Ordner vor Dateien anzeigen,فرز المجلدات قبل الملفات
Sort items by,Trier les éléments par,Einträge sortieren nach,رتِّب العناصر حسب
Source,Origine,Quelle,المصدر
Special flags:,Indicateurs spéciaux :,Besondere Attribute:,الأعلام الخاصة:
Specified group '%s' doesn't exist,Le groupe indiqué « %s » n'existe pas,Die angegebene Gruppe »%s« existiert nicht,المجموعة المحددة '%s' غير موجودة
Specified owner '%s' doesn't exist,Le propriétaire indiqué « %s » n'existe pas,Der angegebene Besitzer »%s« existiert nicht,المالك المحدد '%s' غير موجود
Spreadsheet,Feuille de calcul,Tabellendokument,جدول بيانات
Statusbar,Barre d'état,Statusleiste,شريط الحالة
Start the drive associated with the open folder,Démarre le volume associé au dossier ouvert,Das zum geöffneten Ordner gehörende Laufwerk starten,بدء تشغيل محرك الأقراص المقترن بالمجلد المفتوح
Start the multi-disk drive associated with the open folder,Démarre le volume multidisque associé au dossier ouvert,Das zum geöffneten Ordner gehörende Multimedienlaufwerk starten,بدء تشغيل محرك الأقراص المتعددة المقترن بالمجلد المفتوح
Start the selected drive,Démarre le volume sélectionné,Gewähltes Laufwerk starten,بدء تشغيل محرك الأقراص المحدد
Start the selected multi-disk drive,Démarre le volume multidisque sélectionné,Das ausgewählte Multimedienlaufwerk starten,بدء تشغيل محرك الأقراص المتعددة المحدد
Start the selected volume,Démarre le volume sélectionné,Den ausgewählten Datenträger starten,بدء تشغيل وحدة التخزين المحددة
Start the volume associated with the open folder,Démarre le volume associé au dossier ouvert,Den zum geöffneten Ordner gehörenden Datenträger starten,بدء تشغيل وحدة التخزين المرتبطة بالمجلد المفتوح
Start the volume associated with this folder,Démarre le volume associé à ce dossier,Den zu diesem Ordner gehörenden Datenträger starten,بدء تشغيل وحدة التخزين المرتبطة بهذا المجلد
Stop loading the current location,Arrête le chargement de l'emplacement actuel,Das Laden des aktuellen Ortes anhalten,إيقاف تحميل الموقع الحالي
Stop the multi-disk drive associated with the open folder,Arrête le volume multidisque associé au dossier ouvert,Das zum geöffneten Ordner gehörende Multimedienlaufwerk anhalten,إيقاف محرك الأقراص المتعددة المقترن بالمجلد المفتوح
Stop the selected drive,Arrête le volume sélectionné,Gewähltes Laufwerk anhalten,إيقاف محرك الأقراص المحدد
Stop the selected multi-disk drive,Arrête le volume multidisque sélectionné,Das ausgewählte Multimedienlaufwerk anhalten,إيقاف محرك الأقراص المتعددة المحدد
Stop the selected volume,Arrête le volume sélectionné,Den gewählten Datenträger anhalten,إيقاف وحدة التخزين المحددة
Stop the volume associated with the open folder,Arrête le volume associé au dossier ouvert,Den zum geöffneten Ordner gehörenden Datenträger anhalten,إيقاف وحده التخزين المرتبطة بالمجلد المفتوح
Stop the volume associated with this folder,Arrête le volume associé à ce dossier,Den zu diesem Ordner gehörenden Datenträger anhalten,إيقاف وحده التخزين المرتبطة بهذا المجلد
Switch between location entry and breadcrumbs,Alterner entre la barre d'emplacement et le fil d'Ariane,Zwischen Pfadeingabe und Verlaufsnavigation umschalten,التبديل بين إدخال الموقع ومسارات التنقل
Switch to tab,Aller à l'onglet,Zu Reiter wechseln,تغيير التبويب
Symbolic links only supported for local files,Les liens symboliques ne sont pris en charge que pour des fichiers locaux.,Symbolische Verknüpfungen werden ausschließlich auf lokalen Dateisystemen unterstützt.,الروابط الرمزية مدعومة فقط للملفات المحلية
Templates,Modèles,Vorlagen,القوالب
Temporarily disable auto-sort,Désactiver temporairement le tri automatique,Automatische Sortierung vorübergehend deaktivieren,تعطيل الفرز التلقائي مؤقتاً
Text,Texte,Text,النص
Text view:,Vue texte :,Textansicht:,عرض النص:
"The Link ""%s"" is Broken.",Le lien « %s » est invalide.,Die Verknüpfung »%s« ist fehlerhaft.,"الرابط ""%s"" معطل."
"The Link ""%s"" is Broken. Move it to Trash?",Le lien « %s » est invalide. Voulez-vous le déplacer vers la corbeille ?,Die Verknüpfung »%s« ist fehlerhaft. Soll sie in den Papierkorb verschoben werden?,"الرابط ""%s"" معطل. نقله إلى سلة المهملات؟"
The SELinux security context of the file.,Le contexte de sécurité SELinux du fichier.,Der SELinux-Sicherheitskontext dieser Datei.,سياق أمان SELinux للملف.
The alignment of the lines in the text of the label relative to each other. This does NOT affect the alignment of the label within its allocation. See GtkMisc::xalign for that.,L'alignement des lignes dans le texte de l'étiquette par rapport aux autres. Cela n'affecte pas l'alignement de l'étiquette à l'intérieur de son allocation. Voir GtkMisc::xalign pour cela.,Die Ausrichtung der Zeilen des Beschriftungstextes relativ zueinander. Dies beeinflusst NICHT die Ausrichtung der Beschriftung innerhalb des ihr zugewiesenen Bereichs. Siehe hierzu auch GtkMisc::xalign.,محاذاة الأسطر في نص التسمية بالنسبة لبعضها البعض. هذا لا يؤثر على محاذاة التسمية ضمن تخصيصها. انظر GtkMisc :: xalign لذلك.
"The application launcher ""%s"" has not been marked as trusted (executable). If you do not know the source of this file, launching it may be unsafe.","""%s"" n'est pas exécutable. Si vous ne connaissez pas son origine, lancer son exécution est risqué et déconseillé.",Die Anwendung des Starters »%s« wurde nicht als vertrauenswürdig (ausführbar) markiert. Wenn die Herkunft der Datei unbekannt ist kann das Starten gefährlich sein.,"لم يتم وضع علامة على منصة إطلاق التطبيق ""%s"" كموثوق به (قابل للتنفيذ). إذا كنت لا تعرف مصدر هذا الملف، فقد يكون إطلاقه غير آمن."
The compact view encountered an error while starting up.,La vue compacte a rencontré une erreur lors de son démarrage.,Die Kompaktansicht stieß beim Starten auf einen Fehler.,واجه العرض المدمج خطأ أثناء بدء التشغيل.
The compact view encountered an error.,La vue compacte a rencontré une erreur.,Die Kompaktansicht stieß auf einen Fehler.,واجه العرض المدمج خطأً.
The current position of the insertion cursor in chars.,La position actuelle en nombre de caractères du curseur d'insertion.,Die aktuelle Position der Einfügemarke in Zeichen.,الموضع الحالي لمؤشر الإدراج في الأحرف.
The date the file was accessed.,La date à laquelle le fichier a été accédé.,Das Datum des letzten Dateizugriffs.,تاريخ الوصول إلى الملف.
The date the file was created.,La date de création du fichier.,"Das Datum, an dem die Datei erstellt wurde.",التاريخ الذي تمّ إنشاء الملف فيه.
The date the file was modified.,La date à laquelle le fichier a été modifié.,Datum der letzten Dateiänderung.,تاريخ تعديل الملف.
The desktop view encountered an error while starting up.,L'affichage du Bureau a rencontré une erreur lors du démarrage.,Die Schreibtischansicht stieß beim Starten auf einen Fehler.,واجه عرض سطح المكتب خطأ أثناء بدء التشغيل.
The desktop view encountered an error.,L'affichage du Bureau a rencontré une erreur.,Die Schreibtischansicht stieß auf einen Fehler.,واجه عرض سطح المكتب خطأ.
The destination folder is inside the source folder.,Le dossier de destination se trouve à l'intérieur du dossier source.,Der Zielordner befindet sich im Quellordner.,المجلد الوجهة داخل المجلد المصدر.
The destination is not a folder.,La destination n'est pas un dossier.,Das Ziel ist kein Ordner.,الوجهة ليست مجلد.
The destination is read-only.,La destination est en lecture seule.,Das Ziel ist schreibgeschützt.,الوجهة للقراءة فقط.
"The file ""%B"" cannot be handled because you do not have permissions to read it.",Le fichier « %B » ne peut pas être traité car vous n'avez pas la permission de le lire.,"Auf die Datei »%B« kann nicht zugegriffen werden, da Sie nicht die nötigen Lesezugriffsrechte besitzen.","لا يمكن معالجة الملف ""%B"" لأنه ليس لديك أذونات لقراءته."
"The file ""%B"" cannot be moved to the trash.",Impossible de mettre le fichier « %B » à la corbeille.,Die Datei »%B« konnte nicht in den Papierkorb verschoben werden.,"لا يمكن نقل الملف ""%B"" إلى سلة المهملات."
"The file ""%s"" has no known programs associated with it.  If you trust the source of this file, and have sufficient permissions, you can mark it executable and launch it.  Or, you can use the Open With dialog to pick a program to associate it with.","Il n'y a pas d'application associée au fichier ""%s"". Si vous connaissez son origine et si vous avez les permissions nécessaires, vous pouvez le rendre exécutable et le lancer. Autrement, vous pouvez faire un clic-droit et sélectionner ""Ouvrir Avec"" pour lui associer une application.","Der Datei »%s« sind keine Programme zum Öffnen zugeordnet. Wenn Sie der Quelle dieser Datei vertrauen und ausreichende Zugriffsrechte haben, können Sie es als ausführbar markieren und starten. Alternativ können Sie über »Ein Programm wählen« ein Programm zum Öffnen auswählen.","الملف ""%s"" لا يحتوي على برامج معروفة مرتبطة به. إذا كنت تثق بمصدر هذا الملف، ولديك أذونات كافية، يمكنك وضع علامة قابل للتنفيذ عليه وإطلاقه. أو يمكنك استخدام مربع الحوار ""فتح باستخدام"" لاختيار برنامج لربطه به."
"The file ""%s"" has no known programs associated with it.  Use the Open With dialog to pick a program to open it with.","Aucun programme n'est associé au fichier ""%s"". Utilisez la boîte de dialogue Ouvrir avec pour choisir un programme avec lequel l'ouvrir.","Die Datei »%s« wurde keinen bekannten Programmen zugeordnet. Bitte den Dialog »Öffnen mit« benutzen, um ein Programm zum Öffnen auszuwählen.","الملف ""%s"" لا يملك أي برامج مرتبطة به.  إستعمل خيار ""إفتح من خلال"" لاختيار برنامج من أجل فتح الملف."
The file that you dropped is not an image.,Le fichier que vous avez déposé n'est pas une image.,Die abgelegte Datei ist kein Bild.,الملف الذي قمت بإفلاته ليس صورة.
The file that you dropped is not local.,Le fichier que vous avez déposé ne se trouve pas sur cet ordinateur.,Die abgelegte Datei ist nicht lokal.,الملف الذي قمت بإفلاته غير محلي.
"The folder ""%B"" cannot be copied because you do not have permissions to create it in the destination.",Le dossier « %B » ne peut pas être copié car vous n'avez pas la permission de le créer dans la destination.,"Der Ordner »%B« konnte nicht kopiert werden, da Sie nicht die nötigen Zugriffsrechte besitzen, um den Ordner im Ziel zu erstellen.","لا يمكن نسخ المجلد ""%B"" لأنه ليس لديك أذونات لإنشائه في الوجهة."
"The folder ""%B"" cannot be copied because you do not have permissions to read it.",Le dossier « %B » ne peut pas être copié car vous n'avez pas la permission de le lire.,"Der Ordner »%B« kann nicht kopiert werden, da Sie nicht die nötigen Lesezugriffsrechte besitzen.","لا يمكن نسخ المجلد ""%B"" لأنه ليس لديك أذونات لقراءته."
"The folder ""%B"" cannot be deleted because you do not have permissions to read it.",Le dossier « %B » ne peut pas être supprimé car vous n'avez pas la permission de le lire.,"Der Ordner »%B« kann nicht gelöscht werden, da Sie nicht die nötigen Lesezugriffsrechte besitzen.","لا يمكن حذف المجلد ""%B"" لأنه ليس لديك أذونات لقراءته."
"The folder ""%B"" cannot be handled because you do not have permissions to read it.",Le dossier « %B » ne peut pas être traité car vous n'avez pas la permission de le lire.,"Auf den Ordner »%B« kann nicht zugegriffen werden, da Sie nicht die nötigen Lesezugriffsrechte besitzen.","لا يمكن التعامل مع المجلد ""%B"" لأنه ليس لديك أذونات لقراءته."
"The folder ""%s"" cannot be opened on ""%s"".",Le dossier « %s » ne peut pas être ouvert sur « %s ».,Der Ordner »%s« auf »%s« kann nicht geöffnet werden.,"لا يمكن فتح المجلد ""%s"" على ""%s""."
The folder contents could not be displayed.,Impossible d'afficher le contenu du dossier.,Der Ordnerinhalt konnte nicht angezeigt werden.,لا يمكن عرض محتويات المجلد.
The general type of the file.,Le type général du fichier.,Allgemeiner Dateityp,النوع العام للملف.
The group could not be changed.,Impossible de changer le groupe.,Die Gruppe konnte nicht verändert werden.,لا يمكن تغيير المجموعة.
The group of the file.,Le groupe du fichier.,Die Dateigruppe.,مجموعة الملف.
The icon view encountered an error while starting up.,La vue en icônes a rencontré une erreur lors de son démarrage.,Fehler in der Symbolansicht beim Starten.,واجه عرض الأيقونة خطأً أثناء بدء التشغيل.
The icon view encountered an error.,La vue en icônes a rencontré une erreur.,Fehler in der Symbolansicht.,واجه عرض الأيقونة خطأً.
The item cannot be restored from trash,Impossible de restaurer l'élément depuis la corbeille,Das Objekt kann aus dem Papierkorb nicht wiederhergestellt werden,لا يمكن استعادة العنصر من سلة المهملات
The item could not be renamed.,Impossible de renommer l'élément.,Objekt konnte nicht umbenannt werden.,لا يمكن إعادة تسمية العنصر.
The list view encountered an error while starting up.,La vue en liste a rencontré une erreur lors de son démarrage.,Die Listenansicht stieß beim Starten auf einen Fehler.,واجه عرض القائمة خطأً أثناء بدء التشغيل.
The list view encountered an error.,La vue en liste a rencontré une erreur.,Fehler in der Listenansicht.,واجه عرض القائمة خطأً.
"The location ""%s"" does not exist.",L'emplacement « %s » n'existe pas.,Der Ort »%s« existiert nicht.,"الموقع ""%s"" غير موجود."
The location is not a folder.,L'emplacement n'est pas un dossier.,Der angegebene Ort ist kein Ordner.,الموقع ليس مجلد.
The location of the file.,L'emplacement du fichier.,Speicherort der Datei,موقع الملف.
The media contains digital photos.,Le support comprend des photos numériques.,Dieser Datenträger enthält Digitalfotos.,الوسائط تحتوي على صور رقمية.
The media contains software.,Le support comprend des logiciels.,Dieser Datenträger enthält Programme.,الوسائط تحتوي على برنامج.
"The media has been detected as ""%s"".",Le support a été détecté en tant que « %s ».,Dieser Datenträger wurde als »%s« erkannt.,"تم الكشف عن وسائط كـ""%s""."
The mime type of the file.,Le type MIME du fichier.,Der MIME-Typ der Datei.,نوع mime للملف.
"The name ""%s"" is already used in this folder. Please use a different name.",Le nom « %s » est déjà utilisé dans ce dossier. Veuillez choisir un autre nom.,Der Name »%s« wird in diesem Ordner bereits verwendet. Bitte einen anderen Namen wählen.,"الاسم ""%s"" مستخدم بالفعل في هذا المجلد. يرجى استخدام اسم مختلف."
"The name ""%s"" is not valid because it contains the character ""/"". Please use a different name.",Le nom « %s » n'est pas valide car il contient le caractère « / ». Veuillez utiliser un nom différent.,"Der Name »%s« ist nicht erlaubt, da er das Zeichen »/« enthält. Bitte einen anderen Namen verwenden.","الاسم ""%s"" غير صالح لأنه يحتوي على حرف ""/"". يرجى استخدام اسم مختلف."
"The name ""%s"" is not valid. Please use a different name.",Le nom « %s » n'est pas valide. Veuillez utiliser un nom différent.,Der Name »%s« ist nicht gültig. Bitte einen anderen Namen verwenden.,"الاسم ""%s"" غير صالح. يرجى استخدام اسم مختلف."
"The name ""%s"" is too long. Please use a different name.",Le nom « %s » est trop long. Veuillez utiliser un nom différent.,Der Name »%s« ist zu lang. Bitte einen kürzeren Namen verwenden.,"الاسم ""%s"" طويل جدًا. يرجى استخدام اسم مختلف."
The name and icon of the file.,Le nom et l'icône du fichier.,Name und Symbol der Datei.,اسم وأيقونة الملف.
The owner could not be changed.,Impossible de changer le propriétaire.,Der Besitzer konnte nicht geändert werden.,لا يمكن تغيير المالك.
The owner of the file.,Le propriétaire du fichier.,Besitzer der Datei,مالك الملف.
The permissions could not be changed.,Impossible de changer les permissions.,Die Zugriffsrechte konnten nicht geändert werden.,لا يمكن تغيير الأذونات.
"The permissions of ""%s"" could not be determined.",Les permissions de « %s » n'ont pas pu être déterminées.,Die Zugriffsrechte auf »%s« konnten nicht ermittelt werden.,"لا يمكن تحديد أذونات ""%s""."
"The permissions of the file, in octal notation.","Les permissions du fichier, en notation octale.",Die Zugriffsrechte auf die Datei in Oktalnotation.,الأذونات الخاصة بالملف، بالتدوين الثماني.
The permissions of the file.,Les permissions du fichier.,Die Dateizugriffsrechte,أذونات الملف.
The permissions of the selected file could not be determined.,Les permissions du fichier sélectionné n'ont pas pu être déterminées.,Die Zugriffsrechte auf die gewählte Datei konnten nicht ermittelt werden.,لا يمكن تحديد أذونات الملف المحدد.
The position of the opposite end of the selection from the cursor in chars.,La position en nombre de caractères de l'extrémité opposée de la sélection à partir du curseur.,Die Position des gegenüberliegenden Endes der Markierung relativ zur Eingabemarke in Zeichen.,موضع الطرف الآخر من الاختيار من المؤشر في الأحرف.
The selection rectangle,Le rectangle de sélection,Das Auswahlrechteck,مستطيل التحديد
"The server at ""%s"" cannot be found.",Le serveur sur « %s » n'a pas été trouvé.,Der Server unter »%s« kann nicht gefunden werden.,"لا يمكن العثور على الخادم الموجود في ""%s""."
The size of the file.,La taille du fichier.,Die Dateigröße.,حجم الملف.
"The software will run directly from the medium ""%s"". You should never run software that you don't trust.

If in doubt, press Cancel.","Ce logiciel se lancera directement à partir du support « %s ». Vous ne devriez jamais exécuter un logiciel en lequel vous n’avez pas confiance.

En cas de doute, cliquez sur Annuler.","Die Programme werden direkt vom Datenträger »%s« starten. Sie sollten niemals Programme starten, denen Sie nicht vertrauen.

Im Zweifelsfall bitte auf »Abbrechen« klicken.","سيتم تشغيل البرنامج مباشرة من الوسيطة ""%s"".


يجب عليك عدم تشغيل البرامج التي لا تثق بها. إذا كنت في شك، اضغط على إلغاء."
The source file would be overwritten by the destination.,Le fichier source serait écrasé par la destination.,Die Quelldatei würde durch das Ziel überschrieben werden.,سيتم استبدال الملف المصدر بالوجهة.
The specific type of the file.,Le type spécifique du fichier.,Der konkrete Dateityp,النوع المحدد للملف.
The target doesn't support symbolic links.,La cible ne prend pas en charge les liens symboliques.,Dieses Ziel unterstützt keine symbolischen Verknüpfungen.,الهدف لا يدعم الروابط الرمزية.
The text of the label.,Le texte de l'étiquette.,Beschriftungstext,نص التسمية.
"There is no ""%s"" in this folder. Perhaps it was just moved or deleted?",« %s » est introuvable dans ce dossier. Peut-être vient-il juste d'être déplacé ou supprimé ?,Es gibt kein »%s« in diesem Ordner. Vielleicht wurde es gerade verschoben oder gelöscht?,"لا يوجد ""%s"" في هذا المجلد. ربما تم نقله أو حذفه؟"
There is not enough space on the destination. Try to remove files to make space.,La destination n'a plus assez d'espace libre. Essayez de supprimer des fichiers pour libérer de l'espace.,"Am Ziel ist nicht genügend freier Platz. Löschen Sie einige Dateien, um Platz zu schaffen.",لا توجد مساحة كافية على الوجهة. حاول إزالة الملفات لإنشاء مساحة.
There is nothing on the clipboard to paste.,Il n'y a rien à coller dans le presse-papiers.,In der Zwischenablage ist nichts zum Einfügen.,لا يوجد شيء في الحافظة للصق.
There was an error copying the file into %F.,Erreur lors de la copie du fichier dans « %F ».,Beim Kopieren der Datei nach %F ist ein Fehler aufgetreten.,حدث خطأ أثناء نسخ الملف إلى %F.
There was an error creating the directory in %F.,Erreur lors de la création du dossier dans « %F ».,Fehler beim Erstellen des Ordners in »%F«,حدث خطأ أثناء إنشاء الدليل في %F.
