Arabic Term,Definition (Arabic),Definition (English),English Term
"حُفْرَةُ صَرْفٍ مُزَوَّدَةٌ بِبَلاطَةٍ (مِرْحاضٌ عَرَبِيٍّ)","نظام صرف صحي جاف يجمع الفضلات في حفرة تحت الأرض مغطاة ببلاطة أو منصة للجلوس فوقها مصنوعة من مواد صلبة وسهلة التنظيف، وفيها فتحة صغيرة أو مقعد للسماح للفضلات بالسقوط مباشرة في الحفرة.","A dry toilet that collects excreta in an underground pit covered with a squat slab, or platform to sit on top of, made of hard, easy-to-clean materials, with a small hole or seat to allow the waste to fall directly into the pit.","Squat (Arabic) Toilet"
"حُقُوقُ المُساهِمِينَ","تتكون من القيمة الدفترية للمؤسسة من رأس المال المدفوع (بما في ذلك أقساط الأسهم) ولكن باستثناء الأسهم التفضيلية غير المشاركة والتي ينبغي أن تضمن مع إلخصوم. كذلك تتضمن بنود الأرباح المحتجزة المتراكمة وكافة الاحتياطيات، بما في ذلك إعادة التقييم. يطلق على حقوق المساهمين أيضًا القيمة الصافية للمؤسسة من خلال طرح إجمالي إلخصوم من إجمالي الأصول.","It consists of the enterprise's book value of paid capital (including stock installments) but excluding non-participating preferential shares that should be guaranteed with liabilities. It also includes cumulative withholding profits and all reserves, including revaluation. Shareholders' equity is also called the net value of the enterprise by subtracting total liabilities from total assets.","Shareholder Equity"
"حِساباتٌ تَراكَمِيَّةٌ","تسجل التدفقات الخاصة باحتياز الوحدات المؤسسية الأصول والخصوم المالية وغير المالية والتخلص منها بواسطة الوحدات التنظيمية من خلال المعاملات أو نتيجة لظروف أخرى خارجية، وكذلك أرباح وخسائر الحيازة. ويقيد في حساب رأس المال (أحد حسابات التراكم) احتياز الأصول غير المالية والتخلص منها نتيجة تعاملات.","Accumulation accounts are flow accounts that record the acquisition and disposal of financial and non-financial assets and liabilities by institutional units through transactions or as a result of other events.","Accumulation Accounts"
"حِسابٌ مُخَصَّصٌ","هو بيان تقدمه كل الوزارات والإدارات الحكومية والمرافق العامة بعد انتهاء السنة المالية تبيّن فيه النفقات التي قامت بها. يُعد حساب مخصص لكل مبلغ مطلوب لتنفيذ مشروع ما، ويبيّن تحت كل عنوان المبلغ المقدم من قبل الحكومة لتنفيذ هذا المشروع، والمبلغ المصروف.","Appropriation accounts contain detailed sources of income and expenditures, saving and net lending for key economic sectors such as general government, businesses and households.","Appropriation Accounts"
"حِسابُ التَكْلِفَةِ الجارِيَةِ","هو طريقة تقييم تٌقيم بها الأصول والسلع المستخدمة في الإنتاج بقيمتها الفعلية أو بأسعار السوق الجارية المقدرة وقت الإنتاج (ويشار إليه أحيانًا باسم 'حساب تكلفة الإحلال') .","Current cost accounting is a valuation method whereby assets and goods used in production are valued at their actual or estimated current market prices at the time the production takes place (it is sometimes described as “replacement cost accounting')","Current Cost Accounting"
"حِسابُ السِلَعِ وَالخَدَماتِ","يُعتَبَر الأساس الذي تستخدمه موازين العرض والاستخدام، وفيه يبين مجموع الموارد للاقتصاد ككل ولمجموعات المنتجات من حيث الإنتاج، والمستوردات كموارد. وفي الجانب الآخر يوضح هذا الحساب الاستخدامات من السلع والخدمات في شكل استهلاك وسيط واستهلاك نهائي وتكوين رأس المال.","The goods and services account shows for the economy as a whole and for groups of products, the total resources in terms of output and imports, and the uses of goods and services in terms of intermediate consumption, final consumption, gross capital formation and exports.","Goods and Services Account"
"حِسابُ الصَفَقاتِ المالِيَّةِ","وهو الحساب المعياري المتعلق بالصفقات الخاصة بالدولة مع بقية العالم في ما يتعلق بالأصول والخصوم المالية وغيرها من مصادر المال في إجمالي التكدس.","The capital transaction account is the standard account relating to the transactions of the nation with the rest of the world in respect of financial assets and liabilities and other sources of the finance of gross accumulation.","Capital Transaction Account"
"حِسابُ المِيزانِيَّةِ العامَّةِ","وهو حساب يُظهر الأصول والخصوم وصافي القيمة في وحدة مؤسسية معينة أو في أي فئة من الوحدات بدءًا من تاريخ معين.","The balance sheet account is an account showing the assets, liabilities and net worth of an institutional unit, or class of such units, as of a given date.","Balance Sheet Account"
"حِسابُ رَأْسِ المالِ SNA","يعرض حساب رأس المال أو يسجل قيم الأصول غير المالية التي تملكها الوحدات المؤسسية المقيمة أو تتخلص منها نتيجة الدخول في معاملات، وبالتالي يَظهر التغير في صافي القيمة نتيجة الادخار والتحويلات الرأسمالية. وقد تكون هذه المعاملات مع وحدات مؤسسية مقيمة وغير مقيمة أو معاملات داخلية، حيث تحتفظ الوحدة لاستعمالها الخاص بأصول تكون قد أنتجتها بنفسها. أما التغيرات التي تحدث على الأصول غير المالية التي ليست نتيجة تعاملات، فلا تظهر في هذا الحساب بل تظهر في حساب التغيرات الأخرى في حجم الأصول.","The capital account is the first of four accounts dealing with changes in the values of assets held by institutional units. It records transactions in non-financial assets.","Capital Account – SNA"
"حِيازَةٌ زِراعِيَّةٌ (لِأَغْراضِ التَعْدادِ)","هي وحـدة اقتصـادية فنيـة للإنتاج الزراعي تخضـع لإدارة واحـــدة، وتشـــمل جميـــع الحيوانـــات الموجـــودة وكـــل الأراضي المســـتغلة كليـــًا أو جزئيـــًا لأغراض الإنتـــــاج الزراعي بغـــــض النظـــــر عـــــن الملكيـــــة أو الشـــكل القـــانوني. وقـــد تكـــون إدارة الحيـــازة الواحـــدة بيــــــد شــــــخص واحــــــد أو أســــــرة، وقــــــد يشــــــترك فيهــــــا شخصــان أو أســرتان أو أكثر، أوقــد تتولاهــا عشــيرة أو قبيلـــة أوقد تـــدار مـــن قبـــل شخصـــية اعتباريـــة مثــل شــركة أو جمعيــة تعاونيــة أو وكالــة حكوميــة. وقد تتكون أرض الحيازة مـن جـزء واحـد أو أكثر، تقـــــع فـــــي تجمـــــع واحـــــدة أو أكثر مـــــن التجمعـــــات المنفصــــلة فــــي محافظــــة واحــــدة بشــــرط أن تشــــترك أجزاء الحيـــــازة فـــــي واحـــــدة أو أكثر مـــــن وســـــائل الإنتــــاج مثــــل العمــــل والمبــــاني والآلات وحيوانــــات الجو.","An economic unit of agricultural production under single management comprising all kept livestock and all land used totally or partially for agricultural production purposes regardless of legal form or size. Single management may be exercised by an individual or household, jointly by two or more individuals or households, by a clan or tribe, or by a juridical person such as a corporation, cooperative, or government agency. The land of the holding may consist of one or more parcels located in one or more separate areas, or in one or more territorial or administrative divisions, providing the parcels share the same means of production such as labour, farm buildings, machinery, or draught animals.","Agricultural Holding (for Census Purposes)"
"حِيازَةُ تقْلِيدِيَّةٌ (غَيْرُ مُنَظَّمَةٍ)","هو النوع السائد في معظم الحيازات الزراعية في المملكة، وهذا النوع من الحيازات لا يتوجب عليه أخذ موافقة مسبقة أو تراخيص من الجهات المعنية، وقد يكون نشاطها إنتاجًا نباتيًا أو حيوانيًا أو مختلطًا.","The predominant type in most agricultural holdings in the Kingdom, and this type of holdings does not have to obtain prior approval or licenses from the concerned authorities, and its activity may be plant, animal or mixed production.","Traditional (unstructured)"
"حِيازَةُ مُتَخَصِّصَةٌ (مُنَظَّمَةٌ)","يشمل الحيازات (المشاريع) التي تم الموافقة عليها ومنحت تراخيص من الجهات المعنية بعد تقديم الدراسة الفنية والاقتصادية لإقامة مثل هذه الحيازات المتخصصة سواء كانت متخصصة في الإنتاج النباتي أو الحيواني أو مزارع الدواجن أو الاستزراع السمكي، أو تلك المشاريع التي تتبع بصورة رئيسية الأساليب الحديثة غير التقليدية في نظام الري واستخدام الميكنة الزراعية والتقنية الحديثة في الإنتاج الزراعي والتخصص في الإنتاج سواء في الزراعة المكشوفة أو المحمية أو في تربية الأبقار لإنتاج الحليب أو في تسمين العجول والأغنام والدواجن.","Includes holdings (projects) that have been approved and licenses have been granted by the concerned authorities after submitting the technical and economic study for the establishment of such specialized holdings, whether specialized in plant or animal production, poultry farms or fish farming, or those projects that mainly follow modern non-traditional methods in the irrigation system and the use of agricultural mechanization and modern technology in agricultural production and specialization in production, whether in open or protected agriculture or in raising cows for milk production or in Fattening calves, sheep and poultry.","Specialized (organization)"
"خَدَماتٌ جَوِّيَّةٌ مُخَصَّصَةٌ لِلشَحْنِ وَالبَرِيدِ","خدمات جوية مُجَدوَلة أو غير مُجَدوَلة تؤديها الطائرات التي تحمل حمولات منقولة بأجر، غير الركاب المسافرين بتذكرة مدفوعة، مثل الشحن والبريد الجوي.","Scheduled or non-scheduled air service performed by aircraft carrying revenue loads other than revenue passengers, i. e. freight and mail.","All-Freight and Mail Air Service"
"خَدَماتُ التَأْمِينِ","يتم احتساب إنتاج مؤسسات التأمين من الفرق بين المساهمات المكتسبة زائدًا عائدات الأسهم والاستثمار من ناحية والتعويضات المدفوعة من ناحية أخرى.","The production of insurance institutions is calculated from the difference between the contributions earned plus the returns on shares and investment on the one hand, and the compensation paid on the other hand.","Insurance Services"
"خَدَماتُ الوَساطَةِ المالِيَّةِ المُقَدَّرَةِ بِطَرِيقَةٍ غَيْرِ مُباشِرَةٍ","هي قيمة خدمات الوساطة المالية التي تقوم بها البنوك وشركات التمويل ويتم تقديرها من خلال ضرب قيمة القروض في الفرق بين سعر الفائدة على الإقراض والسعر المرجعي ومضافًا إليه قيمة الودائع مضروبًا في الفرق بين السعر المرجعي وسعر الفائدة على الإيداع. ويوصي نظام الحسابات القومية بتوزيع هذا الإنتاج على الأنشطة الاقتصادية المنتفعة بها الخدمة (استهلاك وسيط، استهلاك نهائي، واردات وصادرات) .","The value of financial intermediation services provided by banks and is estimated by the value of loans multiplied by the difference between the lending interest rate and the reference rate plus the value of deposits multiplied by the difference between the discount rate and the deposit interest rate. The SNA recommends distributing this production to the economic activities benefiting from the service (intermediate consumption, final consumption, imports, and exports) .","Financial Intermediation Services Measured Indirectly"
"خَصائِصُ السَكَنِ","هي وصف لمرافق السكن، ويشمل عدد وأنواع الغرف، وعدد الحمامات والمطابخ.","A description of the housing facilities, covering the number and types of rooms, as well as the number of toilets and kitchens.","Characteristics of Housing"
"خَطَرٌ جيولوجيٌ","أحداث طبيعية متطرفة في قشرة الأرض تشكل خطرًا على الحياة والممتلكات، مثل الزلازل، والاندفاعات البركانية واالموجات التسونامي (موجات المد) والانهيارات الأرضية.","A geologic hazard is an extreme natural events in the crust of the earth that pose a threat to life and property, for example, earthquakes, volcanic eruptions, tsunamis (tidal waves) and landslides.","Geologic Hazard"
"خَفْضُ (التَلَوُّثُ)","استرداد المكونات المستخدمة لخفض التلوث.","Reduction of the degree or intensity of emissions or pollutants.","Abatement"
"دَخَلٌ مُتاحٌ","يستخلص الدخل المتاح من ميزان الإيرادات الأولية للوحدة المؤسسية أو القطاع عن طريق جمع كل التحويلات الجارية باستثناء التحويلات الاجتماعية العينية/ التي تتلقاها تلك الوحدة أو ذلك القطاع ثم يطرح منه جميع التحويلات الجارية فيما عدا التحويلات الاجتماعية العينية، المستحقة الدفع من تلك الوحدة أو ذلك القطاع؛ وهو بند التوازن في حساب توزيع الدخل الثانوي.","Disposable income is derived from the balance of primary incomes of an institutional unit or sector by adding all current transfers, except social transfers in kind, receivable by that unit or sector and subtracting all current transfers, except social transfers in kind, receivable by that unit or sector and subtracting all current transfers, except social transfers in kind, payable by that unit or sector; it is the balancing item in the Secondary Distribution of Income Account.","Disposable Income"
"دَخْلُ الأُسْرَةِ","إجمالي الدخل النقدي والعيني؛ وهو مجموع دخل أفراد الأسرة من الذكور والإناث (بغض النظر عن أعمارهم) ، وهو المتاح للأسرة لإنفاقه على أوجه الإنفاق المختلفة، أو للادخار. هناك عدة مصادر للدخل، وهي: 1. الرواتب والأجور (نقدية أو عينية) 2. إيجار الممتلكات العقارية 3. صافي دخل المؤسسة 4. دخل الممتلكات العقارية 5. التحويلات الجارية 6. مصادر الدخل الأخرى.","The total cash and in kind income; the sum of incomes of male and female family members (regardless of their age) , which is available to the family to be spent on different aspects, or to be saved. There are several Sources for income, namely: 1. Salaries and wages (cash or in-kind) 2. Real estate property rent 3. Enterprise net income 4. Property income 5. Current Transfers 6. Other Sources of income.","Household Income"
"دَرَجَةُ حَرارَةِ الهَواءِ","درجة حرارة الغلاف الجوي التي تمثل متوسط الطاقة الحركية للحركة الجزيئية في منطقة صغيرة ويتم تحديدها من خلال مقياس حرارة قياسي.","The temperature of the atmosphere which represents the average kinetic energy of the molecular motion in a small region and is defined in terms of a standard thermometer.","Air Temperature"
"دَرّاجَةٌ نارِيَّةٌ","كل مركبة ذات عجلتين أو أكثر مجهزة بمحرك آلي، ومعدة لنقل الأشخاص أو الأشياء، وقد يلحق بها عربة، وليست مصممة على شكل سيارة.","Any vehicle with two or more wheels equipped with a motor, designed to transport people or goods, and may have a sidecar, not designed in the form of a car.","Motorcycle"
"دَلِيلُ الإِنْتاجِ الصِناعِيِّ","دليل يغطي الإنتاج في التعدين واستخدام المحاجر والخدمات العامة (الغاز والمياه والكهرباء) لكن من دون أعمال التشييد. أما التغطية ومداها ونظام الوزن وطريقة الاحتساب فتختلف من بلد إلى آخر لكن الاختلافات أقل أهمية من حالات أخرى شأن حالة الأسعار ومؤشرات الأجور.","An industrial production index is an index covering production in mining, manufacturing and public utilities (electricity, gas and water) , but excluding construction. The exact coverage, the weighting system and the methods of calculation vary from country to country but the divergences are less important than e. g. in the case of the price and the wage indices.","Industrial Production Index"
"رستو","هي تفريغ الحاوية على الرصيف أو على السفينة نفسها وإعادة تحميل الحاوية على نفس السفينة.","Unloading the container on the dock or on the same ship and reloading the container on the same ship.","Resto"
"رو-رو","البضائع ذات العجلات (دحرجة) يتم نقلها عبر سفن متخصصة مثل القطارات والسيارات بمختلف أنواعها ولا تكون محملة على حاويات.","Wheeled cargo (rolling) such as trains and cars of various types that are transported via specialized ships and are not loaded in containers.","RORO"
"رَبُّ/رَئِيسُ الأُسْرَةِ","يشير إلى الشخص الذي يُعده أفراد الأسرة العضو الرئيسي فيها. وعادة ما يكون مسؤولًا عن اتخاذ القرارات بشأن شؤون الأسرة، ويجب ألا يقل عمره عن 15 عامًا. إذا كانت الأسرة تتكون من الأطفال وأمهم، ويتم رعايتهم من قبل قريب لا يعيش معهم، فلن يتم اعتبار هذا القريب رئيس الأسرة، ولن يُسجَّل كأحد أعضائها. وفي هذه الحالة، تُعد الأم رئيس الأسرة.","The person regarded by the household members as its chief member. Usually, he is responsible for taking decisions on household affairs and his age must not be under 15 years old. If the household consists of children and their mother, and they are cared for by a relative who does not live with them, such a relative shall not considered head of the household, nor shall he be recorded as one of its members. In this case, the mother shall be considered the head of the household.","Head of Household"
"رَصد الأَرْضَ","مصطلح عام يرمز إلى جهود تقييم البيئة العالمية التي تبذلها الأمم المتحدة بتنسيق من برنامج الأمم المتحدة للبيئة، لتحسين جمع المعلومات البيئية وتبادلها وإتاحة الإنذار المبكر بشأن المشكلات البيئة التي تستلزم اتخاذ إجراءات دولية.","Earthwatch is a general term for the global environmental assessment efforts of the United Nations system as co-ordinated by the United Nations Environment Programme to improve the gathering and sharing of environmental information and provide early warning of environmental problems requiring international action.","Earthwatch"
"رَيُّ بِالتَقْطِيرِ","أسلوب للري السطحي يقتصد استهلاك المياه ويتم عن طريق أنابيب بلاستيكية. وهو يزود النباتات بالماء قطرة بقطرة من خلال ثقوب دقيقة، ويمنع إشباع التربة بالماء.","Drip Irrigation is a water—saving technique of surface irrigation through pipes made of plastics. It delivers the water drop by drop to plants through tiny holes, and prevents waterlogging of soils.","Drip Irrigation"
"رُخَصُ القِيادَةَ","وثيقة رسمية صادرة من الإدارة المختصة أو من جهة أجنبية معترف بما يصدر عنها من وثائق مماثلة، تثبت أن حاملها مؤهل لقيادة نوع أو أنواع من المركبات.","An official document issued by the relevant authority or a recognized foreign entity, proving that the holder is qualified to drive one or more types of vehicles.","Driver's License"
"رُسُومُ التَصْدِيرِ","ضرائب أو رسوم عامة على السلع أو الخدمات التي تدفع عندما تغادر السلع المنطقة الاقتصادية أو عندما تورد الخدمات إلى غير المقيمين، ولا تشمل أرباح احتكارات التصدير والضرائب الناتجة من تعدد أسعار الصرف حيث تعتبر ضرائب على المنتجات (على الصادرات) .","Export duties consist of general or specific taxes on goods or services that become payable when the goods leave the economic territory or when the services are delivered to non-residents; profits of export monopolies and taxes resulting from multiple exchange rates are excluded.","Export Duties"
"رِحْلاتُ الصَيْدِ","يقصد بها عدد عمليات الصيد التي يقوم بها القارب، ويمكن الحصول على عدد رحلات الصيد بعدّ قوارب الصيد المغادرة من مركز الإنزال للقيام بالصيد، أو عدد القوارب العائدة من الصيد إلى مركز الإنزال.","Number of fishing operations carried out by the boat. The number of fishing excursions can be calculated by counting the number of fishing boats that depart from the landing center to go fishing or the number of boats that return from fishing to the landing center.","Fishing Trips"
"رِحْلَةٌ خاصَّةٌ","الرحلة 'الخاصة' هي عندما يستخدم مالك الطائرة ) أو أحد أصدقائه أو أسرته ( الطائرة للاستخدام الخاص .","A 'private' flight is when an aircraft owner (or a friend or family member) uses the aircraft for private use","Private Flight"
"زُيُوتُ التَشْحِيمِ","مواد التشحيم هي الهيدروكربونات المنتجة من نواتج التقطير أو بقايا ؛ يتم استخدامها بشكل رئيسي لتقليل الاحتكاك بين الأسطح الحاملة. تشمل هذه الفئة جميع الأنواع النهائية لزيت التشحيم، من زيت المغزل إلى زيت الأسطوانة، وتلك المستخدمة في الشحوم، بما في ذلك زيوت المحركات وجميع درجات مخزون قاعدة زيت التشحيم.","Lubricants are hydrocarbons produced from distillate or residue; they are mainly used to reduce friction between bearing surfaces. This category includes all finished grades of lubricating oil, from spindle oil to cylinder oil, and those used in greases, including motor oils and all grades of lubricating oil base stocks.","Lubricants"
"ساعاتُ العَمَلِ","تعبر ساعات العمل عن الوقت الذي يصرفه العامل في مهنته.","Time spent by employed person in his/her occupation.","Work Hours"
"ساعاتُ العَمَلِ الاِعْتِيادِيَّةُ","هي عدد ساعات العمل في الوظيفة الجزئية أو الوظيفة الكاملة والتي يمارسها الفرد عادة.","Total number of hours in the permanent or temporarily job which worked by employed usually.","Normal Hours Work"
"ساعاتُ العَمَلِ الفِعْلِيَّةُ","هي عدد ساعات العمل الفعلية التي يزاول فيها الفرد عمله، ويستثنى من ذلك العمل الإضافي، وأوقات الوجبات والاستراحات، ويتم تسجيلها للعمل الرئيسي والثانوي كلا على حدة.","Total number of hours actually worked during the reference period as well as overtime and time spent at the place of work on activities such as preparation of the workplace. Leaves, meal breaks and time spent on travel from home to work and vice versa are excluded from work hours.","Actually Worked Hours"
"سنَةُ المُقارَنَةِ","هي السنة أو الفترة التي تنسب أسعارها لأسعار سنة الأساس بهدف التغير في الأسعار، وتسمى سنة المقارنة بالسنة الكبرى.","The year or period in which prices are attributed to the prices of the base year for the purpose of price change, the comparison year is called the major year.","Year of Comparison"
"سَفِينَةُ شَحْنٍ","سفينة تجارية مخصصة لحمل البضائع و / أو للنقل العام للمسافرين.","Merchant ship designed for the carriage of goods and/or public transport of passengers.","Cargo Carrying Ship"
"سَلَّةُ السِلَعِ وَالخَدَماتِ","المجموعة الحقيقية للسلع والخدمات التي يقوم المستهلك الأسري بالإنفاق عليها لأغراض معيشية.","The actual group of goods and services that household consumers spend on for living purposes.","Goods and Services Basket"
"سَنَةُ الأَساسِ","هي السنة أو الفترة التي تنسب أسعار سنة المقارنة أو فترة المقارنة بأسعارها، ويراعى عند اختيار سنة الأساس أن تكون فترة عادية تتميز بالاستقرار، وبُعدها عن الظروف الطارئة والمفاجئة، مثل: الأزمات الاقتصادية والحروب، وأن تكون قريبة نسبيًّا من فترة المقارنة.","The year or a period which the prices of the comparison year or comparison period are attributed to.  When the base year is chosen, it should be a normal period characterized by stability and being free from sudden and serious conditions, such as: economic crises and wars.  It must also be relatively close to the comparison period.","Base Year"
"سَنَداتُ الدِينِ","هي أوراق مالية ذات قيمة معينة والتي تعتبر أحد أوعية الاستثمار، والسند عادة ورقة تعلن عن أن مالك السند دائن إلى المؤسسة المصدرة للسند، وتطرح السندات لجمع مبلغ معين غير متوفر لدى المؤسسة لدعم المشاريع والاستحواذ على مؤسسات أخرى وغيرهـا.","Securities of certain value that are regarded as an investment pillar. The securities are usually a paper declaring that the securities owner is a creditor to the issuing enterprise. Securities are offered to collect a certain amount not available to the enterprise to support projects and acquire other enterprises and others.","Debt Instrument"
"سَوائِلُ الغازِ الطَبِيعِيِّ","هي مزيج من الأيثان والبروبين والبيوتين (عادي وأيسو) و (أيسو) بنتأين وبعض الألكانات الأعلى ويشار إليها مجتمعةّ بالبنتأين بلس.","Natural gas liquids are a mixture of ethane, propane, butane (normal and iso) , (iso) pentane and a few higher alkanes collectively referred to as pentanes plus.","Natural Gas Liquids"
"سِعْرُ (سَيْفٌ)","هي الأسعار التي يدفعها المستورد للبضاعة التي تسلم داخل حدود البلد، بما في ذلك أي تكاليف متعلقة بالتأمين والشحن أو أسعار الخدمات المقدمة إلى جهة مقيمة قبل دفع ضرائب الاستيراد أو أي ضرائب أخرى على الواردات أو على هوامش التجارة والنقل في البلد.","The price of the buyer paid by the importer to receive a commodity within the borders of the exporting country after loading it on the means of transport and after paying any export taxes or receiving any tax deductions.","Price (CIF)"
"سِعْرُ (فوب)","هو سعر المشتري الذي يدفعه المستورد ليستلم سلعة في حدود البلد المصدر بعد تحميلها على وسيلة النقل وبعد دفع أي ضرائب تصدير أو تلقي أي تخفيضات ضريبية.","The price of the buyer paid by the importer to receive a commodity within the borders of the exporting country after loading it on the means of transport and after paying any export taxes or receiving any tax deductions.","Price (FOB)"
"سِعْرُ المُشْتَرِي","هو السعر الذي يدفعه المشتري مقابل الحصول على وحدة سلعية أو خدمية واحدة من المنتج، وهو يساوي سعر المنتج مضافًا إليه ضريبة القيمة المضافة غير المقتطعة من المشتري وتكلفة النقل التي تظهر في فاتورة الشراء بشكل منفصل وهوامش التجارة.","The price paid by the purchaser in exchange for one unit of goods or services of the product, and it is equal to the Producer price plus the value-added tax not deducted from the purchaser and the transportation cost that appears in the invoice separately and the trade margins.","Purchasers price"
"سِعْرُ المُنْتَجِ","سعر المُنتِج هو المبلغ المستحق على المُنتِج من المشتري لوحدة من السلعة أو الخدمة المنتجة كإخراج ناقص أي ضريبة القيمة المضافة، أو ضريبة قابلة للخصم مماثلة، فاتورة للمشتري؛ يستثنى من ذلك أي رسوم نقل يتم إصدار فواتير بها بشكل منفصل بواسطة المُنتِج.","The producer’s price is the amount receivable by the producer from the purchaser for a unit of a good or service produced as output minus any VAT, or similar deductible tax, invoiced to the purchaser; it excludes any transport charges invoiced separately by the producer.","Producer’s Price"
"سِعْرُ المُنْتَجِ","هو سعر الأساس مضافًا إليه الضرائب على المنتجات باستثناء ضريبة القيمة المضافة مخصومًا منها الإعانات على المنتجات، ولا يتضمن هذا السعر تكلفة النقل التي تظهر في فاتورة الشراء بشكل منفصل ولا هوامش التجارة.","The base price plus taxes on products excluding value-added tax, minus subsidies on products. This price does not include the transportation cost, which appears separately on the purchase invoice, nor trade margins.","Product Price"
"سِعْرُ فَتْرَةِ الأَساسِ","هو السعر المسجل للسلعة أو الخدمة في فترة سابقة يقارن به السعر الجاري.","The recorded price of a commodity or a service in a previous period of time with which the current price is compared.","Base Period Price"
"سِعْرُ فَتْرَةِ المُقارَنَةِ","هو السعر المسجل للسلعة أو الخدمة في الفترة الزمنية الجارية.","The recorded price of a commodity or a service in the current period of time.","Comparison Period Price"
"سِلَعٌ أَوْ خدَماتٌ اِسْتِهْلاكِيَّةٌ","لسلعة أو الخدمة الاستهلاكية وتعرف على أنها سلعة أو خدمة تستخدم (من دون مزيد من التحويلات في الإنتاج على نحو ما تم تعريفه في نظام الحسابات القومية) من قبل الأسر المعيشية أو المؤسسات غير الهادفة للرب التي تخدم الأسر المعيشية أو من قبل الوحدات الحكومية للتلبية المباشرة للاحتياجات الفردية أو (الحاجات) أو للوفاء بالحاجات الجماعية أو المشتركة لأعضاء المجتمع.","A consumption good or service is one that is used (without further transformation in production) by households, NPISHs or government units for the direct satisfaction of individual needs or wants or the collective needs of members of the community","Consumption Good or Service"
"شارِعٌ رَئِيسِيٌّ داخِلَ المُدُنِ","طريق حضري رئيسي يقع داخل المدن أو المناطق السكنية، يتميز بوجود نشاطات تجارية وخدماتية على طول جانبيه. عادة ما تكون الشوارع الرئيسية متعددة الحارات لتسهيل حركة المرور، وغالبًا ما تخدم حركة المرور المحلية والتنقل داخل المدن.","A major urban road located within cities or residential areas, characterized by the presence of commercial and service activities along both sides of it. Main streets are usually multi-lane to facilitate traffic flow, and often serve local traffic and commuting within citie","Major Street Intracity"
"شارِعٌ مُجَمَّعٌ داخِلَ المُدُنِ","ينقل الطريق التجميعي الحركة المرورية من الطرق المحلية والمجاورة إلى طرق ذات المستويات الأعلى بالإضافة إلى حركة المرور المستمرة.","A collector road carries traffic from local and neighboring roads to higher-level roads as well as continuous traffic.","Collector Street Intracity"
"شَبَكَةُ الصَرْفِ الصِحِّيِّ العامَّة","كافة التمديدات والتجهيزات المستخدمة لجمع ونقل وإيصال المخلفات الصحية السائلة إلى مواقع المعالجة أو التصريف، ويشمل ذلك تمديدات الأنابيب وخزانات الجمع وغرف التفتيش ومحطات الضخ، ومناهل وصمامات التهوية وغيرها.","All extensions and equipment used to collect, transport and deliver sewage effluents to treatment or discharge sites, including pipe extensions, collection tanks, manholes, pumping stations, ventilation valves, etc.","Public Sewage Network"
"شَبَكَةُ الطُرُقِ","تشمل جميع الطرق في منطقة معينة بمختلف أنواعها، ويمكن تصنيفها حسب السطح إلى طرق معبدة وطرق غير معبدة.","Includes all types of roads in a specific area, which can be classified according to the surface into paved and unpaved roads.","Road Network"
"شَهادَةٌ عِلْمِيَّةٌ","مؤهل تعليمي يُمنح عند الإتمام الناجح لبرامج تعليمية محددة في التعليم العالي (تقليديا من قبل الجامعات والمؤسسات المعادلة) .","Educational qualification awarded upon successful completion of specific educational programmes in tertiary education (traditionally by universities and equivalent institutions) .","Degree"
"شُحُّ مِياهِ الشُرْبِ","نقص الحصول على مياه نظيفة صالحة للشرب أو نقص إمدادات المياه.","Lack of access to clean drinking water or lack of water supply.","Scarcity of Drinking Water"
"شُحْنَةٌ","مجموعة البضائع المنقولة بموجب وثيقة نقل واحدة، وفقًا للأنظمة أو التعريفات المعمول بها (في حال وجودها) .","Collection of goods transported under the same transport document in accordance with regulations or tariffs in force where they exist","Consignment"
"صاحِبُ عَمَلٍ","وهو الفرد الذي يعمل في منشأة يملكها أو يملك جزءا منها شريك) ويعمل تحت إشرافه أو لحسابه مستخدم واحد على الأقل بأجر، ويشمل ذلك أصحاب العمل الذين يديرون مشاريع أو مقاولات خارج المنشآت بشرط أن يعمل تحت إشرافهم أو لحسابهم. مستخدم واحد على الأقل بأجر، ولا يُعد حملة الأسهم في الشركات المساهمة أصحاب عمل حتى ولو عملوا فيها.","A person who work in an establishment that is totally or partially belonging to him her and hires or supervises the work of one or more waged employees. This includes persons operating their projects or contracting companies provided they employ a minimum of one waged employee. Shareholders are not considered employers even if they are working in it.","Employer"
"صادِراتُ السِلَعِ وَالخَدَماتِ","صادرات من المقيمين إلى غير المقيمين يواكبها عادة تغير في الملكية. وهي البضائع والسلع المصدرة للتجهيز والسلع المشتراة في الموانئ المحلية بواسطة الناقلات غير المقيمة، والذهب غير النقدي.","Exports of goods and services consist of sales, barter, or gifts or grants, of goods and services from residents to non-residents. The treatment of exports and imports in the SNA is generally identical with that in the balance of payments accounts as described in the Balance of Payments Manual.","Exports of Goods and Services – SNA"
"صافِي أَقْساطِ التَأْمِينِ المُكْتَتَبِ بِهِ","إجمالي أقساط التأمين المكتتب بها مطروح منه أقساط إعادة التأمين.","Total insurance premiums written minus reinsurance premiums.","Net Written Insurance Premiums"
"صافِي الأَرْباحِ","إجمالي الدخل خلال السنة المالية مطروحًا منه إجمالي النفقات بعد سداد كافة الضرائب وعادة ما يتم إيضاحه في قائمة الدخل.","Total income during the fiscal year minus all expenses after paying all taxes. It can be usually showed in the income list.","Net Profit"
