English Term,Arabic Term,Arabic Description
Receiver Operating Characteristic )ROC( Curve,منحنى دّقة الأداء,تمثيل رسومي ألداء الُمصِّنف في جميع الحدود الممكنة. .
Recommendation Engine,ُم َحِّرك توصيات,انظر نظام توصيات. .
Recommendation System )or Recommender System(,نظام توصيات,نظام يوصي المستخدمين بمجموعة من العناصر بناًء على اختياراتهم وسلوكياتهم. ُيطلق عليه أيًضا ُمَحِّرك توصيات.   . .
Rectified Linear Unit )ReLU( ),وحدة خطية مصححة (ريلو,دالة تنشيط ُتعطي القيمة صفًرا إذا كان الُمْد َخل سالًبا أو صفًرا، وتعطي القيمة نفسها إذا كان الُمْدَخل موجًبا. .
Recurrent Neural Network (RNN),شبكة عصبية تكرارية,نوع من الشبكات العصبية ُيستخدم لفهم المعلومات المتسلسلة، وتحديد الأنماط عن طريق التشغيل عدة مرات. .
Reference Data,بيانات مرجعية,البيانات المستخدمة لتصنيف البيانات الأخرى. .
Reflexion,انعكاس,إطار ُمصَّمم لتحسين تعُّلم وأداء النماذج اللغوية، عن طريق التغذية الراجعة. .
Regression,انحدار,انظر تحليل الانحدار. .
Regression Analysis,تحليل الانحدار,أسلوب إحصائي لتحديد العلاقة بين المتغيرات التابعة والمستقلة. ُيطلق عليه أيًضا انحدار أو نموذج انحدار. . .
Regression Model,نموذج انحدار,انظر تحليل الانحدار. .
Regularization,ضبط,عملية ُتستخدم لمنع فرط التخصيص عن طريق إضافة معلومات إضافية. .
Regularization Rate,معدل الضبط,قيمة تحدد الأهمية النسبية لدالة الضبط. وُيطلق عليها أيًضا المدا. .   .
Reinforcement Learning )RL(,تعُّلم تعزيزي,نوع من تعُّلم الآلة يتعَّلم السياسة المثلى عن طريق المكافآت والعقوبات؛ ألجل تحسين إجمالي المكافأة. .
Reinforcement Learning From Human Feedback,تعُّلم تعزيزي بالتغذية الراجعة البشرية,)( أسلوب لتحسين جودة مخرجات النماذج عن طريق دمج التغذية الراجعة من التفاعالت أو التقييمات البشرية. .
Relational Database,قاعدة بيانات علائقية,نوع من قواعد البيانات ُين ِّظم البيانات في جداول تحتوي على صفوف وأعمدة. .
Relational Machine Learning )RML(,تعُّلم الآلة العلائقي,نوع من تعُّلم الآلة يركز على التعُّلم من البيانات ذات العلاقات والهياكل المعقدة. .
Relational Model,نموذج عالئقي,نموذج بيانات ينظم البيانات في جداول تحتوي على صفوف وأعمدة. .
Relationship Extraction,استخراج العلاقة,عملية تحديد العلاقات بين الكيانات المذكورة في النص. .
Relative Entropy,انتروبيا نسبية,انظر تباعد كولباكليبلر. . ()
Reliability,اعتمادية,خاصية الاتساق المقصود في السلوك والنتائج. .
Remote Biometric Identification )RBI( System,نظام تحديد القياسات الحيوية عن ُبعد,تقنية تستخدم الذكاء الاصطناعي للتعُّرف على الأفراد عن ُبعد، عن طريق مقارنة بيانات قياساتهم الحيوية (مثل: مالمح ) الوجه أو بصمات الأصابع) بقاعدة بيانات مرجعية.    ( .
Replay Buffer,ذاكرة إعادة التشغيل,ذاكرة يستخدمها الوكيل لتخزين التحوالت، ويمكن استخدامها إلعادة تشغيل التجربة. .
Reporting Bias,تحُّيز الإبالغ,نوع من التحُّيز يحدث عندما لا يعكس التكرار الموجود في مجموعة البيانات التكرار الموجود في العالم الحقيقي. .
Reservoir Computing )RC(,حوسبة المكامن,إطار حوسبي ُيب ِّسط تدريب الشبكات العصبية التكرارية لمعالجة البيانات المتسلسلة والزمنية. .
Residual Sum of Squares )RSS(,مجموع المربعات المتبقية,أسلوب إحصائي لقياس التباين بين البيانات والقيم التي تنبأ بها نموذج التقدير. وُيطلق عليه أيًضا مجموع المتبقيات المربعة.      . .()
Resilience,صمود,قدرة النظام على استعادة العمليات بسرعة بعد وقوع حادث. .
Resource Description Framework (RDF),إطار وصف الموارد,نموذج قياسي لتبادل البيانات على الويب. .
Responsible Artificial Intelligence,ذكاء اصطناعي مسؤول,تصميم أنظمة الذكاء الاصطناعي وتطويرها ونشرها بطرق تتوافق مع المبادئ الأخالقية والقيم المجتمعية والمعايير القانونية. .
Restricted Boltzmann Machine (RBM),آلة بولتزمان المقيدة,شبكة عصبية اصطناعية عشوائية تتعَّلم توزيع الاحتمالات على الُمْدَخلات، عن طريق تطبيق نماذج شبكية. .
Rete Algorithm,خوارزمية ريتي,خوارزمية مطابقة أنماط ُتستخدم في ُمَحِّركات القواعد لمقارنة الأنماط بالأشياء. .
Retraining,إعادة تدريب,عملية تحديث النموذج المدَّرب، عن طريق تدريبه ببيانات جديدة. .
Retrieval-Augmented Generation (RAG),توليد ُمَعَّزز بالاسترجاع,إطار للذكاء الاصطناعي يدمج بين استرجاع المعلومات الخارجية والنماذج التوليدية لإنتاج استجابات أكثر دقة وملاءمة للسياق.
Return,عائد,إجمالي المكافآت في التعُّلم التعزيزي الذي يتوقعه الوكيل عند اتباع سياسة معينة. .
Reward,مكافأة,نتيجة عددية في التعُّلم التعزيزي تحدده البيئة عند القيام بفعل في حالة ما. .
Reward Function,دالة المكافأة,آلية تحفيز في التعُّلم التعزيزي ُتحدد الكيفية التي يلزم الوكيل اتباعها للقيام بأفعال في بيئة ما. .
Reward Model,نموذج المكافأة,نموذج متخصص يقدم التوجيه لتحقيق النتائج المرجوة، عن طريق التغذية الراجعة في شكل مكافآت. .
Ridge Regularization,ضبط ريدج,انظر ضبط إل . .
Robot,روبوت,جهاز قابل للبرمجة قادر على أداء المهام المطلوبة تلقائًّيا عن طريق استشعار بيئته. .
Robot Control System,نظام التحكم بالروبوت,مجموعة من التحكم المنطقي ووظائف الطاقة التي تتحكم في الهيكل الميكانيكي للروبوت وتواصله مع البيئة المحيطة. .
Robot Journalism,صحافة روبوتية,استخدام البرمجيات لكتابة المحتوى دون تدخل بشري. ُيطلق عليها أيًضا صحافة مؤتمتة.     . .
Robot System,نظام روبوت,نظام يتضمن روبوًتا واحًدا أو أكثر وأجهزة أخرى تدعمه ألداء     () مهامه. .
Robotic Desktop Automation )RDA(,أتمتة روبوتية لسطح المكتب,برمجيات ألتمتة المهام الروتينية المتكررة على سطح مكتب المستخدم، وغالًبا ما تحاكي الإجراءات البشرية لتحسين الكفاءة وتقليل الأخطاء. .
Robotic Device,جهاز روبوتي,آلية مشغلة تحقق خصائص الروبوت الصناعي أو الخدمي، ولكنها تفتقد المحاور القابلة للبرمجة أو درجة التحكم الذاتي.
Robotic Process Automation (RPA),أتمتة العمليات الروبوتية,نوع من أتمتة العمليات تحاكي فيه البرمجيات أو الروبوتات كيفية إنجاز البشر لمهمة ما. .
Robotics,علم الروبوتات,مجال يركز على تصميم الروبوتات وتطويرها وتطبيقها. .
Robustness,متانة,قدرة النظام على الحفاظ على أدائه تحت أي ظرف. .
Role Prompting,أوامر تعيين الدور,أسلوب لهندسة الأوامر ُيو َّجه فيه النموذج لتبني دور أو شخصية محددة من أجل تشكيل مخرجاته وأسلوبه. .
Root Mean Square Deviation )RMSD(,جذر متوسط الانحراف التربيعي,انظر جذر متوسط الخطأ التربيعي. .()
Root Mean Squared Error )RMSE(,جذر متوسط الخطأ التربيعي,مقياس الفرق بين القيم المتوقعة والقيم الفعلية. وُيطلق عليه أيًضا جذر متوسط الانحراف التربيعي.     . .()
Rotational Invariance,انعدام تأثير الدوران,قدرة الخوارزمية على تصنيف الصور تصنيًفا صحيًحا، بغِّض النظر عن التغّير في اتجاهها. .
Rule-Based Chatbot,بوت محادثة قائم على قواعد,انظر بوت محادثة موَّجه. .
Rule-Based System,نظام قائم على قواعد,نظام خبير يتضمن قواعد شرطية ُبنيت بالتعُّلم من بيانات حقيقية أو باستخدام معرفة الخبراء. .
Safety,سالمة,الخلو من المخاطر غير المقبولة. .
Sample,عينة,عنصر بيانات يمكن لخوارزمية تعُّلم الآلة معالجته. .
Sample Size,حجم العينة,عدد المشاهدات الفردية التي ُتمِّثل المجموعة في التجربة. .
Sampling Bias,تحُّيز أخذ العِّينات,نوع من تحُّيز الاختيار لا ُتجمع فيه البيانات عشوائًّيا. .
Scalability,قابلية التوسع,قدرة النظام على التعامل مع كمية العمل المتزايدة. .
Scale Invariance,انعدام تأثير الحجم,قدرة النموذج على الحفاظ على سلوك متسق بغض النظر عن حجم الُمْدَخلات. .
Scatter-Gather,توزيع-تجميع,نوع من معالجة البيانات الكبيرة ُيوِّزع الحوسبة المطلوبة عبر ُعَقد مختلفة، ثم ُيجِّمع النتائج الإجمالية من كل عقدة. .
Scikit-Learn,سايكيت-ليرن,مكتبة شهيرة مفتوحة المصدر ُتستخدم في تعُّلم الآلة، مكتوبة بلغة بايثون. .
Scoring,تقييم,جزء من نظام التوصية ُيعّين ترتيًبا لكل عنصر ُأنشئ بواسطة عملية توليد الترشيحات. .
Search Query,استعلام بحثي,كلمة أو مجموعة من الكلمات التي يدخلها المستخدم في ُمَحِّرك البحث للعثور على محتوى. .
Security,أمن,الدرجة التي يحمي بها النظام البيانات والمعلومات، عن طريق السماح بالوصول المناسب إلى البيانات بناًء على مستويات التفويض. .
Selection Bias,تحُّيز الاختيار,تحُّيز في اختيار البيانات المستخدمة في تدريب نماذج تعُّلم الآلة. .
Selective Filtering,تصفية انتقائية,عملية تجاهل البيانات المشِّوشة من أجل التركيز على البيانات المهمة. .
Self-Attention )or Self-Attention Layer( ),انتباه ذاتي (أو طبقة الانتباه الذاتي,طبقة في الشبكة العصبيةُ تخرج تسلس ًال جديًدا من التضمينات، عن طريق تطبيق آلية الانتباه على المعلومات الواردة من عناصر تسلسل الُمْدَخلات. .
Self-Aware Artificial Intelligence,ذكاء اصطناعي واع بذاته,ٍ تصور نظري لذكاء اصطناعي لديه إدراك ووعي بوجوده، وقادر على فهم أفكاره وعواطفه وبيئته.
Self-Consistency Prompting,أوامر الاتساق الذاتي,أسلوب في هندسة الأوامر ُيح ِّسن دقة النماذج، عن طريق إنشاء استجابات متعددة لنفس الأمر، واختيار الإجابة الأكثر تكراًرا أو اتساًقا لتكون الإجابة النهائية.
Self-Criticism Prompting,أوامر النقد الذاتي,انظر أوامر التحسين الذاتي. .
Self-Driving Car,سيارة ذاتية القيادة,سيارة قادرة على استشعار محيطها والتحرك بتحكم واكتفاء ذاتي. وُيطلق عليها أيًضا سيارة بدون سائق أو سيارة  . ذاتية التحكم. .
Self-Instruct,إرشاد ذاتي,طريقة لتحسين قدرة النماذج على اتباع تعليمات اللغات الطبيعية، عن طريق توليد بيانات اتباع التعليمات بنفسها. .
Self-Labeling,تسمية ذاتية,نوع من ُطُرق التعُّلم الشبه الموَّجه ُيدِّرب نموذًجا على بيانات ُمسَّماة، ثم يستخدمه إلعطاء أسماء مستعارة للبيانات غير الُمسَّماة. .
Self-Refine Prompting,أوامر التحسين الذاتي,أسلوب في هندسة الأوامر ُيتيح للنموذج تحسين مخرجاته، عن طريق عملية تكرارية من التغذية الراجعة والتحسين. ُيطلق عليه أيًضا أوامر النقد الذاتي.   . .
Self-Supervised Learning,تعُّلم ذاتي التوجيه,نوع من تعُّلم الآلة يستخدم بيانات غير ُمسَّماة لتعُّلم الخصائص؛ وذلك بالاعتماد على أسماء مستعارة محددة بصورة ذاتية في عملية التوجيه. .
Self-Training,تدريب ذاتي,طريقة تعُّلم ذاتي التوجيه ُتستخدم في التصنيف عندما تكون البيانات غير الُمسَّماة أكثر من البيانات الُمسَّماة. .
Semantic Chunking,تقطيع دلالي,عملية تقسيم نص كبير إلى وحدات أصغر ذات معنى بناًء على معناها أو سياقها الأساسي. .
Semantic Computing,حوسبة دلالية,مجال حوسبي يركز على فهم البيانات وتمثيلها ومعالجتها بناًء على معناها وسياقها. .
Semantic Mapping,هيكلة دلالية,عملية إنشاء علاقات وروابط ذات معنى بين عناصر البيانات من مصادر مختلفة. .
Semantic Network,شبكة دلالية,انظر شبكة معرفية. .
Semantic Reasoner,ُمستِدل دلالي,برمجيات ُتستخدم الستخالص النتائج المنطقية من مجموعة من الحقائق والبديهيات المؤكدة. .
Semantic Search,بحث دلالي,أسلوب بحث يفهم المعنى السياقي الستعالم المستخدم لتقديم نتائج أكثر صلة ودقة. .
Semantic Web,ويب دلالي,امتداد لشبكة الويب العالمية لتمكين مشاركة البيانات وإعادة  (ً) استخدامها عبر التطبيقات، عن طريق تحديد مخازن البيانات والمفردات وقواعد التعامل مع البيانات. .
Semi-Structured Data,بيانات شبه مهيكلة,البيانات التي لا تخضع لهيكل ثابت، ولكن لها بعض الخصائص التنظيمية. وُيطلق عليها أيًضا بيانات مهيكلة جزئًّيا.  . .
Semi-Supervised Anomaly Detection,اكتشاف الشذوذ شبه المو َّجه,أسلوب ُيستخدم لتحديد الأنماط غير المعتادة داخل مجموعة البيانات باستخدام البيانات الُمسَّماة وغير الُمسَّماة. .
Semi-Supervised Learning,تعُّلم شبه مو َّجه,نوع من تعُّلم الآلة يستفيد من البيانات الُمسَّماة وغير الُمسَّماة للتدريب. .
Sensitive Attribute,سمة حساسة,سمة بشرية لها اعتبار خاص لبعض الأسباب. .
Sensitive Data,بيانات حساسة,بيانات قد يسبب إفشاؤها أو سوء استخدامها آثاًرا ضارة. .
Sensitivity,دقة الحساسية,معدل صحة تنبؤ النموذج للأسماء الإيجابية عندما تكون بالفعل كذلك. .
Sensitivity Analysis,تحليل الحساسية,عملية تقييم كيفية تأثر مخرجات النموذج بالتغيرات في الُمعاِملات الُمْدَخلة. .
Sentiment Analysis,تحليل المشاعر,عملية استخدام الخوارزميات الإحصائية أو خوارزميات تعُّلم الآلة لتحديد المشاعر والآراء المضمنة في نص أو صورة. .
Sequence Model,نموذج تسلسلي,نموذج يشتمل على ُمدخلات ذات اعتماد متسلسل. .
Sequence-To-Sequence )Seq2Seq(,تحويل تسلسل إلى تسلسل,نوع من معمارية الشبكة العصبية مصمم لتحويل تسلسل من البيانات إلى تسلسل آخر. .
Service Robot,روبوت خدمي,روبوت يمكنه أداء مهام مفيدة للبشر أو المعدات باستثناء تطبيقات الأتمتة الصناعية. .
Shallow Learning,تعُّلم سطحي,نوع من خوارزميات تعُّلم الآلة يحتوي عادًة على طبقة واحدة أو عدد محدود من الطبقات للتعُّلم وتمثيل البيانات. .
Short-Term Memory,ذاكرة قصيرة المدى,ذاكرة ُتتيح للنموذج الاحتفاظ بالمعلومات واستخدامها في سياق محادثة أو جلسة واحدة. .
Siamese Network,شبكة سيامية,شبكة عصبية ُتستخدم لتصنيف الصور عن طريق تدريب شبكتين عصبيتين في وقت واحد لتعُّلم التشابه بين الصور. .
Sigmoid Function,دالة سيجمويد,دالة ُتعّين مخرجات الانحدار اللوجستي أو المتعدد الحدود إلى احتمالات قيمتها بين الصفر والواحد. .
Signal Processing,معالجة الإشارات,مجال هندسي يركز على تحليل الإشارات ومعالجتها، مثل: الصوتيات والصور والفيديوهات. .
Silhouette Coefficient,ُمعاِمل الظل,مقياس ُيستخدم لتقييم جودة التجميع، عن طريق قياس مدى تشابه الشيء مع مجموعته مقارنة بالمجموعات الأخرى. .
Similarity Learning,تعُّلم التشابه,نوع من تعُّلم الآلة الموَّجه ُيدِّرب مقيا ًسا للعثور على التشابه بين شيئين. .
Similarity Measure,قياس التشابه,مقياس ُيستخدم في خوارزميات التجميع لتقييم مدى تشابه مثالين. .
Single Linkage,ربط أحادي,طريقة تجميع تحدد المسافة بين مجموعتين، عن طريق أقصر مسافة بين أي نقطتي بيانات من كل مجموعة. .
Singularity,تفُّرد,انظر طفرة الذكاء. .
Small Language Model )SLM(,نموذج لغوي صغير,نوع من النماذج اللغوية مصمم للعمل بُمعاِمالت وموارد حوسبية أقل مقارنة بالنماذج اللغوية الكبيرة. .()
Social Media Data,بيانات وسائل التواصل الاجتماعي,البيانات التي يشاركها المستخدمون علًنا على وسائل التواصل الاجتماعي. .
Soft Computing,حوسبة ناعمة,مجموعة من الأساليب الحوسبية التي تتعامل مع النماذج التقريبية، وُتقِّدم حلوًال فاعلة للمشكالت المعقدة. .
Soft Prompting,أوامر ناعمة,أسلوب لتحسين مخرجات نموذج ُمدَّرب سابًقا، عن طريق إضافة تضمينات غير نصية إلى تضمينات الُمْدَخلات. .
Softmax,سوفت ماكس,دالة تعطي احتمالية لكل صنف في نموذج تصنيف متعدد الأصناف. .
Software,برمجيات,مجموعة من التعليمات التي ُتوِّجه الحاسب ألداء مهام محددة. .
Software Development Kit )SDK(,أدوات تطوير البرمجيات,مجموعة من أدوات تطوير البرمجيات التي تتيح إنشاء تطبيقات على منصة معينة. .
Solomonoff Probability,احتمالية سولومونوف,انظر احتمال خوارزمي. .
SPARQL Protocol and RDF Query Language,سباركل,)( لغة استعلام للوصول إلى بيانات إطار وصف الموارد ومعالجتها. .
Sparse Feature,خاصية متناثرة,ُمَّتجه خصائص تكون أغلب قيمه صفرية أو فارغة. .
Sparse Representation,تمثيل متناثر,تمثيل يشتمل فقط على عناصر غير صفرية. .
Sparse Vector,ُمَّتجه متناثر,ُمَّتجه تكون أغلب قيمه صفرية. .
Sparsity,تناثر,مفهوم في تعُّلم الآلة يصف مجموعة بيانات أو مصفوفة أكثر قيمها صفرية. .
Spatial Analysis,تحليل مكاني,دراسة البيانات القائمة على الموقع الكتشاف الأنماط والرؤى. .
Spatial-Temporal Reasoning,استدلال مكاني-زماني,مجال من مجالات الذكاء الاصطناعي يهتم بالتمثيل والاستدلال في المكان والزمان مثل الإنسان. .
Specificity,دقة التحديد,معدل صحة تنبؤ النموذج للأسماء السلبية عندما تكون بالفعل كذلك. وُيطلق عليه أيًضا المعدل السلبي الصحيح.   . .()
Speculative Decoding,فك الترميز التخميني,أسلوب تحسين ُيسِّرع الاستنتاج، عن طريق التنبؤ بالوحدات اللغوية والتحقق من صحتها بالتوازي. .
Speech Analytics,تحليالت الكالم,عملية تحليل التسجيالت الصوتية الستخراج رؤى من اللغة المنطوقة، مثل الكلمات الرئيسة والعواطف والنوايا. .
Speech Recognition,تعُّرف على الكالم,عملية تحويل الكالم إلى نص باستخدام الخوارزميات. وُيطلق عليها أيًضا تعُّرف تلقائي على الكالم أو تحويل الكالم      . إلى نص. .()   ()
Speech Synthesis,توليد الكالم,عملية توليد الكالم البشري بطريقة اصطناعية. وُيطلق عليها . أيًضا تحويل النص إلى كالم. .()
Speech-to-Text (STT),تحويل الكالم إلى نص,انظر تعُّرف على الكالم. .
Spiking Neural Network )SNN(,شبكة عصبية نبضية,نوع من الشبكات العصبية التي تحاكي نظام الإشارات الموفر للطاقة في الدماغ، وتتواصل فيه الخلايا العصبية بطريقة غير متزامنة، عن طريق القيم الثنائية. .
Squared Hinge Loss,مربع الخسارة المفصلية,مربع ُمخَرج دالة الخسارة المفصلية الذي يتعامل مع القيم الشاذة بطريقة أكثر صرامة من دالة الخسارة المفصلية. .
Squared Loss,مربع الخسارة,دالة خسارة تقيس الخطأ بين تنبؤات النموذج والقيم الفعلية، عن طريق تربيع الفرق بينهما. وُيطلق عليها أيًضا خسارة إل . . .
Stable Diffusion,نموذج الانتشار المستقر,نموذج تعُّلم عميق ُيوِّلد صوًرا من أوصاف نصية باستخدام عملية ُتعَرف بالانتشار. .
Standard Classification,تصنيف قياسي,انظر تصنيف. .
State-Action Value Function,دالة قيمة الحالة-الفعل,انظر دالة كيو. .
Static Model,نموذج ثابت,نموذج ُيدَّرب مرة واحدة على مجموعة بيانات ثابتة ثم يظل دون تغيير. .
Stationarity,ثبات,خاصية بيانات لها توزيع ثابت على ُبعد واحد أو أكثر. .
Statistical Classification,تصنيف إحصائي,طريقة تعُّلم موَّجه لتدريب النماذج على تصنيف بيانات جديدة غير ُمسَّماة بناًء على بيانات ذات عالقة وُمسَّماة. .
Statistical Learning,تعُّلم إحصائي,استخدام الأدوات الإحصائية لتحليل البيانات وفهمها. .
Statistical Relational Learning (SRL),تعُّلم عالئقي إحصائي,فرع من تعُّلم الآلة يجمع بين التعُّلم الإحصائي والتعُّلم العلائقي لمعالجة عدم التيقن في البيانات والتعامل مع الهياكل العلائقية المعقدة. .
Stemming,تجذيع,عملية إعادة الكلمات إلى شكلها الأساسي، عن طريق إزالة السوابق واللواحق. .
Step Size,حجم الخطوة,انظر معدل التعُّلم. .
Step-Back Prompting,أوامر الرجوع إلى العموم,أسلوب في هندسة الأوامر ُيمِّكن النموذج من تحديد المفاهيم أو المبادئ العامة ذات الصلة، واستخدامها الستخالص الاستجابات الصحيحة. .
Stochastic Gradient Descent )SGD(,نزول تدرجي عشوائي,خوارزمية نزول تدرجي يكون حجم الُحزمة فيها واحًدا. .
Stochastic Optimization )SO(,تحسين عشوائي,مجموعة من الطرق لتقليل دالة الهدف أو تعظيمها باستخدام متغيرات عشوائية. .
Stochastic Semantic Analysis,تحليل دلالي عشوائي,طريقة ُتستخدم كُمكِّون دلالي في فهم اللغات الطبيعية. .
Streaming Data,بيانات متدفقة,بيانات تصل من مصدر يعمل بصفة مستمرة. .
Strong Artificial Intelligence,ذكاء اصطناعي قوي,انظر ذكاء عام اصطناعي. .()
Structural Risk Minimization )SRM(,تقليل المخاطر الهيكلي,مبدأ استقرائي ُيستخدم لمعالجة فرط التخصيص، عن طريق الموازنة بين ملاءمة بيانات التدريب وتعقيد النموذج. .
Structured Data,بيانات مهيكلة,بيانات منظمة بطريقة محددة سابًقا، وفًقا لمجموعة من القواعد. .
Structured Query Language )SQL(,لغة الاستعلام المهيكلة,لغة استعلام موحدة ُتستخدم في قواعد البيانات العلائقية لتعريف البيانات وإدارتها. .
Subsampling,أخذ عِّينات جزئية,أسلوب لتقليل حجم البيانات باختيار مجموعة فرعية من البيانات الأصلية. .
Subsymbolic Artificial Intelligence,ذكاء اصطناعي شبه ترميزي,فرع من فروع الذكاء الاصطناعي يهتم بالتعُّلم، عن طريق استخدام المعلومات الضمنية والتمثيل الرقمي. .
Sum of Squared Residuals )SSR(,مجموع المتبقيات المربعة,انظر مجموع المربعات المتبقية. .()
Superintelligence,ذكاء خارق,ذكاء اصطناعي افتراضي يمكنه تجاوز القدرات البشرية. وُيطلق عليه أيًضا ذكاء اصطناعي خارق. .()     .
Supervised Fine-Tuning )SFT(,ضبط دقيق مو َّجه,طريقة لتكييف نموذج ُمدَّرب سابًقا على مهمة محددة، عن طريق تدريبه على بيانات ُمسَّماة. .
Supervised Learning,تعُّلم مو َّجه,نوع من تعُّلم الآلة يستخدم مجموعة بيانات ُمسّّماة لتدريب نموذج للتنبؤ أو التصنيف. .
Support Vector Machine (SVM),آلة الُمَّتجهات الداعمة,نموذج تعُّلم آلة موَّجه ُيستخدم في تصنيف البيانات وتحليل الانحدار؛ لإيجاد حدود قرار ذات هوامش قصوى. .
Support Vectors,ُمَّتجهات داعمة,نقاط البيانات الأقرب إلى المستوى المتعدد الأبعاد. .
Swarm Intelligence )SI(,ذكاء السرب,مجال يركز على السلوك الجماعي للعناصر التي تتفاعل فيما بينها، باستخدام أنظمة لا مركزية وذاتية التنظيم. .
Swarm Robotics,علم الروبوتات السربية,مجال في علم الروبوتات يركز على تنسيق المجموعات الكبيرة من الروبوتات الذاتية التحكم للعمل مًعا بصورة جماعية دون تحكم مركزي. .
Symbolic Artificial Intelligence,ذكاء اصطناعي ترميزي,فرع من فروع الذكاء الاصطناعي يهتم بتمثيل المعرفة البشرية في حقائق وقواعد صريحة. .
Synapse,ناقل عصبي,الرابط بين الخلايا العصبية (العقد) في الشبكة العصبية   () الاصطناعية. ُيطلق عليه أيًضا ناقل عصبي اصطناعي.     . .
Synthetic Data,بيانات مصطنعة,البيانات التي ُتنشأ بشكل اصطناعي باستخدام خوارزميات أو عمليات محاكاة لتقليد بيانات العالم الحقيقي. .
Synthetic Feature,خاصية مصطنعة,خاصية وَّلدتها واحدة أو أكثر من خصائص الُمْدَخلات. .
System,نظام,مجموعة من العناصر التي تتفاعل مع بعضها لتحقيق أهداف محددة. .
System Message,رسائل النظام,انظر أوامر وصفية. .
System Prompt,أوامر النظام,انظر أوامر وصفية. .
Tabular Q-Learning,خوارزمية كيو ُم َجْدَوَلة,طريقة في التعُّلم التعزيزي لتخزين دوال كيو في جدول لكل مجموعة من الحالات والأفعال. .
Target Network,شبكة الهدف,نسخة من شبكة عصبية ُتستخدم في التعُّلم التعزيزي وُتحَّدث بوتيرة أقل لتحقيق استقرار التعُّلم وتحسين دقة تقدير القيم.
Targeted Advertising )or Targeted Ads(,إعالن مو َّجه,انظر توجيه الإعالنات. .
Technological Singularity,تفُّرد تقني,انظر طفرة الذكاء. .
Temporal Data,بيانات زمنية,البيانات التي ُتجّمع في أوقات مختلفة. .
Temporal Difference )TD( Learning,تعُّلم الفرق الزمني,أسلوب تعُّلم غير مو َّجه في التعُّلم التعزيزي، يتعَّلم فيه الوكيل التنبؤ بقيمة متغير في نهاية تسلسل من الحالات.
Tensor,تينسر,مصفوفة متعددة الأبعاد من القيم الرقمية المستخدمة لتمثيل البيانات. .
Tensor Degree,درجة تينسر,انظر رتبة تينسر. .
Tensor Network Theory (TNT),نظرية شبكة تينسر,طريقة رقمية توفر تخزيًنا ومعالجة فاعلة للبيانات الكثيرة الأبعاد. .
Tensor Order,مرتبة تينسر,انظر رتبة تينسر. .
Tensor Processing Unit )TPU(,وحدة معالجة تينسر,دائرة متكاملة طورتها شركة جوجل مصممة خصيًصا لتسريع مهام تعُّلم الآلة. .
Tensor Rank,رتبة تينسر,عدد الأبعاد في تينسر. وُيطلق عليه أيًضا مرتبة تينسر أو   . درجة تينسر. .
Tensor Shape,شكل تينسر,عدد العناصر الموجودة في أبعاد تينسر. .
Tensor Size,حجم تينسر,العدد الإجمالي للعناصر في تينسر. .
Tensorflow,تينسرفلو,منصة مفتوحة المصدر طورتها شركة جوجل لتطبيقات تعُّلم الآلة. .
Term Frequency-Inverse Document Frequency,تكرار المصطلح ومعكوس تكرار المستند,() مقياس لتقييم أهمية الكلمة في مستند بالنسبة لمجموعة من المستندات. .
"Test Dataset )or Test Data, Test Set( )",بيانات الاختبار (أو مجموعة الاختبار,البيانات المستخدمة لتقييم أداء نموذج تعُّلم الآلة بعد مرحلتي التدريب والتحقق. وُيطلق عليها أيًضا بيانات التقييم. .    .
Testing Error,خطأ الاختبار,الخطأ الذي يحدث عند تشغيل نموذج على بيانات جديدة. .
Testing Example,مثال اختبار,مثال من بيانات الاختبار يتكون من خاصية واحدة أو أكثر، وقد يحوي اسًما أيًضا. .
Text Analytics,تحليالت النصوص,انظر تنقيب في النصوص. .
Text Mining,تنقيب في النصوص,عملية تطبيق أساليب التنقيب في البيانات الستخراج الأنماط والرؤى من المستندات النصية. وُيطلق عليها أيًضا تحليالت النصوص. .    .
Text Summarization,تلخيص النصوص,عملية إنشاء نسخة مختصرة من نص طويل بطريقة تلقائية، مع الحفاظ على نقاطه الرئيسة. .
Text Tokenization,تقسيم النصوص,عملية تقسيم النص إلى وحدات صغيرة ُتسَّمى وحدات لغوية. .
Text-to-Speech )TTS(,تحويل النص إلى كالم,انظر توليد الكالم. .
Thompson Sampling,أخذ عِّينات تومبسون,خوارزمية تعُّلم إرشادية ُتنِّفذ الأفعال بطريقة متسلسلة لتوازن بين تعظيم الأداء الفوري وتجميع المعلومات الجديدة التي يمكن أن تحسن الأداء في المستقبل.
Time Complexity,تعقيد زمني,مقدار الوقت الالزم لتشغيل خوارزمية. .
Time Series Analysis,تحليل السالسل الزمنية,طريقة لتحليل البيانات التي ُجمعت خلال فترة زمنية. .
Time Stamp )or Timestamp(,ختم زمني,وقت وتاريخ محددان مرتبطان بملف رقمي لتوثيق وقت إنشاء البيانات أو حذفها أو تغييرها أو إرسالها. .
Tiny Machine Learning )TinyML(,تعُّلم الآلة الُمصَّغر,مجال فرعي من تعُّلم الآلة يركز على تشغيل نماذج تعُّلم الآلة على الأجهزة المحدودة الموارد، مثل أجهزة إنترنت الأشياء ووحدات التحكم الدقيقة. .
Token,وحدة,أصغر وحدة بيانات يعالجها النموذج. .
