%s Channel Copy,Copie du canal %s,%s (Kopie),نسخة القناة %s
%s Channel to Selection,Canal %s vers sélection,Auswahl aus %s-Kanal,القناة %s إلى التحديد
%s Curve,Courbe %s,%s-Kurve,منحنى %s
%s Message,Message %s,%s-Meldung,رسالة %s
%s Preset,Préréglage %s,Voreinstellung %s,محفوظات %s
%s copy,Copie de %s,%s-Kopie,نسخة %s
%s for a straight line,%s pour une ligne droite,%s für eine gerade Linie,‏%s لترسم سطرا مستقيما
%s for constrained angles,%s pour contraindre les angles,%s für eingeschränkte Winkel,%s للزوايا المقيدة
%s for constrained values,%s pour contraindre les valeurs,%s für eingeschränkte Werte,%s للزوايا المقيدة
%s mask,masque %s,%s Maske,قناع %s
%s plug-In could not open image,,,لم تستطع الملحقة %s فتح الصورة
%s plug-in could not save image,Le greffon %s n’a pas pu enregistrer l’image,Das Plugin %s konnte das Bild nicht speichern,لم تستطع الملحقة %s حفظ الصورة
%s plug-in returned SUCCESS but did not return an image,Le greffon %s a rapporté avoir terminé avec succès mais n’a pas renvoyé d’image,"Das Plugin %s meldete einen Erfolg, es wurde jedoch kein Bild zurück geliefert",أرجعة الملحقة %s رسالة نجاح (SUCCESS) لكن لم تُرجع صورة
%s to blur,%s pour rendre flou,%s zum Weichzeichnen,‏%s للتنعيم
%s to burn,%s pour assombrir,%s zum Abdunkeln,‏%s للحرق
%s to dodge,%s pour éclaircir,%s zum Aufhellen,%s للتمويه
%s to move the whole line,%s pour déplacer la ligne entière,%s zum Verschieben der ganzen Linie,‏%s لنقل كل السطر
%s to pick a background color,%s pour prélever une couleur d’arrière-plan,%s zum Wählen der Hintergrundfarbe,‏%s لالتقاط لون الخلفية
%s to pick a color,%s pour prélever une couleur,%s zum Wählen einer Farbe,‏%s لتلتقط لونا
%s to set a new clone source,%s pour donner une nouvelle source au clonage,%s zum Setzen einer neuen Quellen für das Klonen,‏%s لتحدد مصدر استنساخ جديد
%s to set a new heal source,%s pour donner une source à la correction,%s zum Setzen einer neuen Quelle für das Heilen,‏%s لتحدد مصدر إصلاح جديد
%s to sharpen,%s pour accentuer la netteté,%s zum Schärfen,%s للإظهار
%s version %s,%s version %s,%s Version %s,‏%s إصدارة %s
%s-Click: extend selection,%s-clic : étendre la sélection,%s-Klick: Auswahl erweitern,‏%s-نقر: مدّد الاختيار
%s-Drag: move & compress,%s-glisser : déplacer et compresser,%s-Ziehen: Verschieben und Stauchen,‏%s-سحب: انقل واضغط
%s: %.2f,%s : %.2f,%s: %.2f,%s: %.2f
%s: %d,%s : %d,%s: %d,%s: %d
%s: add control point,%s : ajouter un point de contrôle,%s: Kontrollpunkte hinzufügen,%s: أضف نقطة تحكم
%s: add control points to all channels,%s : ajouter des points de contrôle à tous les canaux,%s: Kontrollpunkte zu allen Kanälen hinzufügen,%s: أضف نقاط تحكم إلى كل القنوات
%s: remove this point,%s : supprimer ce point,%s: Diesen Punkt entfernen,%s: احذف هذه النقطة
%s: symmetrical,%s : symétrique,%s: symmetrisch,‏%s: متماثل
"When enabled, the rulers are visible by default. This can also be toggled with the ""View->Show Rulers"" command.","Si cette option est activée, par défaut, les règles seront visibles. l’affichage de ces dernières peut aussi être contrôlé via le menu « Affichage -> Afficher les règles ».","Legt fest, ob die Lineale standardmäßig angezeigt werden sollen. Dies kann auch mithilfe des Befehls »Ansicht->Lineale anzeigen« beeinflusst werden.","عند تفعيله، ستصبح المساطر مرئية مبدئيا.يمكن التحكم في هذا أيضا عن طريق ""منظور←أظهر المساطر""."
"When enabled, the sample points are visible by default. This can also be toggled with the ""View->Show Sample Points"" command.","Si cette option est activée, par défaut, les points d’échantillonnage seront visibles. l’affichage de ces derniers peut aussi être contrôlé via la commande « Affichage -> Afficher les points d’échantillonnage ».","Legt fest, ob die Prüfpunkte standardmäßig angezeigt werden sollen. Dies kann auch mithilfe des Befehls »Ansicht->Prüfpunkte anzeigen« beeinflusst werden.","عند تفعيله، ستصبح عينات النقاط مرئية مبدئيا.يمكن التحكم في هذا أيضا عن طريق ""منظور←أظهر عينات النقاط""."
"When enabled, the scrollbars are visible by default. This can also be toggled with the ""View->Show Scrollbars"" command.","Si cette option est activée, les barres de défilement seront visibles par défaut. Cela peut aussi être activé ou désactivé via le menu « Affichage -> Afficher les barres de défilement ».","Legt fest, ob die Bildlaufleisten standardmäßig angezeigt werden sollen. Dies kann auch mithilfe des Befehls »Ansicht->Bildlaufleisten anzeigen« beeinflusst werden.","عند تفعيله، ستصبح أشرطة التمرير مرئية مبدئيا.يمكن التحكم في هذا أيضا عن طريق ""منظور←أظهر شريط التمرير""."
"When enabled, the selected brush will be used for all tools.","Si cette option est activée, la brosse sélectionnée sera utilisée pour tous les outils.","Wenn diese Option ausgewählt ist, wird der ausgewählte Pinsel bei allen Werkzeugen verwendet.",عند تفعيله ستستخدم الفرشاة المختارة مع كل الأدوات.
"When enabled, the selected dynamics will be used for all tools.","Si cette option est activée, la dynamique sélectionnée sera utilisée pour tous les outils.","Wenn diese Option ausgewählt ist, wird die ausgewählte Zeichendynamik bei allen Werkzeugen verwendet.",عند تفعيله ستستخدم الحركيات المختارة مع كل الأدوات.
"When enabled, the selected gradient will be used for all tools.","Si cette option est activée, le dégradé sélectionné sera utilisé pour tous les outils.","Wenn diese Option ausgewählt ist, wird der ausgewählte Farbverlauf bei allen Werkzeugen verwendet.",عند تفعيله سيستخدم التدرج المختار مع كل الأدوات.
"When enabled, the selected pattern will be used for all tools.","Si cette option est activée, le motif sélectionné sera utilisé pour tous les outils.","Wenn diese Option ausgewählt ist, wird das ausgewählte Muster bei allen Werkzeugen verwendet.",عند تفعيله سيتم استخدام النمط المختار لكل الأدوات.
"When enabled, the selection is visible by default. This can also be toggled with the ""View->Show Selection"" command.","Si cette option est activée, la sélection sera visible par défaut. Cela peut aussi être activé ou désactivé via la commande « Affichage -> Afficher la sélection ».","Legt fest, ob die Auswahl standardmäßig angezeigt werden soll. Dies kann auch mithilfe des Befehls »Ansicht->Auswahl anzeigen« beeinflusst werden.","عند تفعيله، سيصبح التحديد مرئيا مبدئيا.يمكن التحكم في هذا أيضا عن طريق ""منظور←أظهر التحديد""."
"When enabled, the statusbar is visible by default. This can also be toggled with the ""View->Show Statusbar"" command.","Si cette option est activée, la barre d’état sera visible par défaut. Cela peut aussi être activé ou désactivé via la commande « Affichage -> Afficher la barre d’état ».","Legt fest, ob die Statusleiste standardmäßig angezeigt werden soll. Dies kann auch mithilfe des Befehls »Ansicht->Statusleiste anzeigen« beeinflusst werden.","عند تفعيله، سيصبح شريط الحالة مرئيا مبدئيا.يمكن التحكم في هذا أيضا عن طريق ""منظور←أظهر شريط الحالة""."
"When enabled, this will ensure that each pixel of an image gets mapped to a pixel on the screen.","Si cette option est activée, chaque pixel d’une image correspondra à un pixel de l’écran.","Falls ausgewählt, wird sichergestellt, dass jedes Pixel ein Bildes auf je ein Pixel auf dem Bildschirm abgebildet wird.",عند تفعيله سيضمن هذا أن كل بكسل في الصورة يتم ربطه ببكسل على الشاشة.
"When enabled, uses OpenCL for some operations.","Si cette option est activée, utilise OpenCL pour certaines opérations.","Wenn diese Option ausgewählt ist, wird OpenCL für einige Operationen verwendet.",عند تفعيله سيُستخدم OpenCL لبعض العمليات.
"When shrinking, act as if selected areas continued outside the image.","Lors de la réduction, agit comme si les zones sélectionnées continuaient en dehors de l’image.","Beim Verkleinern so tun, als ob ausgewählte Bereiche außerhalb des Bildes fortgesetzt werden.",عند الانكماش، اعتبر أن المنطقة المختارة تمتد خارج الصورة
Whether the CPU is active,Indique si le CPU est actif,"Gibt an, ob die CPU aktiv ist",اجعل الطبقة أو المسار نشطا
Which area will be filled,La zone qui sera remplie,Welcher Bereich gefüllt werden soll,أي منطقة ستُملأ
Whirl and Pinch,Tourner et aspirer,,دوامة و قرصة
White Balance operates only on RGB color layers.,La balance des blancs ne fonctionne que sur des calques RVB.,Der Weißabgleich funktioniert nur bei RGB-Ebenen.,توازن الأبيض يعمل فقط على طبقات ألوان ح‌خ‌ز.
Width,Largeur,Breite,العرض
Width of selection,Largeur de la sélection,Breite der Auswahl,عرض التحديد
Width:,Largeur :,Breite:,العرض:
Wind,Vent,,رياح
Window Management,Gestion des fenêtres,Fensterverwaltung,إدارة النوافذ
Window Manager Hints,Préconisations au gestionnaire des fenêtres,Fenster-Manager-Hinweise,تلميحات مدير النوافذ
Window Positions,Emplacements des fenêtres,Fensterpositionen,مواضع النوافذ
Windows,Fenêtres,Fenster,نوافذ
Work on the layer mask,Travailler sur le masque de calque,An der Ebenenmaske arbeiten,اعمل على قناع الطبقة
Write all error messages to a file,Écrire toutes les erreurs dans un fichier,Alle Fehlermeldungen in eine Datei schreiben,اكتب كل رسائل الخطأ إلى ملف
Write the selected error messages to a file,Exporter les paramètres sélectionnés dans un fichier,Die ausgewählten Fehlermeldungen in eine Datei schreiben,اكتب رسائل الخطأ المحددة في ملف
Writing PDB file '%s' failed: %s,L’écriture du fichier PDB « %s » a échoué : %s,Schreiben der PDB-Datei »%s« fehlgeschlagen: %s,فشلت كتابة ملف PDB ‏'%s': ‏%s
Writing POV file '%s' failed: %s,L’écriture du fichier POV « %s » a échoué : %s,Schreiben der POV-Datei »%s« fehlgeschlagen: %s,فشلت كتابة ملف POV ‏'%s': ‏%s
Writing SVG file '%s' failed: %s,L’écriture du fichier SVG « %s » a échoué : %s,SVG Datei »%s« konnte nicht geschrieben werden: %s,فشلت كتابة ملف SVG ‏'%s': ‏%s
Writing curves file failed:,Échec d’écriture du dossier de courbes :,Schreiben der Kurven-Datei fehlgeschlagen:,فشلت كتابة ملف المنحنيات:
Writing levels file failed:,Échec d’écriture du dossier de niveaux :,Fehler beim Schreiben der Level-Datei:,فشلت كتابة ملف المستويات:
Writing text file '%s' failed: %s,L’écriture du fichier texte « %s » a échoué : %s,Das Schreiben der Textdatei »%s« ist fehlgeschlagen: %s,فشلت كتابة ملف لوح الألوان ‏'%s': ‏%s
X coordinate of top left corner,Coordonnée X du coin en haut à gauche,X-Koordinate der obere linke Ecke,الإحداثي السيني للزاوية العليا اليسرى
X tilt,Inclinaison X,X-Neigung,ميل س
XCF error: unsupported XCF file version %d encountered,Erreur XCF : version %d du format XCF non prise en charge,XCF-Fehler: nicht unterstützte XCF-Dateiversion %d gefunden,خطأ في XCF: إصدارة ملف XCF غير مدعومة %d
Y coordinate of top left corner,Coordonnée Y du coin en haut à gauche,Y-Koordinate der obere linke Ecke,الإحداثي الصادي للزاوية العليا اليسرى
Y tilt,Inclinaison Y,Y-Neigung,ميل ص
Yellow,Jaune,Gelb,أصفر
Yellow-Blue,Jaune-Bleu,Gelb-Blau,أصفر-أزرق
You are trying to create an image with a size of %s.,Vous essayez de créer une image avec une taille de %s.,"Sie versuchen, ein Bild der Größe %s anzulegen.",تحاول إنشاء صورة بالحجم %s.
You can drop dockable dialogs here,,,يمكنك إفلات العناصر القابلة للرصف هنا
"You can use this dialog to export to various file formats. If you want to save the image to the GIMP XCF format, use File→Save instead.","Vous pouvez utiliser cette boîte de dialogue pour exporter vers divers formats de fichiers. Si vous voulez enregistrer dans le format XCF de GIMP, utilisez plutôt Fichier → Enregistrer.","Sie können diesen Dialog zum Exportieren nach verschiedenen Dateiformaten verwenden. Wenn Sie das Bild als GIMP XCF-Format speichern wollen, so verwenden Sie stattdessen bitte Datei→Speichern.",يمكنك استخدام هذا الحوار للتصدير إلى أنساق الملفات المختلفة. إذا أردت حفظ الصورة بنسق جمب XCF فاختر ملف←احفظ بدلا من هذا.
You can use this dialog to save to the GIMP XCF format. Use File→Export to export to other file formats.,"Vous pouvez utiliser cette boîte de dialogue pour enregistrer dans le format XCF de GIMP. Pour enregistrer dans d’autres formats, utilisez Fichier → Exporter.",Sie können diesen Dialog zum Speichern im GIMP XCF-Format verwenden. Verwenden Sie Datei→Exportieren zum Exportieren in andere Dateiformate.,يمكنك استخدام هذا الحوار للحفظ بنسق جمب XCF. استخدم ملف←صدّر للتصدير إلى أنساق الملفات الأخرى.
You don't have any writable data folder configured.,Vous n’avez configuré aucun dossier de données accessible en écriture.,Sie haben keinen beschreibbaren Datenordner eingestellt.,لا تمتلك أي مجلد بيانات مُعدّ قابل للكتابة.
"You have a writable data folder configured (%s), but this folder does not exist. Please create the folder or fix your configuration in the Preferences dialog's 'Folders' section.","Vous avez configuré un dossier de données en écriture (%s), mais ce dossier n’existe pas. Créez le dossier ou adaptez la configuration dans la section « Dossiers » de la boîte de dialogue des Préférences.","Sie haben einen beschreibbaren Datenordner konfiguriert (%s), aber dieser Ordner existiert nicht. Bitte legen Sie den Ordner an oder korrigieren Sie Ihre Konfiguration im Abschnitt »Ordner« im Einstellungen-Dialog.",لديك مجلد بيانات مُعدّ قابل للكتابة (%s) لكن هذا المجلد لا وجود له. من فضلك أنشئ المجلد أو أصلح التضبيطات في قسم المجلدات من حوار التفضيلات.
"You have a writable data folder configured, but this folder is not part of your data search path. You probably edited the gimprc file manually, please fix it in the Preferences dialog's 'Folders' section.","Vous avez configuré un dossier de données en écriture, mais il ne fait pas partie du chemin de recherche de données. Vous avez probablement modifié manuellement le fichier gimprc. Corrigez-le dans la section « Dossiers » des préférences.","Sie haben einen beschreibbaren Datenordner konfiguriert, aber dieser Ordner ist nicht Teil des Suchpfads. Sie haben vermutlich die Datei ».gimprc« händisch bearbeitet. Bitte korrigieren Sie sie im Abschnitt »Ordner« im Einstellungen-Dialog.",لديك مجلد بيانات مُعدّ لكن هذا المجلد ليس جزءا من مسار بحث البيانات. غالبا سبق وحررت ملف gimprc يدويا. من فضلك أصلحه في قسم المجلدات من حوار التفضيلات.
You may either install the additional help package or change your preferences to use the online version.,"Vous pouvez soit installer le paquet additionnel d’aide, soit changer les préférences pour utiliser la version en ligne.","Sie können das zusätzliche Hilfepaket installieren oder Ihre Einstellungen so ändern, dass die Online-Hilfe verwendet wird.",يمكنك إما تثبيت حزمة المساعدة الإضافية أو تعديل التفضيلات لتستخدم نسخة الإنترنت.
You may either select a manual in another language or read the online version.,"Vous pouvez soit sélectionner un manuel dans une autre langue, soit lire la version en ligne.",Sie können entweder ein Handbuch in einer anderen Sprache wählen oder die Online-Version lesen.,يمكنك إما تثبيت حزمة المساعدة الإضافية أو تعديل التفضيلات لتستخدم نسخة الإنترنت.
You may instead use the web browser for reading the help pages.,Vous pouvez utiliser un navigateur web à la place pour consulter l’aide en ligne.,"Sie können stattdessen den Internet-Browser verwenden, um die Hilfe zu lesen.",ملحقة متصفح مساعدة جمب تبدو مفقودة من تثبيتك. يمكنك استخدام متصفح الوب لعرض صفحات المساعدة.
You will have to restart GIMP for the changes to take effect.,Vous devez relancer GIMP pour que ces changements prennent effet.,"Sie müssen GIMP neu starten, damit die Änderungen aktiv werden.",ستحتاج لإعادة تشغيل جمب لتطبيق التغييرات.
You will have to restart GIMP for the following changes to take effect:,Vous devez relancer GIMP pour que ces changements prennent effet.,"Sie müssen GIMP neu starten, damit die folgenden Änderungen aktiv werden:",عليك إعادة تشغيل جمب لتطبيق التغييرات التالية:
Your GIMP installation is incomplete:,Votre installation de GIMP est incomplète :,,تثبيت جمب غير مكتمل:
Your input device settings will be reset to default values the next time you start GIMP.,Vos périphériques d’entrée seront réinitialisés aux valeurs par défaut la prochaine fois que vous démarrerez GIMP.,Die Einstellungen für Eingabegeräte werden beim nächsten Start von GIMP auf die Standardwerte zurückgesetzt.,ستعاد إعدادات أجهزة الإدخال إلى قيمها المبدئية في المرة القادمة التي تشغل جمب فيها.
Your keyboard shortcuts will be reset to default values the next time you start GIMP.,Vos raccourcis clavier seront réinitialisés aux valeurs par défaut la prochaine fois que vous démarrerez GIMP.,Die Tastenkombinationen werden beim nächsten Start von GIMP auf die Standardwerte zurückgesetzt.,ستعاد اختصارات لوحة المفاتيح إلى قيمها المبدئية في المرة القادمة التي تشغل جمب فيها.
Your text cannot be rendered. It is likely too big. Please make it shorter or use a smaller font.,Impossible de présenter votre texte. Il est probablement trop grand. Réduisez-le ou utilisez une police plus petite.,Ihr Text kann nicht dargestellt werden. Er ist vermutlich zu groß. Bitte kürzen Sie ihn oder verwenden Sie eine kleiner Schrift.,تعذّر عرض النص. غالبًا النص كبير. جرب جعله أقصر أو استخدام خط أصغر.
Your tool options will be reset to default values the next time you start GIMP.,Vos options des outils seront réinitialisés aux valeurs par défaut la prochaine fois que vous démarrerez GIMP.,Die Werkzeugeinstellungen werden beim nächsten Start von GIMP auf die Standardwerte zurückgesetzt.,ستعاد خيارات الأدوات إلى قيمها المبدئية في المرة القادمة التي تشغل جمب فيها.
Your window setup will be reset to default values the next time you start GIMP.,Vos paramètres des fenêtres seront réinitialisés aux valeurs par défaut la prochaine fois que vous démarrerez GIMP.,Die Fenstereinstellungen werden beim nächsten Start von GIMP auf die Standardwerte zurückgesetzt.,سيُعاد إعداد نافذتك إلى قيمته المبدئية في المرة القادمة التي تشغل جمب فيها.
Zoom,Zoom,Vergrößern,قرّب
Zoom & Resize Behavior,Comportement du zoom et du redimensionnement,Verhalten bei Größenänderungen,سلوك التقريب والتحجيم
Zoom 16:1,Zoom 16:1,Maßstab 16:1,قرّب 16‏:1
Zoom 1:1,Zoom 1:1,Maßstab 1:1,قرّب ‮1:1‬
Zoom 1:16,Zoom 1:16,Maßstab 1:16,قرّب 1‏:16
Zoom 1:2,Zoom 1:2,Maßstab 2:1,قرّب ‮1:2‬
Zoom 1:4,Zoom 1:4,Maßstab 1:4,قرّب ‮1:4‬
Zoom 1:8,Zoom 1:8,Maßstab 1:8,قرّب ‮1:8‬
Zoom 2:1,Zoom 2:1,Maßstab 2:1,قرّب ‮2:1‬
Zoom 4:1,Zoom 4:1,Maßstab 4:1,قرّب ‮4:1‬
Zoom 8:1,Zoom 8:1,Maßstab 8:1,قرّب ‮8:1‬
Zoom All,Zoom ajusté à la fenêtre,Alles anzeigen,قرب الكل
Zoom In,Zoom avant,Vergrößern,قرّب
Zoom Out,Zoom arrière,Verkleinern,بعّد
Zoom Ratio,Facteur de zoom,Skalierungsverhältnis,نسبة التقريب
Zoom Tool: Adjust the zoom level,Outil de zoom : ajuste le niveau de zoom,Vergrößerung: Vergrößerungsstufe einstellen,أداة التقريب: اضبط مستوى التقريب
Zoom All,Zoom ajusté à la fenêtre,Alles anzeigen,قرّب الكل
Zoom In,Zoom avant,Vergrößern,قرّب
Zoom Out,Zoom arrière,Verkleinern,بعّد
Zoom all,Zoom ajusté à la fenêtre,Alles anzeigen,قرّب الكل
Zoom factor: %d:1,Facteur de zoom : %d:1,,معامل التقريب: %Id:1
Zoom image when window size changes,Zoomer l’image quand la fenêtre change de taille,"Bild vergrößern, wenn die Fenstergröße sich ändert",قرّب الصورة عندما يتغير حجم النافذة
Zoom in,Zoom avant,Vergrößern,قرّب
Zoom in a lot,Zoom beaucoup en avant,Stark vergrößern,قرّب
Zoom out,Zoom arrière,Verkleinern,بعّد
Zoom out a lot,Zoom beaucoup en arrière,Stark verkleinern,بعّد
Zoom ratio:,Facteur de zoom :,Skalierung:,نسبة التقريب:
Zoom to Selection,Zoomer jusqu’à la sélection,Auf Auswahl vergrößern,قرّب إلى التحديد
Zoom:,Zoom :,Maßstab:,التقريب:
[ Base Image ],[ image de base ],[Basisbild],[ الصورة الأساسية ]
About,À propos,Info,عن
Add,Ajouter,Hinzufügen,أضف لسانا
Add Color from BG,Ajouter la couleur depuis l’AP,Hintergrundfarbe einfügen,أضف لون من الخلفية
Add Color from FG,Ajouter la couleur depuis le PP,Vordergrundfarbe einfügen,أضف لون من المقدمة
Add Tab,Ajouter un onglet,Reiter hinzufügen,أضف لسانا
Add to Selection,Ajouter à la sélection,Zur Auswahl hinzufügen,أضف إلى التحديد
Advanced Options,Options avancées,Erweiterte Einstellungen,خيارات متقدمة
Airbrush,Aérographe,Sprühpistole,فرشاة هواء
Alien Map...,Psychédélique…,Alien Map …,خريطة غريبة...
Align,Alignement,,حاذ
All,Tout,Alles,الكل
Anchor Layer,Ancrer le calque,,ثبّت الطبقة
Angle:,Angle :,Winkel:,الزاوية:
Antialias,Lissage,Kantenglättung,نعّم
Antialiasing,Anticrénelage,Kantenglättung,التنعيم
Apply Canvas...,Appliquer le canevas…,Leinwand anwenden …,طبّق رقعة الرسم...
Arbitrary Rotation...,Rotation arbitraire…,Beliebig drehen …,تدوير محدد...
Artistic,Artistiques,Künstlerisch,فني
Aspect Ratio,Proportions,,نسبة الأبعاد
Assign,Attribuer,Zuweisen,حدد
Assign Color Profile...,Attribuer un profil de couleur…,Farbprofil zuweisen …,حدد لاحة ألوان...
Auto,Auto,Automatisch,تلقائي
Auto Input Levels,Niveaux d’entrée automatiques,Automatische Quellwerte,مستويات الدخل
Background Color,Couleur d’arrière-plan,Hintergrundfarbe,لون الخلفية
Background color:,Arrière-plan :,Hintergrundfarbe:,لون الخلفية:
Black Point Compensation,Utiliser la compensation du point noir,Tiefenkompensation,تعويض النقطة السوداء
Blending Function for Segment,Type de mélange pour le segment,Verlaufsfunktion für Segment,وظيفة مزج القطعة
Blending Function for Selection,Type de mélange pour la sélection,Verlaufsfunktion für Auswahl,وظيفة مزج التحديد
Blur,Flou,Weichzeichnen,تمويه
Bottom,Bas,Unten,تحت
Brightness,Luminosité,Helligkeit,السطوع
Brush,Brosse,Pinsel,الفرشاة
Brushes,Brosses,Pinsel,الفُرش
Bucket Fill,Remplissage,Füllen,الملء بالدلو
Buffer,Presse-papiers,Ablagen,براح
Bump Map...,Repoussage d’après une carte…,Bump Map …,خريطة بارزة...
By Color,Par couleur,Nach Farbe,باللون
By Color Select,Sélection par couleur,Nach Farbe auswählen,تحديد باللون
CMYK profile:,Profil CMJN :,CMYK-Profil:,لاحة زق‌ص‌س:
Cage Transform,Transformation par cage,Käfigtransformation,تحويل القفص
Cancel,Annuler,Abbrechen,ألغ
Cap style:,Style de coiffe :,Aufsatzstil:,أسلوب الغطاء:
Cell Noise...,Brouillage cellulaire…,Zellrauschen …,ضجيج خلوي...
Channel Mixer...,Mixeur de canaux…,Kanalmixer …,مازج القنوات...
Channels,Canaux,Kanäle,القنوات
Channels and Masks:,Canaux et masques :,Kanäle und Masken:,القنوات و الأقنعة
Check style:,Style de damier :,Schachbrett-Stil:,أسلوب المربعات:
Checkerboard...,Damier…,Schachbrett …,لوحة شطرنج...
Circular Motion Blur...,Flou cinétique circulaire…,Bewegungsunschärfe kreisförmig …,غشاوة حركية دائرية...
Clear,Effacer,Leeren,امسح
Clear History,Vider l’historique,Journal säubern,امسح التأريخ
Clear Undo History,Vider l’historique d’annulation,Journal leeren,امسح تأريخ التراجع
Clear event,Effacer l’évènement,Ereignis löschen,التقط الإجراء
Clone,Clonage,Klonen,استنسخ
Close,Fermer,Schließen,استنسخ
Close Tab,Fermer l’onglet,Reiter schließen,أغلق اللسان
Close View,Fermer la vue,Ansicht schließen,أغلق المنظور
Clouds,Nuages,,سُحُب
Color Enhance,Renforcer les couleurs,Farbverbesserung,حسّن الألوان
Color Exchange...,Échange des couleurs…,Farbvertauschung …,تبادل الألوان...
Color Management,Gestion des couleurs,Farbverwaltung,إدارة الألوان
Color Tools,Outils de couleurs,,أدوات الألوان
Color to Gray...,Couleur vers gris…,Grau einfärben …,لون إلى رمادي...
Color-Manage this View,Gestion des couleurs de cette vue,Farben dieser Ansicht verwalten,إدارة الألوان
Colors,Couleurs,Farben,ألوان
Configure Color and Opacity...,Configurer la couleur et l’opacité…,Farbe und Deckkraft festlegen …,اضبط اللون والعتامة...
Context,Contexte,,السياق
Context Help,Aide contextuelle,Kontexthilfe,مساعدة سياقية
Contrast,Contraste,Kontrast,التباين
Convert to Color Profile...,Convertir en profil colorimétrique…,In Farbprofil umwandeln …,حوّل إلى لاحة ألوان...
Convolution Matrix...,Matrice de transformation…,Faltungsmatrix …,مصفوفة التحويل...
Copy,Copier,Kopieren,انسخ
Copy Named...,Copier (nommé)…,In Ablage kopieren …,انسخ مسمى...
Create Image from Template,Créer une image à partir d’un modèle,Bild aus Vorlage erstellen,أنشئ صورة من قالب
Crop,Découpage,Zuschneiden,قصّر
Crop to Selection,Rogner selon la sélection,Auf Auswahl zuschneiden,قصّر إلى التحديد
Cubism...,Cubisme…,Kubismus …,تكعيب...
Curved,Incurvé,Kurven,منحني
Curves...,Courbes…,Kurven …,المنحنيات...
Custom Color...,Couleur personnalisée…,Benutzerdefinierte Farbe …,اختر لونا مخصصا...
Dark Check Color,Couleur sombre du damier,Dunkle Schachbrettfarbe,لو ن فحص غامق
Dashboard,Tableau de bord,Leistungsüberwachung,لوحة الأدوات
Decor,Décoration,Dekoration,زخرفة
Default Colors,Couleurs par défaut,Standardfarben,الألوان الافتراضية
Default layer & channel preview size:,Taille par défaut de l’aperçu de calque et canal :,Standardgröße der Vorschau von Ebenen und Kanälen:,حجم معاينة الطبقات والقنوات الافتراضي:
Deinterlace...,Désentrelacer…,Deinterlace …,فك الدمج...
Delete,Supprimer,Löschen,احذف
Delete Brush,Supprimer la brosse,Pinsel löschen,احذف الفرشاة
Delete Buffer,Supprimer le tampon,Ablage löschen,احذف البراح
Delete Channel,,,احذف القناة
Delete Color,Supprimer la couleur,Farbe löschen,احذف اللون
Delete Dynamics,Supprimer la dynamique,Zeichendynamik löschen,احذف الحركيات
Delete Gradient,Supprimer le dégradé,Farbverlauf löschen,احذف التدرج
Delete Image,Supprimer l’image,Bild löschen,احذف الصورة
Delete Layer,,,احذف الطبقة
Delete MyPaint Brush,Supprimer la brosse Mypaint,MyPaint-Pinsel löschen,احذف فرشاة ماي پينت
Delete Palette,Supprimer la palette,Palette löschen,احذف لوح الألوان
Delete Path,Supprimer le chemin,,احذف المسار
Delete Pattern,Supprimer le motif,Muster löschen,احذف النمط
Delete Segment,Effacer le segment,Segment löschen,احذف القطعة
Delete Selection,Effacer la sélection,Auswahl löschen,احذف التحديد
Delete Template,Supprimer le modèle,Vorlage löschen,احذف القالب
Delete Tool Preset,Supprimer le préréglage d’outil,Werkzeug-Voreinstellungen löschen,احذف محفوظة الخيارات
Desaturate...,Désaturer…,Entsättigen …,أزِل التشبع...
Detach Tab,Détacher l’onglet,Reiter lösen,افصل اللسان
Detect automatically (currently %d × %d ppi),Depuis le système (actuellement %d x %d ppp),Automatisch erkennen (aktuell %d × %d DPI),اكتشف آليا (حاليا %Id × %Id بكسل في البوصة)
Device Status,État des périphériques,Gerätestatus,حالة الجهاز
Dilate,Dilater,Erweitern,خفِّف
Disable Controller,Désactiver le contrôleur,Steuerung deaktivieren,عطّل الضابط
Disable Layer Mask,,,عطّل قناع الطبقة
Discard,Abandonner,Verwerfen,تجاهل التغييرات
Discard Changes,Abandonner les modifications,Änderungen verwerfen,تجاهل التغييرات
Discard Color Profile,Rejeter le profil de couleur,Farbprofil verwerfen,أزل لاحة الألوان
Discard Text Information,Abandonner l’information de texte,Textinformationen verwerfen,تجاهل معلومات النص
Discard invisible layers,Écarter les calques invisibles,Unsichtbare Ebenen löschen,تجاهل الطبقات غير المرئية
Distorts,Distorsions,Verzerren,تحريف
Dockable Dialogs,Fenêtres ancrables,Andockbare Dialoge,الحوارات القابلة للترصيف
Don't ask me again,Ne me le redemandez pas,Nicht wieder nachfragen,لا تسألني ثانية
Dot for Dot,Point pour point,Punkt für Punkt,نقطة لنقطة
Drop Shadow...,Ombre portée…,Schlagschatten …,ظل ساقط...
Duplicate,Dupliquer,Duplizieren,كرر
Dynamics,Dynamique,Dynamik,الحركيات
Edge...,Bord…,Kanten …,حافة...
Edit,Édition,Bearbeiten,تحرير
Edit Brush...,Modifier la brosse…,Pinsel bearbeiten …,حرّر الفرشاة...
Edit Channel Attributes...,Modifier les attributs du canal…,Kanaleigenschaften …,حرّر صفات القناة...
Edit Color...,Modifier la couleur…,Farbe bearbeiten …,حرّر اللون...
