
Envelope,Enveloppe,Umschlag,مظروف
Apply,Appliquer,Anwenden,طبّق
Ascending,,,تصاعدي
Back,Précédent,Zurück,خلف
Billing info:,Informations de facturation :,Abrechnungsinfo:,معلومات الدفع:
Bold,,,عريض
Bottom,,,قعر
Bottom:,Bas :,Unten:,تحت:
CD-ROM,,,اسطوانة
Cancel,Annuler,Abbrechen,ألغِ
Center,,,وسّط
Clear,,,امسح
Clear List,,,امسح القائمة
Close,Fermer,Schließen,أغلق
Connect,Se connecter,Verbinden,اتّصل
Connect Drive,Connecter le volume,Laufwerk verbinden,أوصل المشغّل
Copy,Copier,Kopieren,انسخ
Copy Location,Copier l’emplacement,Ort kopieren,انسخ الموقع
Create,Créer,Anlegen,أنشئ
Delete,Supprimer,Löschen,احذف
Descending,,,تنازلي
Detect Media,Détecter les médias,Medium erkennen,تعرف على الوسائط
Disconnect,Déconnecter,Trennen,اقطع الاتصال
Disconnect Drive,Déconnecter le volume,Laufwerk trennen,افصل المشغّل
Domain,Domaine,Domäne,النطاق
Down,,,أسفل
Eject,Éjecter,Auswerfen,أخرج
End Process,Terminer le processus,Prozess beenden,أنه العملية
Execute,,,نفِّذ
File,,,ملف
Fill,,,املأ
Find,,,ابحث
Find New Applications,,,ابحث عن تطبيقات جديدة
Finish,Terminer,Fertigstellen,أنهِ
First,,,أول
Floppy,,,قرص مرن
Format for:,Formaté pour :,Format für:,صيغة:
Forward,,,أمام
Fullscreen,,,ملء الشاشة
Hard Disk,,,قرص صلب
Height:,Hauteur :,Höhe:,الارتفاع:
Help,,,مساعدة
Home,,,المنزل
Italic,,,مائل
Jump to,,,اقفز إلى
Last,,,آخر
Leave Fullscreen,,,غادر ملء الشاشة
Left,,,يسار
Left:,Gauche :,Links:,يسار:
License,,,الترخيص
Lock Device,Verrouiller l’appareil,Gerät sperren,أوصد الجهاز
Mount,Monter,Einhängen,أوصِل
Move to Trash,Mettre à la corbeille,In den Papierkorb verschieben,انقل إلى المهملات
Name,Nom,Name,الاسم
Name:,Nom :,Name:,الاسم:
Network,,,شبكة
New,,,جديد
Next,Suivant,Weiter,أمام
No,Non,Nein,لا
Normal Size,,,الحجم العادي
Now,Maintenant,Jetzt,الآن
OK,Valider,OK,نعم
Only print:,Imprimer seulement :,Beschränken auf:,الطباعة فقط:
Open,Ouvrir,Öffnen,افتح
Open Link,Ouvrir le lien,Verknüpfung öffnen,افتح الوصلة
Open With File Manager,Ouvrir avec le gestionnaire de fichiers,Mit Dateiverwaltung öffnen,افتح بمدير الملفات
Orientation:,Orientation :,Ausrichtung:,الاتجاه:
Output format,Format de sortie,Ausgabeformat,صيغة الخرْج
Paper size:,Taille du papier :,Eigenschaften:,مقاس الورقة:
Password,Mot de passe,Passwort,كلمة السر
Paste,Coller,Einfügen,ألصق
Play,,,شغّل
Power On,Allumer,Anschalten,شغّل
Print,Imprimer,Drucken,اطبع
Properties,,,الخصائص
Quit,,,أنهِ
Record,,,سجّل
Redo,Rétablir,Wiederholen,أعد
Refresh,,,حدِّث
Remember password,Se souvenir du mot de passe,Passwort behalten,تذكر كلمة السر
Remove,Enlever,Entfernen,احذِف
Remove From List,,,احذف من القائمة
Rename,Renommer,Umbenennen,غيّر الاسم
Replace,Remplacer,Ersetzen,استبدِل
Reverse,Inverser,Rückwärts,مقلوب
Revert,,,اعكس
Right,,,يمين
Right:,Droite :,Rechts:,يمين:
Safely Remove Drive,Retirer le volume sans risque,Laufwerk sicher entfernen,أزِل المشغّل بأمان
Save,Enregistrer,Speichern,احفظ
Select,Sélectionner,Auswählen,اختر
Show All,Tout afficher,Alle anzeigen,أظهر الكل
Spell Check,,,تدقيق إملائي
Start,Démarrer,Starten,ابدأ
Start Multi-disk Device,Démarrer l’appareil multidisque,Multimedienlaufwerk starten,ابدأ المشغّل متعدد الأقراص
Stop,Arrêter,Stopp,أوقف
Stop Multi-disk Device,Arrêter l’appareil multidisque,Multimedienlaufwerk stoppen,أوقف المشغّل متعدد الأقراص
Strikethrough,,,اشطب
Top,,,قمة
Top:,Haut :,Oben:,فوق:
Underline,,,سطِّر
Undo,Annuler,Rückgängig,تراجع
Unlock Device,Déverrouiller l’appareil,Gerät entsperren,افتح قفل الجهاز
Unmount,Démonter,Aushängen,افصل
Up,,,فوق
Username,Nom d’utilisateur,Benutzername,اسم المستخدم
View All Applications,,,أظهر كل التطبيقات
Visit File,Consulter ce fichier,Zu dieser Datei gehen,زُر هذا الملف
Width:,Largeur :,Breite:,العرض:
Yes,Oui,Ja,نعم
a2 Envelope,Enveloppe a2,a2-Umschlag,مظروف a2
asmef,asmef,asmef,asmef
b-plus,b-plus,b-plus,b-plus
c5 Envelope,Enveloppe c5,c5-Umschlag,مظروف c5
calendar:MY,calendar:MY,calendar:MY,calendar:MY
calendar:weekstart:0,calendar:weekstart:1,calendar:weekstart:1,calendar:weekstart:7
dav:// or davs://,dav:// ou davs://,dav:// oder davs://,‏‪dav://‬ أو ‪davs://‬
default:LTR,,,default:RTL
default:mm,default:mm,default:mm,default:mm
edp,edp,edp,edp
ftp:// or ftps://,ftp:// ou ftps://,ftp:// oder ftps://,‏‪ftp://‬ أو ‪ftps://‬
hagaki (postcard),hagaki (carte postale),hagaki (Postkarte),‏hagaki (بطاقة بريدية)
inch,pouce,Zoll,بوصة
jis exec,jis exec,jis exec,‏jis تنفيذي
juuro-ku-kai,juuro-ku-kai,juuro-ku-kai,juuro-ku-kai
kahu Envelope,Enveloppe kahu,kahu-Umschlag,مظروف kahu
kaku2 Envelope,Enveloppe kahu2,kaku2-Umschlag,مظروف kaku2
kaku3 Envelope,Enveloppe kahu3,kaku3-Umschlag,مظروف kaku3
kaku4 Envelope,Enveloppe kahu4,kaku4-Umschlag,مظروف kaku4
kaku5 Envelope,Enveloppe kahu5,kaku5-Umschlag,مظروف kaku5
kaku7 Envelope,Enveloppe kahu7,kaku7-Umschlag,مظروف kaku7
kaku8 Envelope,Enveloppe kahu8,kaku8-Umschlag,مظروف kaku8
mm,mm,mm,مم
oufuku (reply postcard),oufuku (carte postale de réponse),oufuku (Antwortpostkarte),‏oufuku (بطاقة رد بريدية)
output,sortie,Ausgabe,ناتج
pa-kai,pa-kai,pa-kai,pa-kai
paused,,,مُلبَثة
prc 16k,prc 16k,prc 16k,prc 16k
prc 32k,prc 32k,prc 32k,prc 32k
prc1 Envelope,Enveloppe prc1,prc1-Umschlag,مظروف prc1
prc10 Envelope,Enveloppe prc10,prc10-Umschlag,مظروف prc10
prc2 Envelope,Enveloppe prc2,prc2-Umschlag,مظروف prc2
prc3 Envelope,Enveloppe prc3,prc3-Umschlag,مظروف prc3
prc4 Envelope,Enveloppe prc4,prc4-Umschlag,مظروف prc4
prc5 Envelope,Enveloppe prc5,prc5-Umschlag,مظروف prc5
prc6 Envelope,Enveloppe prc6,prc6-Umschlag,مظروف prc6
prc7 Envelope,Enveloppe prc7,prc7-Umschlag,مظروف prc7
prc8 Envelope,Enveloppe prc8,prc8-Umschlag,مظروف prc8
prc9 Envelope,Enveloppe prc9,prc9-Umschlag,مظروف prc9
printer offline,,,الطابعة غير متصلة
processing job,,,يعالج المهمة
ready to print,,,مستعد للطباعة
sftp:// or ssh://,sftp:// ou ssh://,sftp:// oder ssh://,‏‪ftp://‬ أو ‪ssh://‬
smb://,,,smb://
test-output.%s,,,ناتج-اختبار.%s
unknown,inconnu,,غير معروف
you4 Envelope,Enveloppe you4,you4-Umschlag,مظروف you4
you6 Envelope,Enveloppe you6,you6-Umschlag,مظروف you6
