(Limited connectivity),(Connectivité limitée),(Eingeschränkte Konnektivität),(إتصال محدود)
The group name cannot contain upper-case or space characters,Le nom du groupe ne peut comprendre ni majuscules ni espaces,Der Gruppenname darf keine Großbuchstaben oder Leerzeichen enthalten,لا يمكن أن يحتوي اسم المجموعة على أحرف كبيرة أو مسافات
The icon to use in the panel,L’icône à utiliser dans le panneau,"Das Symbol, das in der Leiste verwendet werden soll",الأيقونة المراد استخدامها في الشريط
The name cannot be empty.,Le nom ne peut pas être vide.,Der Name darf nicht leer sein.,لا يمكن أن يكون الاسم فارغًا.
"The order of subpixel elements on an LCD screen, only used when antialiasing is set to 'rgba'","L'ordre des éléments de sous-pixels sur un écran ACL, seulement utilisé si l'anticrénelage sélectionné est 'RVBA'","Die Reihenfolge der Subpixel-Elemente auf einem LCD-Bildschirm, die nur verwendet werden, wenn die Kantenglättung auf »RGBA« eingestellt ist.","ترتيب عناصر البكسل الفرعي على شاشة LCD، يستخدم فقط عند تعيين مكافح التعرج على ""rgba"""
The slideshow is disabled,Le diaporama est désactivé,Die Diaschau ist deaktiviert,تم تعطيل عرض الشرائح
The startup command cannot be empty,La commande ne peut être vide,Der Startbefehl darf nicht leer sein,أمر بدء التشغيل لا يمكن أن يكون فارغاً
The startup command is not valid,La commande n'est pas valide,Der Startbefehl ist ungültig,أمر بدء التشغيل غير صحيح
"The user's home directory is encrypted. To preserve access to the encrypted directory, only the user should change this password.","Le dossier personnel de l’utilisateur est chiffré. Afin de préserver l’accès au dossier chiffré, seul l’utilisateur devrait changer ce mot de passe.","Der persönliche Ordner ist verschlüsselt. Um den Zugriff auf das verschlüsselte Verzeichnis zu bewahren, sollte nur der Benutzer das Passwort ändern.",يتم تشفير الدليل الرئيسي للمستخدم. للحفاظ على الوصول إلى الدليل المشفر، يجب على المستخدم فقط تغيير كلمة المرور هذة.
The value of the spinner above is greater than or equal to 5,La valeur du bouton fléché ci-dessus est supérieure ou égale à 5,Die obige Auswahl ist größer oder gleich 5,قيمة الدوار بالأعلى أكبر من أو يساوي 5
The value of the spinner above is less than 5,La valeur du bouton fléché ci-dessus est inférieure à 5,Die obige Auswahl ist ist kleiner als 5,قيمة الدوار بالأعلى أقل من 5
"The window focus mode indicates how windows are activated. It has three possible values; ""click"" means windows must be clicked in order to focus them, ""sloppy"" means windows are focused when the mouse enters the window, and ""mouse"" means windows are focused when the mouse enters the window and unfocused when the mouse leaves the window.","Le mode de ciblage des fenêtres indique comment les fenêtres sont activées. Trois valeurs sont possibles ; « click » (clic) signifie qu’il faut cliquer sur une fenêtre pour la rendre active, « sloppy » (entrant) signifie qu’une fenêtre sera active si la souris la survole, enfin « mouse » (souris) signifie qu’une fenêtre sera active si la souris la survole et ne le sera plus si la souris ne la survole plus.","Der Fensterfokusmodus legt fest, wie Fenster aktiviert werden. Er hat drei mögliche Werte: »Klick« führt dazu, dass Fenster angeklickt werden müssen, um fokussiert zu werden, »Salopp« bewirkt, dass Fenster fokussiert werden, sobald sich der Mauszeiger über dem Fenster befindet, und das Verhalten bei »Maus« entspricht dem von »Salopp« mit dem Zusatz, dass den Fenstern der Fokus wieder genommen wird, sobald der Mauszeiger das Fenster verlässt.","نمط تركيز النافذة يبين طريقة تفعيل النوافذ. للنمط ثلاث قيم ممكنة، ""click"" يعني أنه يجب نقر النوافذ حتى تركز، ""sloppy"" يعني أن النافذة تركز عند دخول مؤشر الفأرة النافذة و ""mouse"" يعني أن النوافذ تركز عند دخول مؤشر الفأرة النافذة ثم يلغى التركيز عند خروج المؤشر من النافذة."
Themes,Thèmes,Themen,الثيمات
There are multiple instances enabled. Are you sure you want to remove all of them?,Plusieurs instances sont activées. Voulez-vous les supprimer toutes ?,"Es sind mehrere Instanzen aktiviert. Sind Sie sicher, dass Sie alle entfernen möchten?",هناك مثيلات متعددة ممكنة. هل تريد بالتأكيد إزالة كل منها؟
Third Choice,Troisième choix,Dritte Auswahlmöglichkeit,الاختيار الثالث
"This applet contains function calls that could potentially cause Cinnamon to crash or freeze. If you are experiencing crashes or freezing, please try removing it.",Cet applet comporte des appels de fonction qui pourrait bloquer ou même faire planter Cinnamon. Si vous avez des problèmes de plantage ou de performance essayez de le supprimer.,"Dieses Applet enthält Funktionsaufrufe, die dazu führen könnten, dass Cinnamon abstürzt oder einfriert. Wenn Abstürze oder Einfrieren auftaucht, versuchen Sie es bitte zu entfernen.",يحتوي هذا البريمج على استدعاءات وظيفية قد تتسبب في تعطل سينامُن أو تجميده. إذا كنت تواجه أعطالاً أو تجميداً، فيرجى محاولة إزالته.
This applet is currently enabled,Cet applet est activé,Dieses Applet ist derzeit aktiviert,هذا بريمج تم تمكينه حالياً
This applet is used to disable notifications and power management (including the screensaver and the session from going idle),Cet applet permet de désactiver les notifications et la gestion de l’alimentation (dont l’écran de veille et l’inactivité de la session),"Dieses Applet wird benutzt, um Benachrichtigungen und die Energieverwaltung (einschließlich Bildschirmschoner und Sitzungsleerlauf) zu deaktivieren",يستخدم هذا البريمج لتعطيل الإشعارات وإدارة الطاقة (بما في ذلك شاشة التوقف وعودة الجلسة من الخمول)
"This desklet contains function calls that could potentially cause Cinnamon to crash or freeze. If you are experiencing crashes or freezing, please try removing it.",Cette desklet contient du code qui pourrait bloquer ou même faire planter Cinnamon. Si vous avez des problèmes de plantage ou de performance essayez de la retirer.,"Dieses Desklet enthält Funktionsaufrufe, die dazu führen könnten, dass Cinnamon abstürzt oder einfriert. Wenn Abstürze oder Einfrieren auftaucht, versuchen Sie es bitte zu entfernen.",يحتوي هذا التطبيق المكتبي على استدعاءات وظيفية يمكن أن تتسبب في تعطل أو توقف سينامُن. إذا كنت تواجه أعطالاً أو تجميداً، فيرجى محاولة إزالته.
This desklet is currently enabled,Cette desklet est activée,Dieses Desklet ist derzeit aktiviert,هذا تطبيق مكتبي تم تمكينه حالياً
This evening,Cet après-midi,Heute Abend,هذا المساء
"This extension contains function calls that could potentially cause Cinnamon to crash or freeze. If you are experiencing crashes or freezing, please try removing it.",Cette extension contient du code qui pourrait bloquer ou même faire planter Cinnamon. Si vous avez des problèmes de plantage ou de performance essayez de la retirer.,"Diese Erweiterung enthält Funktionsaufrufe, die dazu führen könnten, dass Cinnamon abstürzt oder einfriert. Wenn Abstürze oder Einfrieren auftaucht, versuchen Sie es bitte zu entfernen.",يحتوي هذا الملحق على استدعاءات وظيفية قد تتسبب في تعطل أو إيقاف سينامُن. إذا كنت تواجه أعطالاً أو تجميداً، فيرجى محاولة إزالته.
This extension is currently enabled,Cette extension est activée,Diese Erweiterung ist derzeit aktiviert,هذا ملحق تم تمكينه حالياً
This file is no longer available,Ce fichier n'est plus disponible,Diese Datei ist nicht mehr verfügbar,هذا الملف لم يعد متوفرا
This group is set as %s's primary group,Ce groupe est défini comme groupe primaire de %s,Diese Gruppe ist als Hauptgruppe für %s eingestellt,تم تعيين هذه المجموعة كمجموعة %s's أساسية
This is a system applet. It cannot be removed.,Cet applet système ne peut pas être supprimé.,Das ist ein System-Applett. Es kann nicht entfernt werden.,هذا بريمج. لا يمكن إزالته.
This is a system desklet. It cannot be removed.,Ceci est une desklet système. Il ne peut pas être supprimée.,Das ist ein System-Desklet. Es kann nicht entfernt werden.,هذا تطبيق مكتبي. لا يمكن إزالته.
This is a system extension. It cannot be removed.,Ceci est une extension système. Elle ne peut pas être supprimée.,Das ist eine Systemerweiterung. Sie kann nicht entfernt werden.,هذا ملحق للنظام. لا يمكن إزالته.
This is a test widget for individual key signal firing,Ceci est un widget de test de mise à feu de signal de clé individuelle,Dies ist ein Test-Widget für das Auslösen einzelner Tastensignale,هذه أداة اختبار لإطلاق إشارة المفتاح الفردية
This is the default message displayed on your lock screen,Message par défaut affiché par votre écran de verrouillage,"Das ist die vorgegebene Nachricht, welche auf dem Sperrbildschirm angezeigt wird.",هذه هي الرسالة الافتراضية المعروضة على شاشة القفل الخاصة بك
"This key combination, %(combination)s is currently in use by %(old)s.","Cette combinaison de touches, %(combination)s est déjà assignée à %(old)s.",Die Tastenkombination %(combination)s ist bereits von %(old)s belegt.,تركيبة المفاتيح هذه، %(combination)s قيد الاستخدام حاليا بواسطة %(old)s.
This operation cannot be undone.,Cette opération ne peut pas être annulée.,Dieser Vorgang kann nicht rückgängig gemacht werden.,هذة العملية لا يمكن التراجع عنها.
This option allows you to type a message each time you lock the screen from the menu,Cette option vous permet d'entrer un message à chaque fois que vous verrouillez l'écran à partir du menu,"Diese Option erlaubt es Ihnen, jedes mal wenn Sie den Bildschirm aus dem Menü sperren, eine Nachricht einzugeben.",يسمح لك هذا الخيار بكتابة رسالة في كل مرة تقوم فيها بقفل الشاشة من القائمة
"This option defines the amount of time to wait before locking the screen, after showing the screensaver or after turning off the screen","Cette option définit le délai d'attente avant le verrouillage de l'écran, après avoir lancé l'économiseur d'écran ou après avoir éteint l'écran","Diese Option definiert die Zeit, welche gewartet werden soll, bevor der Bildschirm gesperrt wird, nachdem der Bildschirmschoner angezeigt wird oder nach dem Ausschalten des Bildschirms.",يحدد هذا الخيار مقدار الوقت الذي يجب انتظاره قبل قفل الشاشة، بعد عرض شاشه التوقف أو بعد إيقاف تشغيل الشاشة
"This option defines the amount of time to wait before starting the screensaver, when the computer is not being used","Cette option définit le temps d'attente, quand l'ordinateur n'est pas utilisé, avant de démarrer l’économiseur d’écran","Diese Option definiert den abzuwartenden Zeitraum, bevor der Bildschirmschoner startet, wenn der Rechner nicht benutzt wird",يحدد هذا الخيار مقدار وقت الانتظار قبل بدء تشغيل شاشة التوقف، عند عدم استخدام الكمبيوتر
"This setting type is useful for multi-line lists, and text that is too long to fit in an entry widget.
You can manually set the height of the text view with the 'height' property. This one is set to 150. Default is 200.","Ce type de préférence est utile pour les listes à plusieurs lignes et pour les textes qui sont trop longs pour tenir dans un champ texte.
Vous pouvez définir la hauteur avec la propriété 'height'. Ici elle est définie à 150. Par défaut elle est à 200.","Dieser Einstellungstyp ist nützlich für mehrzeilige Auflistungen und Text, der zu lang ist, um in ein Eingabe-Widget zu passen.
Die Höhe der Textansicht kann mit der Eigenschaft »height« manuell gesetzt werden. Diese hier ist auf 150 gesetzt worden. Standardwert ist 200.","يفيد نوع الإعداد هذا في القوائم متعددة الأسطر، والنص الطويل جدًا الذي لا يمكن احتوائه في إدخال القطعة.
يمكنك ضبط ارتفاع عرض النص يدويًا باستخدام خاصية ""الارتفاع"". تم تعيين هذا على 150. الافتراضي هو 200."
This user is currently logged in,Cet utilisateur est déjà connecté,Dieses Konto ist momentan angemeldet,هذا المستخدم مسجل دخوله حاليًا
This will disable all active extensions. Are you sure you want to do this?,Toutes les extensions actives seront désactivées. Confirmez-vous ?,"Das wird alle aktiven Erweiterungen deaktivieren. Sind Sie sicher, dass Sie das machen wollen?",سيؤدي ذلك إلى تعطيل جميع الملحقات النشطة. هل تريد بالتأكيد أن تفعل هذا؟
This will remove all actions. Are you sure you want to do this?,Toutes les actions seront supprimés. Confirmez-vous ?,"Dadurch werden alle Aktionen entfernt. Sind Sie sicher, dass Sie das tun wollen?","هذا سوف يمسح جميع الافعال, هل انت متأكد من انك تريد فعل هذا؟"
This will restore the default set of enabled applets. Are you sure you want to do this?,Cette opération restaurera le jeu par défaut d’applets activés. Confirmez-vous ?,"Das stellt den Vorgabesatz von aktivierten Applets wieder her. Sind Sie sicher, dass Sie das machen wollen?",سيؤدي ذلك إلى استعادة التعيين الافتراضي للبريمجات الممكنة. هل تريد بالتأكيد أن تفعل هذا؟
This will restore the default set of enabled desklets. Are you sure you want to do this?,Cette opération restaurera le jeu par défaut de desklets activés. Confirmez-vous ?,"Das stellt den Vorgabesatz von aktivierten Desklets wieder her. Sind Sie sicher, dass Sie das machen wollen?",سيؤدي ذلك إلى استعادة التعيين الافتراضي للتطبيقات المكتبية الممكنة. هل تريد بالتأكيد أن تفعل هذا؟
Thumbnail size,Taille des vignettes,Vorschaubildgröße,حجم صورة العرض
Thumbnails,Miniatures,Vorschaubilder,المُصغّرات
Thumbnails only,Vignettes uniquement,Nur Vorschaubilder,المصغرات فقط
Tiling and Snapping,Juxtaposition et Attachement,Kacheln und Einrasten,التباعد والالتقاط
Tiling and snapping windows,Juxtaposition et attachement de fenêtre,Fenster werden gekachelt und eingerastet,تباعد والتقاط النوافذ
Time Font,Police de caractères de l'heure,Schrift für die Zeit,خط الوقت
Time Format,Format de l'heure,Zeitformat,تنسيق الوقت
Timeline (3D),Ligne du temps (3D),Zeitstrahl (3D),الخط الزمني (3D)
Timeout,Délai,Zeitbeschränkung,المهلة
Timer delay,Délai,Zeitverzögerung,تأخير المؤقت
Title:,Titre :,Titel:,عنوان:
Titlebar,Barre de titre,Titelleiste,شريط العنوان
"To edit a keyboard binding, click it and press the new keys, or press backspace to clear it.","Pour modifier un raccourci clavier, cliquez dessus et appuyez sur les nouvelles touches, ou appuyez sur « Retour Arrière ← » pour l’effacer.",Tastenkombination bearbeiten: anklicken und die neuen Tasten drücken oder mit der Rücktaste löschen.,لتحرير ربط لوحه المفاتيح، انقر فوقه واضغط علي المفاتيح الجديدة، أو اضغط backspace لمسحها.
Today,Aujourd'hui,Heute,اليوم
Toggle Looking Glass,Activer/désactiver Looking Glass,»Looking Glass« ein-/ausblenden,تبديل النظرة الزجاجية
Toggle Maximize,Basculer la maximisation,Maximierung ein-/ausschalten,تبديل التكبير
Toggle Maximize Horizontally,Basculer la maximisation horizontale,Horizontales Maximieren ein-/ausschalten,تبديل التكبير أفقيًا
Toggle Maximize Vertically,Basculer la maximisation verticale,Senkrechtes Maximieren ein-/ausschalten,تبديل التكبير رأسيًا
Toggle Mute,Activer / couper le son,Stummschaltung ein/aus,تبديل كتم الصوت
Toggle Mute input,Couper le micro,Eingang stummschalten ein/aus,تبديل مدخل كتم الصوت
Toggle Mute output,Couper le son,Ausgang stummschalten ein/aus,تبديل مخرج كتم الصوت
Toggle Play / Pause,"Interrompre, reprendre la lecture",Wiedergabe/Pause umherschalten,تبديل تشغيل/إيقاف مؤقت
Toggle Shade,Basculer la réduction à la barre de titre,Ein- und Ausrollen,تبديل التظليل
Toggle activation of last focused window,Activer ou désactiver l’activation de la dernière fenêtre ciblée,Umschalten der Aktivierung des zuletzt fokussierten Fensters,تبديل تفعيل آخر نافذة مركزة
Toggle always on top,"Activer/désactiver ""Au premier plan""",»Immer im Vordergrund« ein-/ausschalten,تبديل دائما في المقدمة
Toggle fullscreen state,Basculer en mode plein écran,Vollbildmodus ein-/ausschalten,تبديل حالة ملء الشاشة
Toggle horizontal maximization,Activer/désactiver la maximisation horizontale,Horizontales Maximieren ein-/ausschalten,تبديل التكبير الأفقي
Toggle keyboard backlight,"Activer, désactiver le rétroéclairage du clavier",Tastaturbeleuchtung ein-/ausschalten,تبديل الإضاءه الخلفية للوحه المفاتيح
Toggle maximization state,Activer/désactiver l'état maximisé,Maximierungszustand ein-/ausschalten,تبديل حالة التكبير
Toggle on all workspaces,Basculer sur tous les espaces de travail,»Auf allen Arbeitsflächen anzeigen« ein-/ausschalten,تبديل على جميع مساحات العمل
Toggle recording desktop (must restart Cinnamon),Basculer l'enregistrement du bureau (nécessite le redémarrage de Cinnamon),Bildschirmaufnahme starten/beenden (Cinnamon-Neustart erforderlich),تبديل تسجيل سطح المكتب (يجب إعادة تشغيل سينامُن)
Toggle shaded state,Activer/désactiver l'état enroulé,Fenster ein-/ausrollen,تبديل حالة التظليل
Toggle showing window on all workspaces,Basculer l'affichage des fenêtres sur tous les bureaux,»Fenster auf allen Arbeitsflächen anzeigen« ein-/ausschalten,تبديل عرض النافذة في جميع مساحات العمل
Toggle touchpad state,Basculer l'état du touchpad,Touchpad ein-/ausschalten,تبديل حالة لوحة اللمس
Toggle vertical maximization,Activer/désactiver la maximisation verticale,Senkrechtes Maximieren ein-/ausschalten,تبديل التكبير الرأسي
Too short,Trop court,Zu kurz,قصيرة جداً
Tooltip,Infobulle,Kurzinfo,تلميح
Top Zone,Zone du haut,oberer Bereich,الاعلى
Top half,Moitié supérieure,Obere Hälfte,النصف العلوي
Touch,Tactile,Berührung,اللمس
Touchpad,Pavé tactile,Touchpad,لوحة اللمس
Traditional,Traditionnel,Klassisch,التقليدي
Trash,Corbeille,Papierkorb,سلة المهملات
Treat a sequence of modifier keys as a combination,Traiter une séquence de touches de modification comme une combinaison,Eine Folge von Sondertasten als Kombination behandeln,معالجة تسلسل مفاتيح التبديل كتركيبة
Trigger a click when the pointer hovers,Déclencher un clic en survolant avec le pointeur,"Klick ausführen, wenn sich der Mauszeiger darüberbewegt",تشغيل النقرة عند تحويم المؤشر
Trigger a secondary click by holding down the primary button,Déclencher un clic secondaire en maintenant enfoncé le bouton principal,Einen zweiten Klick durch Gedrückthalten der Hauptmaustaste auslösen,تشغيل النقرة الثانوية بواسطة الضغط باستمرار على الزر الأساسي
Troubleshoot,Résoudre les problèmes,Fehler suchen,تصويب الخطأ
Troubleshooting,Dépannage,Fehlerbehebung,استكشاف الأخطاء وإصلاحها
Try out this custom widget!,Essayez ce widget personnalisé,Probieren Sie dieses angepasste Widget aus!,جرب هذه الأداة المخصصة!
Turn off the screen when inactive for,Éteindre l'écran après une inactivité de,"Den Bildschirm ausschalten, wenn inaktiv für",إيقاف تشغيل الشاشة عند عدم النشاط لمدة
Turn on-screen keyboard on or off,Activer ou désactiver le clavier visuel,Bildschirmtastatur ein-/ausschalten,تشغيل أو إيقاف تشغيل لوحة المفاتيح على الشاشة
Turn screen reader on or off,Activer ou désactiver le lecteur d'écran,Bildschirmleser ein-/ausschalten,تشغيل أو إيقاف قارئ الشاشة
Turn touchpad off,Désactiver le touchpad,Touchpad ausschalten,إيقاف تشغيل لوحة اللمس
Turn touchpad on,Activer le touchpad,Touchpad einschalten,تشغيل لوحة اللمس
Two-finger scrolling,Défilement à deux doigts,Zwei-Finger-Rollen,التمرير بإصبعين
Type a command...,Tapez une commande…,Bitte Befehl eingeben …,اكتب أمر...
Type of display,Type d'affichage,Art der Anzeige,نوع العرض
Type:,Type :,Typ:,اكتب:
Typing,Saisie,Schreiben,الكتابة
Typing assistance,Assistance pour la frappe,Eingabeunterstützung,مساعد الكتابة
UPS,Onduleur,USV,مزود الطاقة الاحتياطي
Unable to eject the drive %s (%s),Impossible d’éjecter le lecteur %s (%s),Auswerfen von Lauferk %s nicht möglich (%s),غير قادر على إخراج محرك الأقراص %s (%s)
Unable to stop the drive %s (%s),Impossible d’arrêter le lecteur %s (%s),Es ist nicht möglich das Laufwerk %s anzuhalten (%s),غير قادر على إيقاف محرك الأقراص %s (%s)
Unavailable,Non disponible,Nicht verfügbar,غير متوفر
Uninstall,Désinstaller,Deinstallieren,إلغاء التثبيت
Uninstalling %s,Désinstallation de %s,%s wird deinstalliert,إلغاء تثبيت %s
Uninterruptible power supply,Onduleur,Unterbrechungsfreie Stromversorgung,إمدادات الطاقة اللامنقطعة
Universal Access,Accessibilité,Barrierefreiheit,الوصول الشامل
Universal Access Settings,Paramètres d'accessibilité,Einstellungen zur Barrierefreiheit,إعدادات الوصول الشامل
Unknown,Inconnu,Unbekannt,مجهول
Unknown Album,Album inconnu,Unbekanntes Album,ألبوم مجهول
Unknown Artist,Artiste inconnu,Unbekannter Interpret,فنان مجهول
Unknown CPU,Processeur inconnu,Unbekannter Prozessor,وحدة المعالجة المركزية مجهولة
Unknown Title,Titre inconnu,Unbekannter Titel,عنوان مجهول
Unknown size,Taille inconnue,Unbekannte Größe,حجم مجهول
Unknown time,Temps inconnu,Unbekannte Zeit,وقت مجهول
Unmaximize,Restaurer,Wiederherstellen,إلغاء التكبير
Unmaximize window,Annuler la maximisation de la fenêtre,Fenster wiederherstellen,إلغاء تكبير النافذة
Unmaximizing windows,Démaximisation de fenêtre,Fenster werden wiederhergestellt,إلغاء تكبير النوافذ
Unpin from Panel,Désépingler du panneau,Von der Leiste loslösen,افصِل من الشريط
Update,Mettre à jour,Aktualisieren,تحديث
Update all,Tout mettre à jour,Alle aktualisieren,تحديث الكل
Updated on %s,Mis à jour le %s,Aktualisiert am %s,تحديث في %s
Upgradable,Mise à niveau disponible,Aktualisierbar,قابل للترقية
Upload system information,Téléverser les valeurs associées au système,Systeminformation hochladen,تحميل معلومات النظام
Upside-down,Inversé,Kopfüber,مقلوب
Use 24h clock,Utiliser une horloge 24h,24-Stundenuhr benutzen,استخدم تنسيق 24 ساعة
Use a custom date and time format,Utiliser un format de date et d'heure personnalisé,Eigenes Datums- und Zeitformat verwenden,استخدم تنسيق التاريخ والوقت المخصص
Use a custom date format,Utiliser un format de date personnalisé,Ein eigenes Datumsformat verwenden,استخدم تنسيق تاريخ مخصص
Use a custom icon and label,Utiliser une icône et une étiquette personnalisées,Angepasstes Symbol und Bezeichnung verwenden,إستخدم رمز مخصص وعنوان
Use audio indicator on Caps and Num Lock,Utiliser un indicateur audio pour le vérouillage des majuscules et des chiffres,Akustisch das Benutzen der Feststell- und Num-Taste anzeigen,استخدم مؤشر صوتي على CapsLock و NumLock
Use dedicated GPU if available,Utiliser la carte graphique dédiée si disponible,"Dedizierte GPU verwenden, falls verfügbar",استخدم وحدة معالجة الرسومات المخصصة إذا كانت متوفرة
Use horizontal scrolling to move between tracks,Utilisez le défilement horizontal pour vous déplacer entre les pistes,"Horizontalen Bildlauf verwenden, zum Titelwechsel",استخدم التمرير الأفقي للتنقل بين المسارات
Use locale default,Utiliser les réglages locaux par défaut,Lokale Vorgabe benutzen,استخدم الإعدادات المحلية الافتراضية
Use menu animations,Animer l'ouverture et la fermeture du menu,Menüanimationen verwenden,استخدم القائمة المتحركة
Use multiple fingers for right and middle click,Utiliser plusieurs doigts pour le clic droit et le clic milieu,Mehrere Finger für Rechts- und Mittelklick verwenden,استخدم عده أصابع للنقر الأيمن والأوسط
Use overlay scroll bars,Utiliser des barres de défilement en surimpression,Überlagerungsrollbalken verwenden,استخدم تراكب أشرطة التمرير
Use visual indicator on Caps and Num Lock,Utiliser un indicateur visuel pour le vérouillage des majuscules et des chiffres,Visuell das Benutzen der Feststell- und Num-Taste anzeigen,استخدم مؤشر مرئي على  CapsLock و NumLock
User Applet,Applet des utilisateurs,Benutzeranzeige,بريمج المستخدم
Username,Nom d'utilisateur,Benutzername,اسم المستخدم
Users,Utilisateurs,Benutzer,المستخدمين
Users and Groups,Utilisateurs et Groupes,Benutzer und Gruppen,المستخدمين والمجموعات
Using UPS power,Alimenté par l’onduleur,USV wird verwendet,استخدام طاقة مزود الطاقة اللامنقطعة
Using UPS power - %s remaining,"Alimenté par l’onduleur, il reste environ %s",USV wird verwendet - %s verbleibend,استخدام مزود الطاقة اللامنقطعة - %s المتبقي
Using battery power,Alimenté par la batterie,Akkubetrieb,استخدام طاقة البطارية
Using battery power - %d %s %d %s remaining,Alimenté par la batterie – il reste %d %s %d %s,Akkubetrieb - %d %s %d %s verbleiben,استخدام طاقة البطارية - %d %s %d %s متبقي
Using battery power - %s remaining,Alimenté par la batterie – il reste %s,Akkubetrieb – %s verbleibend,استخدام طاقة البطارية - %s المتبقي
VPN Connections,Connexions VPN,VPN-Verbindungen,اتصالات VPN
Valid executable,Exécutable valide,Gültige ausführbare Datei,ملف تنفيذي صالح
Valid name,Nom valide,Gültiger Name,اسم صالح
Version %s,Version %s,Version %s,الإصدار %s
Version %s (%s),Version %s (%s),Version %s (%s),الإصدار %s (%s)
Vertical BGR,BVR vertical,BGR (senkrecht),عمودي BGR
Vertical RGB,RVB vertical,RGB (senkrecht),RGB عمودي
Vertical gradient,Dégradé vertical,senkrechter Farbverlauf,التدرج العمودي
Vertical strip,Bande verticale,Senkrechter Streifen,قطاع عمودي
Video,Vidéo,Film,مقطع
Video CD,Vidéo CD (VCD),Video-CD,CD فيديو
Virtual keyboard,Clavier virtuel,Bildschirmtastatur,لوحة المفاتيح الافتراضية
Visible on all workspaces,Visible dans tous les espaces de travail,Auf allen Arbeitsflächen anzeigen,مرئي في جميع مساحات العمل
Visible settings,Paramètres visibles,Sichtbarkeitseinstellungen,إعدادات المؤثرات
Visual,Visualisation,Visuell,المرئي
Visual Aids,Aides visuelles,Sehhilfen,المساعدات البصرية
Visual style,Style visuel,Visueller Stil,النمط المرئي
Volume,Volume,Lautstärke,حجم الصوت
Volume down,Baisser le volume,Lautstärke verringern,خفض الصوت
Volume down (Quiet),Baisser le volume,Lautstärke verringern,خفض الصوت (هادئ)
Volume mute,Couper le volume,Stummschalten,كتم الصوت
Volume mute (Quiet),Couper le volume,Ton aus,كتم الصوت (هادئ)
Volume up,Augmenter le volume,Lautstärke erhöhen,رفع الصوت
Volume up (Quiet),Augmenter le volume,Lautstärke erhöhen,رفع الصوت (هادئ)
Volume:,Volume :,Lautstärke:,مستوى الصوت:
Wait,Attendre,Warten,انتظر
Weak,Faible,Schwach,ضعيفة
"When clicking ""Move to monitor"" in the context menu, this option will move all of an app's windows instead of just the last focused window from the app.","En cliquant sur« Déplacer vers le moniteur » dans le menu contextuel, cette option déplacera toutes les fenêtres d’une appli au lieu de déplacer seulement la dernière fenêtre ciblée de l’appli.","Wenn Sie im Kontextmenü auf »Zu folgendem Bildschirm wechseln« klicken, werden durch diese Option alle Fenster einer Anwendung verschoben und nicht nur das letzte fokussierte Fensters aus dieser Anwendung.","عند النقر على ""نقل المِرقاب"" في قائمة السياق، سينقل هذا الخيار جميع نوافذ التطبيق بدلاً من آخر نافذة مركزة فقط من التطبيق."
When printers exist,Quand des imprimantes sont connectées,Wenn Drucker vorhanden,عند وجود الطابعات
When printing,Pendant l'impression,Beim Drucken,عند الطباعة
When the battery is critically low,Quand le niveau de la batterie est très faible,Wenn die Akkuladung bedenklich gering ist,عندما تكون البطارية منخفضة للغاية
"When the default screensaver is active, allow the clock and album art widgets to float around randomly","Quand l'économiseur d'écran est actif, autoriser l'horloge et les pochettes d'album à se déplacer de façon aléatoire","Wenn der Vorgabebildschirmschoner aktiv ist, dem Uhr- und dem Albumbild-Widgets das zufällige Herumschwegen erlauben.",عندما تكون شاشة التوقف الافتراضية نشطة، اسمح لعناصر الساعة والغلاف الفني للألبوم لتطفو حولها عشوائياً
When the lid is closed,Lorsque l'écran est refermé,Wenn der Deckel geschlossen ist,عند إغلاق الغطاء
When the power button is pressed,Lorsque le bouton marche-arrêt est appuyé,Wenn der Netzschalter gedrückt wird,عندما يتم الضغط على زر الطاقة
"While the special key is pressed, windows can be dragged with the left mouse button and resized with the right mouse button.","Tant que la touche spéciale est pressée, les fenêtres peuvent être déplacées avec le bouton gauche de la souris et redimensionnées avec le bouton droit de la souris.","Während die Sondertaste gedrückt wird, können Fenster mit der linken Maustaste gezogen und mit der rechten Maustaste in der Größe verändert werden.",أثناء الضغط على المفتاح الخاص، يمكن سحب النوافذ باستخدام زر الفأرة الأيسر وإعادة تغيير حجمها باستخدام زر الفأرة الأيمن.
"While this modifier is pressed, mouse scrolling will increase or decrease zoom.","Pendant que ce modificateur est enfoncé, le défilement de la souris va augmenter ou diminuer le zoom.","Während diese Taste gedrückt ist, wird das Rollen mit der Maus die Ansicht vergrößern oder verkleinern.",أثناء الضغط على هذا المبدل، التمرير بالفأرة سيزيد أو يقلل من التكبير أو التصغير.
Width,Largeur,Breite,العرض
Width of desklet snap grid,Largeur de la grille de capture des desklets,Breite des Desklet-Rasters,عرض الشبكة لالتقاط التطبيقات المكتبية
Wifi,Wifi,WLAN,واي فاي
Window Focus,Focalisation des fenêtres,Fensterfokus,تركيز النافذة
Window Tiling,Juxtaposition de fenêtres,Fensterkacheln,تباعد النافذة
Window buttons can have different sizes and use the entire space available,Permettre aux boutons de fenêtre d'avoir différentes tailles et d'utiliser tout l'espace disponible,Die Fensterknöpfe können verschiedene Größen haben und den verfügbaren Platz ausfüllen,يمكن أن يكون لأزرار النوافذ أحجام مختلفة وتستخدم المساحة الكاملة المتاحة
