English Term,Arabic Term,Description
"Regulatory Accounting Documentation","مستندات الحساب التنظيمي","يقصد به المستند المحدد في الأداة التنظيمية ذات العلاقة."
"Telecommunications Equipment Importer","مستورد اجهزة اتصالات","أي شخص اعتباري تأسس داخل الدولة ويقوم باستيراد أجهزة الاتصالات من دول أخرى كما يمكن للمستورد عرض أو بيع أو حيازة أجهزة الاتصالات في أسواق الدولة ."
".aeDA Registrar","مسجل .aeDA","تعني شخص أو جهة يمكنها، بموجب عقد مبرم مع الإدارة، توفير خدمات تسجيل إلى أصحاب التسجيلات."
"Registrant Contact","مسؤول الاتصال بصاحب التسجيل","تعني فيما يتعلق بصاحب التسجيل التفاصيل الموجودة في قاعدة بيانات السجل بالنسبة لصاحب التسجيل."
"Site Sharing (Co-Location)","مشاركة المواقع (الموقع المشترك)","إذن كل مرخص له لمرخص له آخر لاستخدام المواقع في مرافق البنية التحتية للاتصالات مثل مبان مبادلات الاتصالات ومعدات الاتصالات والمباني وأبراج الاتصالات والقنوات والأنابيب وقنوات الكابل وما إلى ذلك."
"Postpaid Subscriber","مشترك الخدمات لاحقة الدفع","مشترك في خدمة الاتصالات لاحقة الدفع."
"Prepaid Subscriber","مشترك الخدمات مسبقة الدفع","مشترك في خدمة الاتصالات مسبقة الدفع."
"Mobile Consumer","مشترك الهاتف المتحرك","يقصد به فرد أو منشأة تجارية أو جهة حكومية والذين لديهم عقد اشتراك في خدمات الهاتف المتحرك."
"Mobile Customer","مشترك الهاتف المتحرك","هو مشترك يقوم المرخص له بتقديم خدمات اتصالات الهاتف المتحرك له."
"New Mobile Consumer","مشترك الهاتف المتحرك الجديد","يقصد به أي مشترك من مشتركي خدمات الهاتف المتحرك، والذي يبرم عقد اشتراك الهاتف المتحرك بعد تسعة ( 9 ) أشهر بعد تاريخ إصدار سياسة تسجيل المشتركين."
"Existing Mobile Consumer","مشترك الهاتف المتحرك الحالي","يقصد به المشترك في خدمات الهاتف المتحرك بموجب عقد اشتراك ساري المفعول في خدمات الهاتف المتحرك وذلك بعد (9) تسعة أشهر من تاريخ إصدار سياسة تسجيل مشتركي الهاتف المتحرك."
"Messaging Service Customer","مشترك خدمة الرسائل","هو مشترك يقوم المرخص له بتقديم خدمات الرسائل النصية له وذلك بغرض إرسالها لمشتركي الهاتف المتحرك."
"Numbering Resource (s)","مصادر الأرقام","الأرقام المفتاحية والأرقام الفردية ومجموعات الأرقام والرموز المستخدمة من قبل المرخص لهم لتقديم خدماتهم أو لتشغيل شبكات الاتصالات الخاصة بهم."
"Telecommunication Equipment Manufacturer","مُصنع أجهزة اتصالات","أي شخص اعتباري يقوم بتصنيع أجهزة الاتصالات أو يكون لديه أجهزة الاتصالات مصممة أو مصنعة تحت اسمه أو علامته التجارية . كما يمكن للمصنع توفير أجهزة الاتصالات في السوق إذا كان مقره دولة الامارات العربية المتحدة ويحمل رخصة تجارية سارية تخص أجهزة الاتصالات المعنية."
"Data Processor","معالج البيانات","يعني أي شخص يعالج البيانات نيابة عن المراقب"
"Data Processing","معالجة البيانات","تعني أية عملية أو مجموعة عمليات تتم على البيانات أو مجموعات البيانات، سواء باستخدام وسائل مؤتمتة أم لا، مثل التجميع أو التشفير أو التنظيم أو الهيكلة أو التخزين أو التهيئة أو التغيير أو الاسترداد أو الاستشارة أو الاستخدام أو الإفصاح من خلال الإرسال أو النشر أو الإتاحة بأية صورة أخرى بخلاف ذلك أو التنسيق أو الجمع أو التقييد أو المسح أو التدمير."
"Natural language processing","معالجة اللغة الطبيعية","هي علم فرعي من علوم الذكاء الاصطناعي والتي بدورها متفرعة من المعلوماتية، وتتداخل بشكل كبير مع علوم اللغويات التي تقدم التوصيف اللغوي المطلوب للحاسوب. هذا العلم يمكننا من صناعة برمجيات تتمكن من تحليل ومحاكاة فهم اللغات الطبيعية."
"Auditing Standards","معايير التدقيق","يقصد بها معايير وإرشادات التدقيق كما تم إصدارها من وقت لآخر من قبل سلطات الدولة المختصة أو المعايير التي قد تحددها الهيئة."
"Airport Surface Detection Equipment","معدات كشف سطح المطار","يقصد بها معدات يستخدمها مراقبو الحركة الجوية للكشف عن الطائرات والمركبات المتواجدة على سطح المطار بالإضافة إلى الرصد البصري."
"Data Centre Customer Equipment","معدات متعاملي مركز البيانات","البنية التحتية لتكنولوجيا المعلومات الموجودة في مركز البيانات الذي يملكه أو يتحكم به متعامل مركز البيانات"
"Customer Premises Equipment","معدات مقر المشترك","يقصد بها أجهزة الاتصالات الطرفية الموجودة في الموقع الفعلي للمشترك والمستخدمة للاتصال مع سواتل إنمارسات."
"Average HTTP download throughput (Mbits/s)","معدل تنزيل البيانات بواسطة بروتوكول HTTP (ميغابايت / ثانية)","أي حجم البيانات (بالبايت ) الذي يتم تنزيلها بواسطة برنامج المتعامل من خادم HTTP في إطار زمني محدد (بالثواني)"
"Average FTP download throughput (Mbit/s)","معدل تنزيل البيانات عن طريق (بروتوكول نقل الملفات) (FTP) (ميغابايت / ثانية)","يقيس إجمالي حجم البيانات (بالبايت) الذي يتم تحميله بواسطة برنامج المتعامل من خادم بروتوكول نقل الملفات في إطار زمني محدد. اختبار سرعة تنزيل بروتوكول نقل الملفات يقيس معدل التنزيل طول مدة الاختبار"
"Average FTP upload throughput (Mbit/s)","معدل رفع البيانات بواسطة (بروتوكول نقل الملفات) (FTP) (ميغا بت / ثانية)","أي معدل رفع بروتوكول نقل الملفات إجمالي حجم البيانات (بالبايت) الذي تم رفعه على خادم اختبار بروتوكول نقل الملفات بواسطة جهاز المتعامل في إطار زمني ثابت (يكون عادةً 10 ثوانٍ) . اختبار معدل رفع بروتوكول نقل الملفات يقيس نسبة حجم التنزيل طول مدة الاختبار"
"FTP drop rate (%)","معدل انخفاض نقل البيانات في (بروتوكول نقل الملفات)(FTP) (٪)","يتعلق معدل انخفاض بروتوكول نقل الملفات بعدد الاختبارات التي تم الغاؤها وحيث تم تلقي خطأ ""إعادة تعيين الاتصال""."
"Average HTTP upload throughput (Mbits/s)","معدل تحميل البيانات بواسطة بروتوكول HTTP (ميغابايت / ثانية)","أي حجم البيانات (بالبايت) التي يتم تحميلها من برنامج المتعامل إلى خادم في إطار زمني محدد (بالثواني). يقيس اختبار معدل تحميل HTTP بالمتوسط نسبة التحميل اثناء مدة الاختبار ويستبعد فترة الإحماء الأولية"
"SMS success rate","معدل نجاح الرسائل القصيرة","نسبة الرسائل النصية القصيرة المستلمة والمرسلة من هاتف متحرك إلى هاتف متحرك آخر، باستثناء الرسائل المكررة للرسائل النصية القصيرة المرسلة والمستلمة."
"Registration Information","معلومات التسجيل","يقصد بها كافة المعلومات والوثائق المحددة من قبل الهيئة والتي يقدمها مشترك الهاتف المتحرك خلال عملية التسجيل أو عملية تحديث معلومات التسجيل الخاصة به."
"Subscriber Information","معلومات المشترك","أیة بیانات شخصیة تتعلق بمشترك معین، بما في ذلك على سبیل المثال لا الحصر، اسم ذلك الشخص وعنوانه وتفاصیل حسابه المصرفي وتفاصیل بطاقة ائتمانه وتفاصیل استخدام الخدمة وسجلات الاتصالات وسجلات الرسائل وأیة معلومات مستسقاة من استخدام المشترك لخدمات الاتصالات وحالة الحساب وتاریخ الدفع ومعدل الائتمان."
"Advance Publication Information","معلومات النشر المسبق","هو تسليم مقدم للاتحاد الدولي للاتصالات على النحو المطلوب بموجب المادة 9.1 من لوائح الراديو."
"Confidential Information","معلومات سرية","تعني على سبيل المثال لا الحصر كافة المعلومات أو المعرفة أو البيانات التي تتعلق بالدراية الفنية أو شؤون الأعمال أو الشؤون المالية أو التقنية أو العمليات أو تخصيص الترددات أو الالتزامات القانونية أو الواجبات أو الصلاحيات والحقوق أو السياسات أو الأنظمة أو الأسرار الحكومية أو الشؤون التجارية أو المنتجات وأسعارها، والمعلومات المالية أو التسويقية، أو المعلومات ذات الطبيعة الفكرية أو التقنية مثل البيانات التقنية أو الرسومات أو الصور أو المواصفات أو المعايير أو الأدلة والكتيبات أو التقارير أو الصيغ التركيبية أو الخوارزميات أو العمليات أو القوائم أو الأسرار الاقتصادية، وبرامج أو برمجيات الحاسوب أو قواعد البيانات أو وثائق البرمجيات، أو المعلومات الأخرى التي يكون للطرف الذي يكشف عنها مصلحة تجارية أو سرية أو ملكية أو عليه التزام قانوني بحمايتها، وسواء كانت وثائق مثل هذه المعلومات تحمل علامة واضحة بأنها ""معلومات سرية"" أم لا، وبغض النظر عما إذا تم الكشف عنها هذه كتابياً أو شفهياً أو بأية طريقة."
"Institute of Electrical and Electronics Engineers","معهد مهندسي الكهرباء والإلكترونيات","هي جمعية مهنية للهندسة الإلكترونية والهندسة الكهربائية (والتخصصات المرتبطة بها) تحت عنوان ""معهد مهندسي الكهرباء والإلكترونيات""."
"Pure LRIC","معيار التكلفة التصاعدية بعيدة المدى الصافي (Pure LRIC)","يقصد به قيم التكاليف الإضافية بعيدة المدى مع الأخذ في الاعتبار استرداد أية زيادة في التكاليف الثابتة باستثناء أية تكاليف أخرى ثابتة ومشتركة."
"LRIC plus","معيار التكلفة التصاعدية بعيدة المدى المضاف إليه (LRIC plus)","يشمل إضافات أخرى لاسترداد كافة التكاليف الثابتة والمشتركة المتبقية."
"Distributed LRIC","معيار التكلفة التصاعدية بعيدة المدى الموزع (Distributed LRIC)","تشمل القيم إضافة لحساب التكاليف المشتركة الثابتة الخاصة بمكونات الشبكة الداخلية."
"Focused Negotiations","مفاوضات مركزة","يُقصد بها المرحلة الأولى من تسوية المنازعات حيث يتصرف الأطراف بحسن نية ويناقشون واحدة أو أكثر من القضايا المحددة بهدف التوصل إلى اتفاق قبل تصعيد الأمر إلى الهيئة."
"Filing Applicant","مقدم الطلب","يعني، لأغراض هذه الإرشادات، أي شخص يقدم طلب إلى الهيئة لتسليم بطاقة تبليغ الشبكة الساتلية أو المحطة الأرضية وفقاً لهذه الإرشادات فيما يتصل بالتخصيصات غير المخطط لها أو المخطط لها على أن يتم استيفاء أحد المعايير التالية أو كليهما: 1. إذا كان يقصد من استخدام بطاقة تبليغ الشبكة الساتلية تقديم خدمات الاتصالات، يجب أن يكون لدى مقدم الطلب رخصة اتصالات مناسبة وفقاً للمرسوم بقانون اتحادي رقم 3 لسنة 2003 أو غيره من الأدوات التنظيمية الصادرة عن الهيئة؛ و/أو 2. في جميع الحالات الأخرى، ينبغي على مقدم الطلب أن يكون شركة أو مؤسسة (بما في ذلك جهة بحوث أو تعليم عالي) مسجل في الدولة وينوي أن يصبح مشغل وسيعمل على الحفاظ على منشأة للقياس عن بعد والتتبع والتحكم، بما يتناسب مع بطاقة التبليغ الساتلي ذات الصلة."
"Applicant","مقدم الطلب","يقصد به أي شخص يتقدم بطلب ترخيص أو تصريح لاستخدام الطيف الترددي وفقاً لقانون الاتصالات والإطار التنظيمي الصادر عن الهيئة."
"Type Approval Applicant","مقدم طلب اعتماد النوعية","أي جهة سواء مشغل أو مصنع أو مستورد أو موزع أو أي شخص يتقدم بطلب تصريح استيراد واستخدام أجهزة الاتصالات وفقا للمعايير المحددة من قبل الهيئة"
"Domain Name Applicant","مقدم طلب نطاق الانترنت","تعني الشخص الذي يودع طلباً للحصول على اسم نطاق إنترنت لدى المسجل."
"Service Provider (s)","مقدمي الخدمة","الجهةالتي تقدم خدمة باستخدام شبكة الاتصالات الخاصة بمشغل مرخص له."
"Emergency Call (s)","مكالمات الطوارئ","يقصد بها المكالمات التي يتم إجراؤها إلى أرقام خاصة بالطوارئ مثل الشرطة، الدفاع المدني أو الإسعاف أو أية خدمات طوارئ أخرى تحددها الهيئة."
"Licensee’s Telemarketing Calls","مكالمات المرخص له التسويقية","تعني أي مكالمة تسويق عبر الهاتف بدأها المرخص له أو وكيله بغرض الترويج أو التسويق لذلك المرخص له، أو أي خدمات، أو منتجات، أو عروض ترويجية، وما إلى ذلك، يقدمها ذلك المرخص له أو أي شركة تابعة، أو أي شركة مرتبطة بالمرخص له."
"Telemarketing Call","مكالمة تسويقية","يُقصد بها مكالمة اتصالات برابط إماراتي ذي محتوى مسموع والتي يتم نقلها على شبكة اتصالات عامة إلى المستهلك، حيث تبدأ المكالمة من قبل شخص بغرض الترويج أو التسويق لذلك الشخص أو أي خدمات أو منتجات أو عروض ترويجية، الخ. يقدمها أو يعرضها ذلك الشخص أو أحد مساعديه. ويشمل مصطلح مكالمة تسويقية عبر الهاتف على المكالمات التسويقية الخاصة بالمرخص له."
"Spam Call","مكالمة تسويقية أو احتيالية","مصطلح يشير إلى أنواع معينة من مكالمات الاتصالات غير المرغوب فيها - بما في ذلك المكالمات التسويقية عبر الهاتف غير المرغوب فيها والمكالمات الضارة على النحو المحدد في السياسة."
"Unsolicited Telemarketing Call","مكالمة تسويقية غير مرغوب فيها","تعني أي مكالمة تسويقية عبر الهاتف - بما في ذلك المكالمات التسويقية الخاصة بالمرخص له - يتم إجراؤها للمستهلك الذي لم يوافق بشكل صريح على تلقي المكالمات التسويقية من الشخص المسؤول عن بدء المكالمة."
"Malicious Call","مكالمة ضارة","تعني أي مكالمة لها تأثير ضار بالشخص المتصل به، وتشمل على سبيل المثال لا الحصر، جميع أنواع: المكالمات الخادعة، والمكالمات الاحتيالية، والمكالمات التي تسبب أو تسعى إلى التسبب في أذى مالي، جسدي أو عقلي للشخص للشخص المتصل به، أو أي مكالمة أخرى يمكن اعتبارها كيدية بشكل معقول ؛"
"ITU BR","مكتب الاتصالات الراديوية","يعني المنظمة التابعة للاتحاد الدولي للاتصالات المسؤولة عن استقبال ومعالجة معلومات النشر المسبق وطلبات التنسيق والإشعارات."
"Zone File","ملف المنطقة","تعني الملف المحتوي على سجلات المصدر الخاصة بنطاق معين."
"Personal Locator Beacons and Search and Rescue Transponders","منارات تحديد مواقع الأشخاص و المجيبات الرادارية للبحث والإنقاذ","وهي عبارة عن منارات راديوية خاصة بإشارات الاستغاثة، تقوم بتتبع أجهزة الإرسال للمساعدة في اكتشاف مواقع القوارب والطائرات والأشخاص الذين يتعرضون لأزمة أو خطر ما وتحديدهم"
"Emergency Position- Indicating Radio Beacon","منارة راديوية لتحديد موقع الطوارئ","يقصد بها المحطة الموجودة في الخدمة المتنقلة البحرية والتي يهدف بثها إلى تسهيل عمليات البحث والإنقاذ."
"Non Directional Beacon","منارة لا اتجاهية","يقصد بها جهاز إرسال في خدمة الملاحة الراديوية للطيران، يطلق نمط مميز من الإشعاعات من أجل تزويد الطائرة بدلالة المعلومات عن الموقع."
"SIM Cards Points of Sale","منافذ بيع شرائح الهاتف المتحرك","هي منشأة اقتصادية مرخص لها بمزاولة النشاط الاقتصادي الخاص ببيع شرائح الهاتف المتحرك (cards SIM)"
"License Grant","منح الرخصة","يقصد به المستند الذي يوقعه مجلس الإدارة والذي بموجبه تدخل الرخصة حيز النفاذ."
"Order Handling Platform","منصة معالجة التعليمات","منصة مركزية تدعم عمليات نقل الأرقام بين المرخص لهم للتجاوب مع ولبدء طلب نقل من قبل المشتركين، بما في ذلك على سبيل المثال لا الحصر تبادل الرسائل بين المرخص لهم المشاركين والتحقق من صحة هذه الرسائل والإشعار بتنفيذ النقل لجميع المرخص لهم."
"Designated Operational Coverage","منطقة التغطية التشغيلية","تحدد حجم المجال الجوي (المدى التشغيلي المعين والارتفاع التشغيلي المعين) المقرر توفير الخدمة فيه عن طريق جهاز إرسال مثبت على الأرض."
"Redacted","منقح","يؤهل إصدار المستند الذي تم تحريره لإزالة المعلومات الحساسة أو السرية ، على سبيل المثال عن طريق ""حجب"" تلك المعلومات في المستند ، حيث انه من غير المناسب مشاركته مع العامة."
"Porting Process Specification","مواصفات عملية النقل","هي مجموعة من المواصفات التفصيلية التي تصف عملية توفير إمكانية نقل الأرقام في الدولة ."
"Approvals /Authorizations or Clearance /Release","موافقات/تصاريح أو تخليصات","أداة تنظيمية تصدر من الهيئة بموجب أحكام قانون الاتصالات ولائحته التنفيذية والتي يمنح بموجبها للمصرح له إجازة تمكنه من الانتفاع بالطيف الترددي، و/أو استخدام أجهزة الاتصالات أو بيعها أو عرضها أو ربطها مع أي شبكة اتصالات، و/أو تقديم خدمات الاتصالات وفقاً للشروط والأحكام الصادرة من الهيئة."
"Consent","موافقة","تعني أي دلالة على القبول يتم تقديمها بحرية وبشكل واضح بدون اي لبس من المتلقي."
"Conditionally Approve","موافقة مشروطة","تعني الموافقة الممنوحة من قبل الهيئة والتي تخضع لشروط معينة محددة من قبل الهيئة."
"WRC","مؤتمر (WRC)","يقصد به المؤتمر العالمي للاتصالات الراديوية التابع للاتحاد الدولي للاتصالات."
"Telecommunications Equipment Distributor","موزع أجهزة اتصالات","أي شخص اعتباري تأسس داخل الدولة ، ويقوم بعرض أو بيع أجهزة الاتصالات في أسواق الدولة أو حيازتها ."
"Quality of Service indicators","مؤشرات جودة الخدمة (QoS)","المؤشرات التي تعكس جودة أداء أنظمة الشبكات."
"Quality of Experience indicators","مؤشرات جودة تجربة المستخدم (QoE)","المؤشرات التي تعكس جودة تجربة المستخدم النهائي (مثل تجربة الخدمة أو التجربة التشغيلية)"
"Development Site","موقع التطوير","هو الأرض الخاصة - سواء كانت موقعاً جديداً (Greenfield site) أو موقع سبق تطويره (Brownfield site) - والتي هي موضوع مشروع تطوير كبير، وعادة ما يتكون من وحدات متعددة من المباني السكنية أو التجارية أو الحكومية الجديدة أو المعدلة. يشمل مصطلح موقع التطوير مشروع التطوير الأولي (المرحلة 1) وإلى الحد الضروري والمناسب أي مرحلة (مراحل) لاحقة لتوسيع مشروع تطوير قائم."
"Dispute","نزاع","تعني الخلاف وعدم الاتفاق بين المرخص لهم في مسألة تقع ضمن نطاق الهيئة."
"Consumer Dispute","نزاع المستھلك","أیة مراسلات أو اتصالات تقبلها الھیئة من المستهلك ویعبرّ فیھا عن عدم رضاه أو تظلمه من النتيجة التي آلت إلیھا شكواه أو حول أمور تقع ضمن النطاق المباشر لأعمال المرخص له بحیث یكون للمستهلك بعض من المصلحة المشروعة فیھا."
"Call Drop Rate","نسبة انقطاع المكالمات","نسبة انقطاع المكالمات في النظام هي النسبة المئوية للمكالمات التي نجحت في مرحلة إنشاء المكالمة ثم انقطعت (أي انقطاع نسبة المكالمات بعد تخصيص TCH / RAB). عدد انقطاع المكالمات/ عدد المهام الناجحة الجيل الثاني= (نسبة انقطاع المكالمات في واجهات الراديو* مرور الجيل الثاني) / مرور الجيل الثاني 2) الجيل الثالث= (نسبة انقطاع المكالمات في واجهات الراديو* مرور الجيل الثالث) / مرور الجيل الثالث 3)"
"VoLTE session cut-off ratio","نسبة خفض دورة VoLTE","هذا المؤشر هو احتمالية أن تنتهي المكالمة التي بدأت بنجاح بسبب آخر غير الإنهاء المتعمد عن طريق الاتصال أو المتصل"
"VoLTE session setup failure ratio","نسبة فشل إعداد دورة VoLTE","هذا المؤشر هو احتمالية أن محطة VoLTE لا يمكنها إعداد دورة"
"CSFB failure ratio (calling party)","نسبة فشل تبديل الدائرة الاحتياطية CSFB (جهة المتصل)","يقيس هذا المؤشر احتمال عدم تنفيذ تبديل الدائرة الاحتياطية (CSFB) بنجاح من قبل المتصل"
"Network effectiveness ratio (NER)","نسبة فعالية الشبكة (NER)","تُحسب نسبة فعالية الشبكة كالآتي: (جميع المكالمات التي تم الرد عليها + المكالمات التي لم يتم الرد عليها لسبب معرف الهوية (1 و16 و17 و18 و19 و20 و21 و27 و31 و102)) ÷ (إجمالي المكالمات * 100) الوصف لكل سبب إصدار هو: 1-رقم غير مخصص. 16-مسح مكالمة عادية. 17-المستخدم مشغول 18 -عدم استجابة المستخدم 19-عدم رد المستخدم 20-مشترك غائب 21-رفض المكالمة 27-الوجهة معطلة 31-عادي غير محدد 102-الاسترداد عند انتهاء الموقت السيناريوهات التي يتم النظر فيها للمكالمات الداخلية هي: الخدمات الصوتية الثابتة للشبكات (الثابتة إلى الثابتة) و(الثابتة إلى المتحركة)."
"HTTP cut-off rate (%)","نسبة قطع HTTP (٪)","يتعلق معدل قطع HTTP بعدد الاختبارات التي تم إلغاؤها وحيث تم تلقي خطأ ""إعادة تعيين الاتصال"""
"SRVCC success ratio","نسبة نجاح SRVCC","هذا المؤشر هو احتمال قيام جهاز المستخدم بتسليم مكالمة IMS بنجاح إلى UMTS"
"Call Setup Success Rate","نسبة نجاح إنشاء المكالمات (CSSR)","النسبة المئوية لمحاولات الاتصال التي أسفرت عن بدء اتصال ناجح (أي عدم حجب قناة المراقبة المخصصة والقائمة بذاتها SDCCH وتخصيص TCH ناجح للجيل الثاني و RRC وتخصيص RAB ناجح للجيل الثالث."
"IMS registration success ratio","نسبة نجاح تسجيل IMS","هذا المؤشر هو احتمال تسجيل جهاز المستخدم بنجاح لنظام IMS"
"Call Completion Success Rate","نسبة نجاح إتمام المكالمات","تحسب نسبة نجاح إتمام المكالمات كالآتي: (نسبة نجاح إعداد المكالمات) * (1- نسبة انقطاع المكالمات) وبالتناوب، يمكن أيضاً اعتبار النسبة المئوية لمحاولات الاتصال التي تتم وتنتهي بشكل طبيعي ."
"Script","نص","تعني نظام رموز مستخدم لتمثيل عناصر أو تعابير يمكن تعبيرها في لغة ما."
"Domain","نطاق","تعني مجموعة فرعية من هرم نظام اسم النطاق المستخدم لتجميع وتحديد مجموعة محددة من سجلات المصدر التي عادة ما تكون عامة بالنسبة إلى هيئة محددة أو تقع تحت سيطرتها."
".ae Domain","نطاق الإنترنت","تعني أي اسم نطاق إنترنت ينتهي باللاحقة اللاتينية "".ae"""
"Assigned Frequency Band","نطاق التردد المخصص","يعني نطاق التردد الذي يصرح به من قبل الهيئة لمحطة معينة بالإرسال."
"3LD","نطاق المستوى الثالث (3LD)","تعني اسم نطاق يتكون من دلالاتين تحت نطاق المستوى العلوي لرمز الدولة، على سبيل المثال: ""domainname.co.ae""."
"2LD","نطاق المستوى الثاني (2LD)","تعني اسم نطاق يتكون من دلالة فردية تحت نطاق المستوى العلوي لرمز الدولة، على سبيل المثال: ""domainname.ae""."
"gTLD","نطاق المستوى العلوي العام (gTLD)","تعني نطاق المستوى العلوي لأسماء نطاقات الإنترنت العامة."
"Country Code Top Level Domain","نطاق المستوى العلوي لرمز الدولة","تعني نطاق المستوى العلوي لأسماء الإنترنت والذي يرمز إليه بالحرفين الدالين على البلد المعني وذلك كجزء من نظام أسماء النطاق التي تديرها سلطة تخصيص أسماء الإنترنت (أيانا) والذي يرد وصفه في طلب التعليقات (RFC) رقم 1591؛"
"Sub-Domain","نطاق فرعي","يشير إلى نطاق يمثل فرعاً من نطاق أكبر موجود ضمن هرم نظام أسماء النطاق."
"Planned Bands","نطاقات الطيف الترددي المستخدمة","تعني نطاقات التردد والتعيينات ذات الصلة الموضحة في التذييلات 30 و 30 A و 30 B الواردة في لائحة الاتصالات الراديوية الخاصة بالاتحاد الدولي للاتصالات بشأن تنسيق المبادئ التوجيهية للشبكات الساتلية."
"Legacy Domains","نطاقات موروثة","تعني أسماء النطاقات الموجود قبل بدء نظام السجل الخاص بإدارة أسماء نطاقات الإنترنت."
"Domain Name System","نظام اسم النطاق","تعني النظام الموضح في طلب التعليقات 1591 الصادر في مارس 1994، والمتوفر على الموقع الإلكتروني rfc-editor.org، حسبما يتم تعديله من وقت لآخر."
"Type Approval Regime","نظام اعتماد النوعية","الإطار التنظيمي الخاص بسياسة ولائحة وإرشادات وقواعد وإجراءات ونماذج ورسوم اعتماد النوعية التي تصدر عن الهيئة."
"GMPCS System","نظام الاتصالات الشخصية العالمية المتنقلة عبر الأقمار الصناعية","يقصد به نظام الاتصالات الذي يتألف من مجموعة من الأقمار الصناعية وواحدة أو أكثر من المحطات الأرضية لخدمات اتصالات الهواتف المتحركة الشخصية العالمية عبر الأقمار الصناعية، والمستخدمة لتقديم خدمات اتصالات الهواتف المتحركة الشخصية العالمية عبر الأقمار الصناعية مباشرة إلى المستخدمين باستخدام الأجهزة الطرفية المناسبة."
"Aeronautical Mobile Airport Communication System","نظام الاتصالات المتنقلة للطيران بالمطار","يقصد به تقنية الراديو المتنقل المستخدمة من أجل الاتصال بالطائرة أثناء وجودها في المطار وفق التعريف الوارد في الفصل 7 من المجلد 3 من الملحق 10 الصادر عن منظمة الطيران المدني الدولي (الإيكاو)."
"Satellite System","نظام الأقمار الصناعية","يقصد بها نظام فضائي يستعين بقمر صناعي واحد للأرض أو أكثر."
"Long Range Identification and Tracking","نظام التحديد والتتبع طويل المدى","يقصد به النظام وفقاً لما هو منصوص عليه في لمادة رقم 5/19-1 من الاتفاقية الدولية لسلامة الأرواح في البحار (سولاس) لعام 1974."
"Automatic Identification System","نظام التعرّف الأوتوماتي","يقصد به نظام التتبع الأوتوماتيكي الذي يستند إلى التوصية ITU-R M.1371 والمستخدم على متن السفن وخدمات حركة مرور السفن (VTS) لمعرفة مواقع السفن وتحديدها عن طريق التبادل الإلكتروني للبيانات مع السفن الأخرى المجاورة، ومحطات القاعدة لنظام التعرّف الأوتوماتيكي والأقمار الصناعية."
"Ground Based Augmentation System","نظام التعزيز المقام على الأرض","يقصد به نظام لإدارة هبوط الطائرات يعمل في جميع الأحوال الجوية على أساس التصحيح التفاضلي الآني لإشارات النظام العالمي لتحديد المواقع GPS، على النحو المحدد في المجلد 1، من الملحق رقم 10 الصادر عن منظمة الطيران المدني الدولي (الإيكاو)."
"Registry System","نظام السجل","تعني ذلك النظام الذي يحتوي على أي أو كل أجهزة الخوادم ووحدات التوزيع والتحويل وجدران الأمن والحماية والأجهزة المرتبطة بها والبرمجيات المنصبة على هذه المعدات والمستخدمة في تسجيل وتخزين وحفظ بيانات السجل."
"Remotely Piloted Aircraft System","نظام الطائرة التي يتم قيادتها عن بُعد","يقصد به الطائرة التي تتم قيادتها عن بعد وما يتصل بها من محطة (محطات) القيادة عن بُعد، ووصلات الأوامر والتحكم المطلوبة وأي مكونات أخرى وفق الوصف الوارد في التصميم النوعي"
"Registrar's System","نظام المسجل","تعني الطريقة والنظام اللذين يستخدمهما المسجل للتفاعل مع نظام السجل والعامة."
"Global Navigation Satellite System","نظام الملاحة العالمي عبر الأقمار الصناعية","يقصد به نظام للملاحة عبر الأقمار الصناعية التي تقدم تحديدات جغرافية مكانية مستقلة للموقع تشمل جميع أنحاء العالم."
"Wireless Access System on-board aircraft","نظام النفاذ اللاسلكي على متن الطائرة","يقصد به الأنظمة الراديوية المثبتة في الطائرة والتي توفر اتصالات الإنترنت الخاصة بالمستخدم النهائي وتوصلها إلى الشبكات المركزية العامة أو الخاصة."
"PBX Phone System","نظام الهاتف PBX","نظام هاتف الأعمال هو نظام هاتف متعدد الخطوط يستخدم عادة في بيئات العمل، ويشمل أنظمة تتراوح في التكنولوجيا من نظام الهاتف الرئيسي إلى موزع الفرع الخاص."
"Instrument Landing System","نظام الهبوط بالأجهزة","يقصد به نظام ملاحة راديوية يقدم للطائرات إرشاداً أفقياً ورأسياً قبل الهبوط مباشرة وأثناءه، كما يقدم، في بعض النقاط المحددة، دلالة على البعد عن نقطة الهبوط المرجعية."
"Microwave Landing System","نظام الهبوط بالموجات الصغرية (الميكروويف)","يقصد به نظام الهبوط الدقيق الذي يعمل في جميع الأحوال الجوية، والمستخدم في الأساس بغرض استبدال أنظمة الهبوط بالأجهزة (ILS) أو كمُكمِّل لها، على النحو المحدد في المجلد 1، من الملحق رقم 10 الصادر عن منظمة الطيران المدني الدولي (الإيكاو)."
"VHF Data Exchange System","نظام تبادل البيانات بالموجات المترية","يقصد به نظام تبادل البيانات ذات التردد العالي جداً VHF وفقاً للتوصية رقم ITU-R M.2092"
"Airborne Collision Avoidance System","نظام تجنب التصادم الجوي","يقصد به نظام تجنب التصادم الجوي على النحو المحدد في المجلد 5، من الملحق رقم 10 الصادر عن منظمة الطيران المدني الدولي (الإيكاو)."
